| Government | Greece |
| --- | --- |
| Country name: | conventional long form: Hellenic Republic |
| Country name: | conventional short form: Greece |
| Country name: | local short form: Ellas or Ellada |
| Country name: | former: Kingdom of Greece |
| Country name: | local long form: Elliniki Dhimokratia |
| Government type: | parliamentary republic; monarchy rejected by referendum 8 December 1974 |
| Capital: | Athens |
| Administrative divisions: | 51 prefectures (nomoi, singular - nomos)and 1 autonomous region*; Agion Oros* (Mt. Athos), Achaia, Aitolia kai Akarmania, Argolis, Arkadia, Arta, Attiki, Chalkidiki, Chanion, Chios, Dodekanisos, Drama, Evros, Evrytania, Evvoia, Florina, Fokidos, Fthiotis, Grevena, Ileia, Imathia, Ioannina, Irakleion, Karditsa, Kastoria, Kavala, Kefallinia, Kerkyra, Kilkis, Korinthia, Kozani, Kyklades, Lakonia, Larisa, Lasithi, Lefkas, Lesvos, Magnisia, Messinia, Pella, Pieria, Preveza, Rethynnis, Rodopi, Samos, Serrai, Thesprotia, Thessaloniki, Trikala, Voiotia, Xanthi, Zakynthos |
| Independence: | 1829 (from the Ottoman Empire) |
| National holiday: | Independence Day, 25 March (1821) |
| Constitution: | 11 June 1975; amended March 1986 and April 2001 |
| Legal system: | based on codified Roman law; judiciary divided into civil, criminal, and administrative courts |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Konstandinos (Kostis) STEPHANOPOULOS (since 10 March 1995) |
| Executive branch: | elections: president elected by Parliament for a five-year term; election last held 8 February 2000 (next to be held by NA February 2005); prime minister appointed by the president |
| Executive branch: | head of government: Prime Minister Konstandinos SIMITIS (since 19 January 1996) |
| Executive branch: | cabinet: Cabinet appointed by the president on the recommendation of the prime minister |
| Executive branch: | election results: Konstandinos STEPHANOPOULOS reelected president; percent of Parliament vote - 90% |
| Legislative branch: | unicameral Parliament or Vouli ton Ellinon (300 seats; members are elected by direct popular vote to serve four-year terms) |
| Legislative branch: | elections: elections last held 9 April 2000 (next to be held by NA April 2004) |
| Legislative branch: | election results: percent of vote by party - PASOK 43.8%, ND 42.7%, KKE 5.5%, Coalition of the Left and Progress 3.2%; seats by party - PASOK 158, ND 125, KKE 11, Coalition of the Left and Progress 6; note - seats by party as of January 2002 - PASOK 156, ND 122, KKE 11, Coalition of the Left and Progress 6, independents 5 |
| Judicial branch: | Supreme Judicial Court; Special Supreme Tribunal; all judges appointed for life by the president after consultation with a judicial council |
| Political parties and leaders: | Coalition of the Left and Progress (Synaspismos) [Nikolaos KONSTANDOPOULOS]; Communist Party of Greece or KKE [Aleka PAPARIGA]; New Democracy or ND (conservative) [Konstandinos KARAMANLIS]; Panhellenic Socialist Movement or PASOK [Konstandinos SIMITIS] |
| Political pressure groups and leaders: | NA |
| International organization participation: | Australia Group, BIS, BSEC, CCC, CE, CERN, EAPC, EBRD, ECE, EIB, EMU, EU, FAO, G- 6, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNMEE, UNMIBH, UNMIK, UNOMIG, UPU, WEU, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Yeoryious SAVVAIDES |
| Diplomatic representation in the US: | consulate(s): Atlanta, Houston, and New Orleans |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Los Angeles, New York, and San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 939-1324 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-1300 |
| Diplomatic representation in the US: | chancery: 2221 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas J. MILLER |
| Diplomatic representation from the US: | embassy: 91 Vasilissis Sophias Avenue, 101 60 Athens |
| Diplomatic representation from the US: | mailing address: PSC 108, APO AE 09842-0108 |
| Diplomatic representation from the US: | telephone: [30] (210) 721-2951 |
| Diplomatic representation from the US: | FAX: [30] (210) 725-3025 |
| Diplomatic representation from the US: | consulate(s) general: Thessaloniki |
| Flag description: | nine equal horizontal stripes of blue alternating with white; there is a blue square in the upper hoist-side corner bearing a white cross; the cross symbolizes Greek Orthodoxy, the established religion of the country |
