| Government | Greece |
| --- | --- |
| Country name: | conventional long form: Hellenic Republic |
| Country name: | conventional short form: Greece |
| Country name: | local long form: Elliniki Dhimokratia |
| Country name: | local short form: Ellas or Ellada |
| Country name: | former: Kingdom of Greece |
| Government type: | parliamentary republic |
| Capital: | name: Athens |
| Capital: | geographic coordinates: 37 59 N, 23 44 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 51 prefectures (nomoi, singular - nomos) and 1 autonomous region*; Achaia, Agion Oros* (Mount Athos), Aitolia kai Akarnania, Argolis, Arkadia, Arta, Attiki, Chalkidiki, Chania, Chios, Dodekanisos, Drama, Evros, Evrytania, Evvoia, Florina, Fokidos, Fthiotis, Grevena, Ileia, Imathia, Ioannina, Irakleion, Karditsa, Kastoria, Kavala, Kefallinia, Kerkyra, Kilkis, Korinthia, Kozani, Kyklades, Lakonia, Larisa, Lasithi, Lefkada, Lesvos, Magnisia, Messinia, Pella, Pieria, Preveza, Rethymnis, Rodopi, Samos, Serres, Thesprotia, Thessaloniki, Trikala, Voiotia, Xanthi, Zakynthos |
| Independence: | 1829 (from the Ottoman Empire) |
| National holiday: | Independence Day, 25 March (1821) |
| Constitution: | 11 June 1975; amended March 1986 and April 2001 |
| Legal system: | based on codified Roman law; judiciary divided into civil, criminal, and administrative courts; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Karolos PAPOULIAS (since 12 March 2005) |
| Executive branch: | head of government: Prime Minister Georgios Andreas PAPANDREOU (since 6 October 2009) |
| Executive branch: | cabinet: Cabinet appointed by the president on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by parliament for a five-year term (eligible for a second term); election last held on 3 February 2010 (next to be held by February 2015); president appoints leader of the party securing plurality of vote in election to become prime minister and form a government |
| Executive branch: | election results: Karolos PAPOULIAS reelected president; number of parliamentary votes, 266 out of 300 |
| Legislative branch: | unicameral Parliament or Vouli ton Ellinon (300 seats; members elected by direct popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 4 October 2009 (next to be held by 2013) |
| Legislative branch: | election results: percent of vote by party - PASOK 43.9%, ND 33.5%, KKE 7.5%, LAOS 5.6%, SYRIZA 4.6%, other 4.9%; seats by party - PASOK 160, ND 91, KKE 21, LAOS 15, SYRIZA 13; note - seats by party as of 15 December 2010 - PASOK 156, ND 86, KKE 21 LAOS 15, SYRIZA 9, DISY 5, Democratic Left 4, independents 4 (DISY and Democratic Left entered parliament as members of ND and SYRIZA, respectively, and the independents entered parliament as members of PASOK); only parties supassing a 3% threshold are entitled to parliamentary seats; parties need 10 seats to become formal parliamentary groups, but can retain that status if the party participated in the last election and received the minimum 3% threshold |
| Judicial branch: | Supreme Judicial Court; Special Supreme Tribunal; all judges are appointed for life by the president after consultation with a judicial council |
| Political parties and leaders: | Anticapitalist Left Cooperation for the Overthrow or ANTARSYA [Petros KONSTANTINOU]; Coalition of the Radical Left or SYRIZA [Alexis TSIPRAS]; Communist Party of Greece or KKE [Aleka PAPARIGA]; Democratic Left [Fotis KOUVELIS]; Democratic Alliance or DISY [Theodora BAKOGIANNI]; Ecologist Greens [Nikos CHRYSOGELOS]; Golden Dawn [Nikolaos MICHALOLIAKOS]; New Democracy or ND [Antonis SAMARAS]; Panhellenic Socialist Movement or PASOK [Georgios PAPANDREOU]; Popular Orthodox Rally or LAOS [Georgios KARATZAFERIS] |
| Political pressure groups and leaders: | Civil Servants Confederation or ADEDY [Spyros PAPASPYROS]; Federation of Greek Industries or SEV [Dimitris DASKALOPOULOS]; General Confederation of Greek Workers or GSEE [Ioannis PANAGOPOULOS] |
| International organization participation: | Australia Group, BIS, BSEC, CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, FATF, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, PCA, Schengen Convention, SECI, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIS, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Vassilis KASKARELIS |
| Diplomatic representation in the US: | chancery: 2217 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-1300 |
| Diplomatic representation in the US: | FAX: [1] (202) 939-1324 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Los Angeles, New York, San Francisco, Tampa |
| Diplomatic representation in the US: | consulate(s): Atlanta, Houston, New Orleans |
| Diplomatic representation from the US: | chief of mission: Ambassador Daniel Bennett SMITH |
| Diplomatic representation from the US: | embassy: 91 Vasilisis Sophias Avenue, 10160 Athens |
| Diplomatic representation from the US: | mailing address: PSC 108, APO AE 09842-0108 |
| Diplomatic representation from the US: | telephone: [30] (210) 721-2951 |
| Diplomatic representation from the US: | FAX: [30] (210) 645-6282 |
| Diplomatic representation from the US: | consulate(s) general: Thessaloniki |
| Flag description: | nine equal horizontal stripes of blue alternating with white; a blue square bearing a white cross appears in the upper hoist-side corner; the cross symbolizes Greek Orthodoxy, the established religion of the country; there is no agreed upon meaning for the nine stripes or for the colors; the exact shade of blue has never been set by law and has varied from a light to a dark blue over time |
| National anthem: | name: "Ymnos eis tin Eleftherian" (Hymn to Liberty) |
| National anthem: | lyrics/music: Dionysios SOLOMOS/Nikolaos MANTZAROS |
| National anthem: | note: adopted 1864; the anthem is based on a 158 verse poem by the same name, which was inspired by the Greek Revolution of 1821 against the Ottomans; Cyprus also uses "Hymn to Liberty" as its anthem |
