| Government | Morocco |
| --- | --- |
| Country name: | conventional long form: Kingdom of Morocco |
| Country name: | conventional short form: Morocco |
| Country name: | local long form: Al Mamlakah al Maghribiyah |
| Country name: | local short form: Al Maghrib |
| Government type: | constitutional monarchy |
| Capital: | Rabat |
| Administrative divisions: | 14 regions: Grand Casablanca, Chaouia-Ouardigha, Doukkala-Abda, Fes-Boulemane, Gharb-Chrarda-Beni Hssen, Guelmim-Es Smara, Marrakech-Tensift-Al Haouz, Meknes-Tafilalet, Oriental, Rabat-Sale-Zemmour-Zaer, Souss-Massa-Draa, Tadla-Azilal, Tanger-Tetouan, Taza-Al Hoceima-Taounate |
| Administrative divisions: | note: Morocco claims the territory of Western Sahara, the political status of which is considered undetermined by the United States Government; one additional region, Oued Eddahab-Lagouira, falls entirely within Western Sahara; another region, Laayoune-Boujdour-Sahia El Hamra, falls mostly within Western Sahara; a small portion of this region, in the southwestern part of the country, falls within Moroccan-administered territory as recognized by the United States; the province of Guelmim-Es Smara lies in both entities |
| Independence: | 2 March 1956 (from France) |
| National holiday: | Throne Day (accession of King MOHAMED VI to the throne), 30 July (1999) |
| Constitution: | 10 March 1972; revised 4 September 1992, amended (to create bicameral legislature) September 1996 |
| Legal system: | based on Islamic law and French and Spanish civil law system; judicial review of legislative acts in Constitutional Chamber of Supreme Court |
| Suffrage: | 18 years of age; universal (as of January 2003) |
| Executive branch: | chief of state: King MOHAMED VI (since 30 July 1999) |
| Executive branch: | head of government: Prime Minister Driss JETTOU (since 9 October 2002) |
| Executive branch: | cabinet: Council of Ministers appointed by the monarch |
| Executive branch: | elections: none; the monarch is hereditary; prime minister appointed by the monarch following legislative elections |
| Legislative branch: | bicameral Parliament consists of an upper house or Chamber of Counselors (270 seats; members elected indirectly by local councils, professional organizations, and labor syndicates for nine-year terms; one-third of the members are renewed every three years) and a lower house or Chamber of Representatives (325 seats; 295 by multi-seat constituencies and 30 from national lists of women; members elected by popular vote for five-year terms) |
| Legislative branch: | elections: Chamber of Counselors - last held 6 October 2003 (next to be held NA 2006); Chamber of Representatives - last held 27 September 2002 (next to be held NA 2007) |
| Legislative branch: | election results: Chamber of Counselors - percent of vote by party - NA%; seats by party - RNI 42, MDS 33, UC 28, MP 27, PND 21, PI 21, USFP 16, MNP 15, PA 13, FFD 12, other 42; Chamber of Representatives - percent of vote by party - NA%; seats by party - USFP 50, PI 48, PJD 42, RNI 41, MP 27, MNP 18, UC 16, PND 12, PPS 11, UD 10, other 50 |
| Judicial branch: | Supreme Court (judges are appointed on the recommendation of the Supreme Council of the Judiciary, presided over by the monarch) |
| Political parties and leaders: | Action Party or PA [Muhammad EL IDRISSI]; Alliance of Liberties or ADL [Ali BELHAJ]; Annahj Addimocrati or Annahj [Abdellah EL HARIF]; Avant Garde Social Democratic Party or PADS [Ahmed BENJELLOUN]; Citizen Forces or FC [Abderrahman LAHJOUJI]; Citizen's Initiatives for Development [Mohamed BENHAMOU]; Constitutional Union or UC [Mohamed ABIED (interim)]; Democratic and Independence Party or PDI [Abdelwahed MAACH]; Democratic and Social Movement or MDS [Mahmoud ARCHANE]; Democratic Socialist Party or PSD [Aissa OUARDIGHI]; Democratic Union or UD [Bouazza IKKEN]; Environment and Development Party or PED [Ahmed EL ALAMI]; Front of Democratic Forces or FFD [Thami EL KHYARI]; Istiqlal Party (Independence Party) or PI [Abbas El FASSI]; Justice and Development Party or PJD [Saad Eddine OTHMANI]; Moroccan Liberal Party or PML [Mohamed ZIANE]; National Democratic Party or PND [Abdallah KADIRI]; National Ittihadi Congress Party or CNI [Abdelmajid BOUZOUBAA]; National Popular Movement or MNP [Mahjoubi AHERDANE]; National Rally of Independents or RNI [Ahmed OSMAN]; National Union of Popular Forces or UNFP [Abdellah IBRAHIM]; Parti Al Ahd or Al Ahd [Najib EL OUAZZANI, chairman]; Party of Progress and Socialism or PPS [Ismail ALAOUI]; Party of Renewal and Equity or PRE [Chakir ACHABAR]; Party of the Unified Socialist Left or GSU [Mohamed Ben Said AIT IDDER]; Popular Movement or MP [Mohamed LAENSER]; Reform and Development Party or PRD [Abderrahmane EL KOUHEN]; Social Center Party or PSC [Lahcen MADIH]; Socialist Union of Popular Forces or USFP [Mohammed El-YAZGHI] |
| Political pressure groups and leaders: | Democratic Confederation of Labor or CDT [Noubir AMAOUI]; General Union of Moroccan Workers or UGTM [Abderrazzak AFILAL]; Moroccan Employers Association or CGEM [Hassan CHAMI]; National Labor Union of Morocco or UNMT [Abdelslam MAATI]; Union of Moroccan Workers or UMT [Mahjoub BENSEDDIK] |
| International organization participation: | ABEDA, ACCT, AfDB, AFESD, AMF, AMU, EBRD, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAS, MIGA, MINUSTAH, MONUC, NAM, OAS (observer), OIC, OPCW, OSCE (partner), PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNOCI, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Aziz MEKOUAR |
| Diplomatic representation in the US: | chancery: 1601 21st Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-7979 through 7982 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-0161 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas T. RILEY |
| Diplomatic representation from the US: | embassy: 2 Avenue de Mohamed El Fassi, Rabat |
| Diplomatic representation from the US: | mailing address: PSC 74, Box 021, APO AE 09718 |
| Diplomatic representation from the US: | telephone: [212] (37) 76 22 65 |
| Diplomatic representation from the US: | FAX: [212] (37) 76 56 61 |
| Diplomatic representation from the US: | consulate(s) general: Casablanca |
| Flag description: | red with a green pentacle (five-pointed, linear star) known as Sulayman's (Solomon's) seal in the center of the flag; red and green are traditional colors in Arab flags, although the use of red is more commonly associated with the Arab states of the Persian gulf; design dates to 1912 |
