| Government | Morocco |
| --- | --- |
| Country name: | conventional long form: Kingdom of Morocco |
| Country name: | conventional short form: Morocco |
| Country name: | local long form: Al Mamlakah al Maghribiyah |
| Country name: | local short form: Al Maghrib |
| Government type: | constitutional monarchy |
| Capital: | name: Rabat |
| Capital: | geographic coordinates: 34 01 N, 6 49 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 15 regions; Grand Casablanca, Chaouia-Ouardigha, Doukkala-Abda, Fes-Boulemane, Gharb-Chrarda-Beni Hssen, Guelmim-Es Smara, Laayoune-Boujdour-Sakia El Hamra, Marrakech-Tensift-Al Haouz, Meknes-Tafilalet, Oriental, Rabat-Sale-Zemmour-Zaer, Souss-Massa-Draa, Tadla-Azilal, Tanger-Tetouan, Taza-Al Hoceima-Taounate |
| Administrative divisions: | note: Morocco claims the territory of Western Sahara, the political status of which is considered undetermined by the US Government; portions of the regions Guelmim-Es Smara and Laayoune-Boujdour-Sakia El Hamra as claimed by Morocco lie within Western Sahara; Morocco claims another region, Oued Eddahab-Lagouira, which falls entirely within Western Sahara |
| Independence: | 2 March 1956 (from France) |
| National holiday: | Throne Day (accession of King MOHAMED VI to the throne), 30 July (1999) |
| Constitution: | 10 March 1972; revised 4 September 1992, amended (to create bicameral legislature) September 1996 |
| Legal system: | based on Islamic law and French and Spanish civil law systems; judicial review of legislative acts in Constitutional Chamber of Supreme Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal (as of January 2003) |
| Executive branch: | chief of state: King MOHAMED VI (since 30 July 1999) |
| Executive branch: | head of government: Prime Minister Abbas EL FASSI (since 19 September 2007) |
| Executive branch: | cabinet: Council of Ministers appointed by the monarch |
| Executive branch: | elections: none; the monarch is hereditary; prime minister appointed by the monarch following legislative elections |
| Legislative branch: | bicameral Parliament consists of a Chamber of Counselors (or upper house) (270 seats; members elected indirectly by local councils, professional organizations, and labor syndicates for nine-year terms; one-third of the members are elected every three years) and Chamber of Representatives (or lower house) (325 seats; 295 members elected by multi-seat constituencies and 30 from national lists of women; members elected by popular vote for five-year terms) |
| Legislative branch: | elections: Chamber of Counselors - last held 6 October 2003 (election moved to 2007); Chamber of Representatives - last held 7 September 2007 (next to be held in 2012) |
| Legislative branch: | election results: Chamber of Counselors - percent of vote by party - NA; seats by party - RNI 42, MDS 33, UC 28, MP 27, PND 21, PI 21, USFP 16, MNP 15, PA 13, FFD 12, other 42; Chamber of Representatives - percent of vote by party - PJD 10.9%, PI 10.7%, RNI 9.7%, MP 9.3%, USFP 8.9%, UC 7.3%, Al Ahd 5.5%, PPS 5.4%, FFD 4.5%, MDS 3.7%, other 24.1%; seats by party - PI 52, PJD 46, MP 41, RNI 41, USFP 38, UC 27, PPS 17, Al Ahd 14, FFD 9, MDS 9, other 31 |
| Judicial branch: | Supreme Court (judges are appointed on the recommendation of the Supreme Council of the Judiciary, presided over by the monarch) |
| Political parties and leaders: | Action Party or PA [Muhammad EL IDRISSI]; Alliance of Liberties or ADL [Ali BELHAJ]; Annahj Addimocrati or Annahj [Abdellah EL HARIF]; Avant Garde Social Democratic Party or PADS [Ahmed BENJELLOUN]; Citizen Forces or FC [Abderrahman LAHJOUJI]; Citizen's Initiatives for Development [Mohamed BENHAMOU]; Constitutional Union or UC [Mohamed ABIED]; Democratic and Independence Party or PDI [Abdelwahed MAACH]; Democratic and Social Movement or MDS [Mahmoud ARCHANE]; Democratic Forces Front or FFD; Democratic Socialist Party or PSD [Aissa OUARDIGHI]; Democratic Society Party or PSD [Zhor CHEKKAFI]; Democratic Union or UD [Bouazza IKKEN]; Environment and Development Party or PED [Ahmed EL ALAMI]; Front of Democratic Forces or FFD [Thami EL KHYARI]; Independence Party (Istiqlal) or PI [Abbas el FASSI]; Justice and Development Party or PJD [Saad Eddine El OTHMANI]; Labor Party [Abdelkrim BENATIK]; Moroccan Liberal Party or PML [Mohamed ZIANE]; National Democratic Party or PND [Abdallah KADIRI]; National Ittihadi Congress Party or CNI [Abdelmajid BOUZOUBAA]; National Popular Movement or MNP [Mahjoubi AHERDANE]; National Rally of Independents or RNI [Ahmed OSMAN]; National Union of Popular Forces or UNFP [Abdellah IBRAHIM]; Parti Al Ahd or Al Ahd [Najib EL OUAZZANI]; Party of Progress and Socialism or PPS [Ismail ALAOUI]; Party of Renewal and Equity or PRE [Chakir ACHABAR]; Party of the Unified Socialist Left or GSU [Mohamed Ben Said AIT IDDER]; Popular Movement or MP [Mohand LAENSER]; Popular Movement Union or UMP [Mohamed LAENSER]; Reform and Development Party or PRD [Abderrahmane EL KOUHEN]; Social Center Party or PSC [Lahcen MADIH]; Socialist Union of Popular Forces or USFP [Mohammed El-YAZGHI] |
| Political pressure groups and leaders: | Democratic Confederation of Labor or CDT [Noubir AMAOUI]; General Union of Moroccan Workers or UGTM [Abderrazzak AFILAL]; Moroccan Employers Association or CGEM [Hassan CHAMI]; National Labor Union of Morocco or UNMT [Abdelslam MAATI]; Union of Moroccan Workers or UMT [Mahjoub BENSEDDIK] |
| International organization participation: | ABEDA, ACCT, AfDB, AFESD, AMF, AMU, EBRD, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAS, MIGA, MINUSTAH, MONUC, NAM, OAS (observer), OIC, OIF, OPCW, OSCE (partner), PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNOCI, UNWTO, UPU, WCL, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Aziz MEKOUAR |
| Diplomatic representation in the US: | chancery: 1601 21st Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-7979 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-0161 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas T. RILEY |
| Diplomatic representation from the US: | embassy: 2 Avenue de Mohamed El Fassi, Rabat |
| Diplomatic representation from the US: | mailing address: PSC 74, Box 021, APO AE 09718 |
| Diplomatic representation from the US: | telephone: [212] (37) 76 22 65 |
| Diplomatic representation from the US: | FAX: [212] (37) 76 56 61 |
| Diplomatic representation from the US: | consulate(s) general: Casablanca |
| Flag description: | red with a green pentacle (five-pointed, linear star) known as Sulayman's (Solomon's) seal in the center of the flag; red and green are traditional colors in Arab flags, although the use of red is more commonly associated with the Arab states of the Persian gulf; design dates to 1912 |
