| Government | Morocco |
| --- | --- |
| Country name: | conventional long form: Kingdom of Morocco |
| Country name: | conventional short form: Morocco |
| Country name: | local long form: Al Mamlakah al Maghribiyah |
| Country name: | local short form: Al Maghrib |
| Country name: | former: French Protectorate in Morocco, Spanish Protectorate in Morocco |
| Country name: | etymology: the English name "Morocco" derives from, respectively, the Spanish and Portuguese names "Marruecos" and "Marrocos," which stem from "Marrakesh" the Latin name for the former capital of ancient Morocco; the Arabic name "Al Maghrib" translates as "The West" |
| Government type: | parliamentary constitutional monarchy |
| Capital: | name: Rabat |
| Capital: | geographic coordinates: 34 01 N, 6 49 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1 hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 11 regions (recognized); Beni Mellal-Khenifra, Casablanca-Settat, Draa-Tafilalet, Fes-Meknes, Guelmim-Oued Noun, Laayoune-Sakia al Hamra, Oriental, Marrakech-Safi, Rabat-Sale-Kenitra, Souss-Massa, Tanger-Tetouan-Al Hoceima |
| Administrative divisions: | note: Morocco claims the territory of Western Sahara, the political status of which is considered undetermined by the US Government; portions of the regions Guelmim-Oued Noun and Laayoune-Sakia al Hamra as claimed by Morocco lie within Western Sahara; Morocco also claims a 12th region, Dakhla-Oued ed Dahab, that falls entirely within Western Sahara |
| Independence: | 2 March 1956 (from France) |
| National holiday: | Throne Day (accession of King MOHAMMED VI to the throne), 30 July (1999) |
| Constitution: | history: several previous; latest drafted 17 June 2011, approved by referendum 1 July 2011; note - sources disagree on whether the 2011 referendum was for a new constitution or for reforms to the previous constitution (2016) |
| Constitution: | amendments: proposed by the king, by the prime minister, or by members in either chamber of Parliament; passage requires at least two-thirds majority vote by both chambers and approval in a referendum; the king can opt to submit self-initiated proposals directly to a referendum (2016) |
| Legal system: | mixed legal system of civil law based on French law and Islamic law; judicial review of legislative acts by Constitutional Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Morocco; if the father is unknown or stateless, the mother must be a citizen |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court or Court of Cassation (consists of 5-judge panels organized into civil, family matters, commercial, administrative, social, and criminal sections); Constitutional Court (consists of 12 members) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the Superior Council of Judicial Power, a 20-member body presided by the monarch, which includes the Supreme Court president, the prosecutor general, representatives of the appeals and first instance courtsÂ  (among them 1 woman magistrate), the president of the National Council of the Rights of Man, and 5 "notable persons" appointed by the monarch; judges appointed for life; Constitutional Court members - 6 designated by the monarch and 6 elected by Parliament; court president appointed by the monarch from among the court members; members serve 9-year nonrenewable terms |
| Judicial branch: | subordinate courts: courts of appeal; High Court of Justice; administrative and commercial courts; regional and sadad courts (for religious, civil and administrative, and penal adjudication); first instance courts |
| Executive branch: | chief of state: King MOHAMMED VI (since 30 July 1999) |
| Executive branch: | head of government: Prime Minister Saad-Eddine al-OTHMANI (since 17 March 2017) |
| Executive branch: | cabinet: Council of Ministers chosen by the prime minister in consultation with Parliament and appointed by the monarch |
| Executive branch: | elections/appointments: the monarchy is hereditary; prime minister appointed by the monarch from the majority party following legislative elections |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | Chamber of Advisors (120 seats; members indirectly elected by an electoral college of local councils, professional organizations, and labor unions; members serve 6-year terms) |
| Legislative branch: | Chamber of Representatives (395 seats; 305 members directly elected in multi-seat constituencies by proportional representation vote and 90 directly elected in a single nationwide constituency by proportional representation vote; members serve 5-year terms); note - in the national constituency, 60 seats are reserved for women and 30 reserved for those under age 40 |
| Legislative branch: | elections: |
| Legislative branch: | Chamber of Advisors - last held on 2 October 2015 (next to be held in fall 2021) |
| Legislative branch: | Chamber of Representatives - last held on 7 October 2016 (next to be held in fall 2021) |
| Legislative branch: | election results: |
| Legislative branch: | Chamber of Advisors - percent of vote by party - NA; seats by party - NA; composition - men 106, women 14, percent of women 11.7% |
| Legislative branch: | Chamber of Representatives - percent of vote by party NA; seats by party - PJD 125, PAM 102, PI 46, RNI 37, MP 27, USFP 20, UC 19, PPS 12, MDS 3, other 4; composition - men 314, women 81, percent of women 20.5%; note - total Parliament percent of women 18.4% |
| Political parties and leaders: | Action Party or PA [Mohammed EL IDRISSI] |
| Political parties and leaders: | Amal (hope) Party [Mohamed BANI] |
| Political parties and leaders: | An-Nahj Ad-Dimocrati or An-Nahj [Mustapha BRAHMA] |
| Political parties and leaders: | Authenticity and Modernity Party or PAM [Ilyas al-OMARI] |
| Political parties and leaders: | Constitutional Union Party or UC [Mohamed SAJID] |
| Political parties and leaders: | Democratic and Social Movement or MDS [Abdessamad ARCHANE] |
| Political parties and leaders: | Democratic Forces Front or FFD [Mustapha BENALI] |
| Political parties and leaders: | Democratic Oath Party or SD |
| Political parties and leaders: | Democratic Socialist Vanguard Party or PADS [Abderrahman BENAMROU] |
| Political parties and leaders: | Democratic Society Party [Zhour CHAKKAFI] |
| Political parties and leaders: | Environment and Development Party or PED [Karim HRITAN] |
| Political parties and leaders: | Green Left Party [Mohamed FARES] |
| Political parties and leaders: | Istiqlal (Independence) Party or PI [Nizar BARAKA] |
| Political parties and leaders: | Ittihadi National Congress or CNI [Abdesalam EL AZIZ] |
| Political parties and leaders: | Labor Party or PT |
| Political parties and leaders: | Moroccan Liberal Party or PML [Mohammed ZIANE] |
| Political parties and leaders: | Moroccan Union for Democracy or UMD [Jamal MANDRI] |
| Political parties and leaders: | National Rally of Independents or RNI [Aziz AKHANNOUCH] |
| Political parties and leaders: | Neo-Democrats Party [Mohamed DARIF] |
| Political parties and leaders: | Party of Development Reform or PRD [Abderrahmane EL KOHEN] |
| Political parties and leaders: | Party of Justice and Development or PJD [Saad Eddine al-OTHMANI] |
| Political parties and leaders: | Party of Liberty and Social Justice [Miloud MOUSSAOUI] |
| Political parties and leaders: | Popular Movement or MP [Mohand LAENSER] |
| Political parties and leaders: | Progress and Socialism Party or PPS [Nabil BENABDELLAH] |
| Political parties and leaders: | Renaissance and Virtue Party [Mohamed KHALIDI] |
| Political parties and leaders: | Renaissance Party [Said EL GHENNIOUI] |
| Political parties and leaders: | Renewal and Equity Party or PRE [Chakir ACHEHABAR] |
| Political parties and leaders: | Shoura (consultation) and Istiqlal Party [Ahmed BELGHAZI] |
| Political parties and leaders: | Social Center Party or PCS [Lahcen MADIH] |
| Political parties and leaders: | Socialist Party [Abdelmajid BOUZOUBAA] |
| Political parties and leaders: | Socialist Union of Popular Forces or USFP [Driss LACHGAR] |
| Political parties and leaders: | Unified Socialist Party or GSU [Nabila MOUNIB] |
| Political parties and leaders: | Unity and Democracy Party [Ahmed FITRI] |
