| Government | Qatar |
| --- | --- |
| Country name: | conventional long form: State of Qatar |
| Country name: | conventional short form: Qatar |
| Country name: | local short form: Qatar |
| Country name: | note: closest approximation of the native pronunciation falls between cutter and gutter, but not like guitar |
| Country name: | local long form: Dawlat Qatar |
| Government type: | traditional monarchy |
| Capital: | Doha |
| Administrative divisions: | 9 municipalities (baladiyat, singular - baladiyah); Ad Dawhah, Al Ghuwayriyah, Al Jumayliyah, Al Khawr, Al Wakrah, Ar Rayyan, Jarayan al Batinah, Madinat ash Shamal, Umm Salal |
| Independence: | 3 September 1971 (from UK) |
| National holiday: | Independence Day, 3 September (1971) |
| Constitution: | provisional constitution enacted 19 April 1972; in July 1999 Amir HAMAD issued a decree forming a committee to draft a permanent constitution |
| Legal system: | discretionary system of law controlled by the amir, although civil codes are being implemented; Islamic law dominates family and personal matters |
| Suffrage: | suffrage is limited to municipal elections |
| Executive branch: | chief of state: Amir HAMAD bin Khalifa Al Thani (since 27 June 1995 when, as crown prince, he ousted his father, Amir KHALIFA bin Hamad Al Thani, in a bloodless coup); Crown Prince JASSIM bin Hamad bin Khalifa Al Thani, third son of the monarch (selected crown prince by the monarch 22 October 1996); note - Amir HAMAD also holds the positions of minister of defense and commander-in-chief of the armed forces |
| Executive branch: | head of government: Prime Minister ABDALLAH bin Khalifa Al Thani, brother of the monarch (since 30 October 1996); Deputy Prime Minister MUHAMMAD bin Khalifa Al Thani, brother of the monarch (since 20 January 1998) |
| Executive branch: | cabinet: Council of Ministers appointed by the monarch |
| Executive branch: | elections: none; the monarch is hereditary |
| Executive branch: | note: in March 1999, Qatar held nationwide elections for a 29-member Central Municipal Council, which has consultative powers aimed at improving the provision of municipal services |
| Legislative branch: | unicameral Advisory Council or Majlis al-Shura (35 seats; members appointed) |
| Legislative branch: | note: the constitution calls for elections for part of this consultative body, but no elections have been held since 1970, when there were partial elections to the body; Council members have had their terms extended every four years since |
| Judicial branch: | Court of Appeal |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none |
| International organization participation: | ABEDA, AFESD, AL, AMF, CCC, ESCWA, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC, ICRM, IDB, IFAD, IFRCS, IHO (pending member), ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, NAM, OAPEC, OIC, OPCW, OPEC, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Badr Umar al-DAFA |
| Diplomatic representation in the US: | telephone: [1] (202) 274-1600 |
| Diplomatic representation in the US: | consulate(s) general: Houston |
| Diplomatic representation in the US: | FAX: [1] (202) 237-0061 |
| Diplomatic representation in the US: | chancery: 4200 Wisconsin Avenue NW, Washington, DC 20016 |
| Diplomatic representation from the US: | chief of mission: Ambassador Maureen E. QUINN |
| Diplomatic representation from the US: | embassy: Al-Luqtas District, 22 February Road, Doha |
| Diplomatic representation from the US: | mailing address: P. O. Box 2399, Doha |
| Diplomatic representation from the US: | telephone: [974] 488 4101 |
| Diplomatic representation from the US: | FAX: [974] 488 4298 |
| Flag description: | maroon with a broad white serrated band (nine white points) on the hoist side |
