| Government | Qatar |
| --- | --- |
| Country name: | conventional long form: State of Qatar |
| Country name: | conventional short form: Qatar |
| Country name: | local long form: Dawlat Qatar |
| Country name: | local short form: Qatar |
| Country name: | etymology: the origin of the name is uncertain, but it dates back at least 2,000 years since a term "Catharrei" was used to describe the inhabitants of the peninsula by Pliny the Elder (1st century A.D.), and a "Catara" peninsula is depicted on a map by Ptolemy (2nd century A.D.) |
| Country name: | note: closest approximation of the native pronunciation is gattar or cottar |
| Government type: | absolute monarchy |
| Capital: | name: Doha |
| Capital: | geographic coordinates: 25 17 N, 51 32 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: derives from the Arabic term "dohat," meaning "roundness," and refers to the small rounded bays along the area's coastline |
| Administrative divisions: | 8 municipalities (baladiyat, singular - baladiyah); Ad Dawhah, Al Khawr wa adh Dhakhirah, Al Wakrah, Ar Rayyan, Ash Shamal, Ash Shihaniyah, Az Za'ayin, Umm Salal |
| Independence: | 3 September 1971 (from the UK) |
| National holiday: | National Day, 18 December (1878), anniversary of Al Thani family accession to the throne; Independence Day, 3 September (1971) |
| Constitution: | history: previous 1972 (provisional); latest drafted 2 July 2002, approved by referendum 29 April 2003, endorsed 8 June 2004, effective 9 June 2005 |
| Constitution: | amendments: proposed by the Amir or by one third of Advisory Council members; passage requires two-thirds majority vote of Advisory Council members and approval and promulgation by the emir; articles pertaining to the rule of state and its inheritance, functions of the emir, and citizen rights and liberties cannot be amended (2016) |
| Legal system: | mixed legal system of civil law and Islamic (sharia) law (in family and personal matters) |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Qatar |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 20 years; 15 years if an Arab national |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Amir TAMIM bin Hamad Al Thani (since 25 June 2013) |
| Executive branch: | head of government: Prime Minister ABDALLAH bin Nasir bin Khalifa Al Thani (since 26 June 2013); Deputy Prime Minister and Minister of State for Defense Affairs KHALID bin MohamedÂ AL Attiyah (since 14 November 2017); Deputy Prime Minister and Minister of Foreign Affairs MOHAMED bin Abdulrahman Al Thani (since 14 November 2017) |
| Executive branch: | cabinet: Council of Ministers appointed by the amir |
| Executive branch: | elections/appointments: the monarchy is hereditary; prime minister and deputy prime minister appointed by the amir |
| Legislative branch: | description: unicameral Advisory Council or Majlis al-Shura (45 seats; 30 members directly elected by popular vote for 4-year re-electable terms; 15 membersÂ appointed by the monarch to serve until resignation or until relieved; note - legislative drafting authority rests with the Council of Ministers and is reviewed by the Advisory Council or Majlis al-Shura |
| Legislative branch: | elections: last on 17 June 2016 (next in 2019); note - in 2016, the amir extended the Advisory Council's current term an additional 3 years |
| Legislative branch: | election results: NA; composition - men 41, women 4, percent of women 8.9% |
| Judicial branch: | highest courts: Supreme Court or Court of Cassation (consists of the court president and several judges); Supreme Constitutional Court (consists of the chief justice and 6 members) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the Supreme Judiciary Council, a 9-member independent body consisting of judiciary heads appointed by the Amir; judges appointed for 3-year renewable terms; Supreme Constitutional Court members nominated by the Supreme Judiciary Council and appointed by the monarch; term of appointment NA |
| Judicial branch: | subordinate courts: Courts of Appeal; Administrative Court; Courts of First Instance; sharia courts; Courts of Justice; Qatar International Court and Dispute Resolution Center, established in 2009, provides dispute resolution services for institutions and bodies in Qatar, as well as internationally |
| Political parties and leaders: | political parties are banned |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, CD, CICA (observer), EITI (implementing country), FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OAS (observer), OIC, OIF, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador MISHAL bin Hamad bin Muhammad Al Thani (since 24 April 2017) |
| Diplomatic representation in the US: | chancery: 2555 M Street NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 274-1600 |
| Diplomatic representation in the US: | FAX: [1] (202) 237-0682 |
| Diplomatic representation in the US: | consulate(s) general: Houston, Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires William GRANT (since 1 August 2018) |
| Diplomatic representation from the US: | telephone: [974] 4496-6000 |
| Diplomatic representation from the US: | embassy: 22 February Street, Al Luqta District, P. O. Box 2399, Doha |
| Diplomatic representation from the US: | mailing address: P. O. Box 2399, Doha |
