| Government | Qatar |
| --- | --- |
| Country name: | conventional long form: State of Qatar |
| Country name: | conventional short form: Qatar |
| Country name: | local long form: Dawlat Qatar |
| Country name: | local short form: Qatar |
| Country name: | note: closest approximation of the native pronunciation falls between cutter and gutter, but not like guitar |
| Government type: | emirate |
| Capital: | name: Doha |
| Capital: | geographic coordinates: 25 17 N, 51 32 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 municipalities (baladiyat, singular - baladiyah); Ad Dawhah, Al Khawr wa adh Dhakhirah, Al Wakrah, Ar Rayyan, Ash Shamal, Az Za'ayin, Umm Salal |
| Independence: | 3 September 1971 (from the UK) |
| National holiday: | Independence Day, 3 September (1971); also observed is National Day, 18 December (1878) (anniversary of Al Thani family accession to the throne) |
| Constitution: | previous 1972 (provisional); latest drafted 2 July 2002, approved by referendum 29 April 2003, endorsed 8 June 2004, effective 9 June 2005 (2013) |
| Legal system: | mixed legal system of civil law and Islamic law (in family and personal matters) |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Amir TAMIM bin Hamad Al Thani (since 25 June 2013) |
| Executive branch: | head of government: Prime Minister ABDALLAH bin Nasir bin Khalifa Al Thani (since 26 June 2013); Deputy Prime Minister Ahmad bin Abdallah al-MAHMUD (since 20 September 2011) |
| Executive branch: | cabinet: Council of Ministers appointed by the amir |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the position of amir is hereditary |
| Legislative branch: | unicameral Advisory Council or Majlis al-Shura (45 seats; 15 members appointed; 30 members to be elected by popular vote beginning mid- or late 2013, per the 2003 constitutional referendum) |
| Legislative branch: | note: the Advisory Council has limited legislative authority to draft and approve laws, but the Amir has final say on all matters; Qatar's first legislative elections are expected to be held in 2013 in which the public would elect 30 members and the Amir would appoint 15; the Advisory Council would have authority to approve the national budget, hold ministers accountable through no-confidence votes, and propose legislation; Qatar in May 2011 held nationwide elections for the 29-member Central Municipal Council (CMC) - first elected in 1999 - which has limited consultative authority aimed at improving municipal services |
| Judicial branch: | highest court(s): Court of Cassation (consists of the court president and several judges); Supreme Constitutional Court (consists of the chief justice and 6 members) |
| Judicial branch: | note - the Supreme Constitutional Court and the Judicial Supreme Council were established in 1999 |
| Judicial branch: | judge selection and term of office: Cassation Court judges nominated by the Judicial Supreme Council, a 9-member independent body consisting of judiciary heads appointed by the monarch; judges appointed for 3-year renewable terms; Supreme Constitutional Court members nominated by the Judicial Supreme Council and appointed by the monarch; term of appointment NA |
| Judicial branch: | subordinate courts: Courts of Appeal; Courts of First Instance; Sharia Courts; Courts of Justice |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, CD, CICA (observer), EITI (implementing country), FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OAS (observer), OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Muhammad bin Abdallah bin Mitib al-RUMAYHI (since 29 March 2012) |
| Diplomatic representation in the US: | chancery: 2555 M Street NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 274-1600 and 274-1603 |
| Diplomatic representation in the US: | FAX: [1] (202) 237-0061 |
| Diplomatic representation in the US: | consulate(s) general: Houston |
| Diplomatic representation from the US: | chief of mission: Ambassador Susan L. ZIADEH (since 11 September 2011) |
| Diplomatic representation from the US: | embassy: Al-Luqta District, 22 February Road, Doha |
| Diplomatic representation from the US: | mailing address: P. O. Box 2399, Doha |
| Diplomatic representation from the US: | telephone: [974] 4496-6000 |
| Diplomatic representation from the US: | FAX: [974] 4488 4298 |
| Flag description: | maroon with a broad white serrated band (nine white points) on the hoist side; maroon represents the blood shed in Qatari wars, white stands for peace; the nine-pointed serrated edge signifies Qatar as the ninth member of the "reconciled emirates" in the wake of the Qatari-British treaty of 1916 |
| Flag description: | note: the other eight emirates are the seven that compose the UAE and Bahrain; according to some sources, the dominant color was formerly red, but this darkened to maroon upon exposure to the sun and the new shade was eventually adopted |
| National anthem: | name: "Al-Salam Al-Amiri" (The Peace for the Anthem) |
| National anthem: | lyrics/music: Sheikh MUBARAK bin Saif al-Thani/Abdul Aziz Nasser OBAIDAN |
| National anthem: | note: adopted 1996; the anthem was first performed that year at a meeting of the Gulf Cooperative Council hosted by Qatar |
