| Government | RWANDA |
| --- | --- |
| Country name: | conventional long form: Republic of Rwanda |
| Country name: | conventional short form: Rwanda |
| Country name: | local long form: Republika y'u Rwanda |
| Country name: | local short form: Rwanda |
| Country name: | former: Ruanda, German East Africa |
| Government type: | republic; presidential, multiparty system |
| Capital: | name: Kigali |
| Capital: | geographic coordinates: 1 57 S, 30 03 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 4 provinces (in French - provinces, singular - province; in Kinyarwanda - intara for singular and plural) and 1 city* (in French - ville; in Kinyarwanda - umujyi); Est (Eastern), Kigali*, Nord (Northern), Ouest (Western), Sud (Southern) |
| Independence: | 1 July 1962 (from Belgium-administered UN trusteeship) |
| National holiday: | Independence Day, 1 July (1962) |
| Constitution: | several previous; latest adopted by referendum 26 May 2003, effective 4 June 2003; amended several times, last in 2010 (2013) |
| Legal system: | mixed legal system of civil law, based on German and Belgian models, and customary law; judicial review of legislative acts in the Supreme Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Paul KAGAME (since 22 April 2000) |
| Executive branch: | head of government: Prime Minister Anastase MUREKEZI (since 24 July 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a 7-year term (eligible for a second term); election last held on 9 August 2010 (next to be held in 2017); prime minister appointed by the president |
| Executive branch: | election results: Paul KAGAME reelected president; Paul KAGAME (RPF) 93.1%, Jean NTAWUKURIRYAYO (PSD) 5.1%, other 1.8% |
| Legislative branch: | description: bicameral Parliament consists of the Senate or Senat (26 seats; 12 members indirectly elected by local councils, 8 appointed by the president, 4 appointed by the Political Organizations Forum - a body of registered political parties, and 2 selected by institutions of higher learning; members serve 8-year terms) and the Chamber of Deputies or Chambre des Deputes (80 seats; 53 members directly elected by proportional representation vote, 24 women elected by special interest groups, and 3 selected by youth and disability organizations; members serve 5-year terms) |
| Legislative branch: | elections: Senate - NA; Chamber of Deputies - last held on 16-18 September 2013 (next to be held in 2018) |
| Legislative branch: | election results: Chamber of Deputies percent of vote by party - RPF 76.2%, PSD 13%, PL 9.3%, other 1.5%; seats by party - RPF 41, PSD 7, PL 5, 27 members indirectly elected |
| Judicial branch: | highest court(s): Supreme Court (consists of the court president, vice president, and 12 judges; normally organized into 3-judge benches) |
| Judicial branch: | note: the Gacaca Court was established in 2001 by the National Unity Government to try cases of genocide against the Tutsis |
| Judicial branch: | judge selection and term of office: judges nominated by the president of the republic after consultation with the Cabinet and the Superior Council of the Judiciary (a 14-member body of judges, other judicial officials, and legal professionals), and approved by the Senate; court president and vice president appointed for 8-year nonrenewable terms; tenure of other judges NA |
| Judicial branch: | subordinate courts: High Court of the Republic; commercial courts including the High Commercial Court; intermediate courts; primary courts; Gacaca and military specialized courts |
| Political parties and leaders: | Liberal Party or PL [Protais MITALI] |
| Political parties and leaders: | Party for Progress and Concord or PPC [Christian MARARA] |
| Political parties and leaders: | Rwandan Patriotic Front or RPF [Paul KAGAME] |
| Political parties and leaders: | Social Democratic Party or PSD [Vincent BIRUTA] |
| Political pressure groups and leaders: | IBUKA (association of genocide survivors) |
| International organization participation: | ACP, AfDB, AU, C, CEPGL, COMESA, EAC, EADB, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, NAM, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMISS, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mathilde MUKANTABANA (since 5 July 2013) |
| Diplomatic representation in the US: | chancery: 1875 Connecticut Avenue, NW, Suite 418, Washington, DC, 2000 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-2882 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-4544 |
| Diplomatic representation from the US: | chief of mission: Ambassador Erica BARKS-RUGGLES (since 26 January 2015) |
| Diplomatic representation from the US: | embassy: 2657 Avenue de la Gendarmerie, Kigali |
| Diplomatic representation from the US: | mailing address: B. P. 28, Kigali |
| Diplomatic representation from the US: | telephone: [250] 596-400 |
| Diplomatic representation from the US: | FAX: [250] 596-591 |
| Flag description: | three horizontal bands of sky blue (top, double width), yellow, and green, with a golden sun with 24 rays near the fly end of the blue band; blue represents happiness and peace, yellow economic development and mineral wealth, green hope of prosperity and natural resources; the sun symbolizes unity, as well as enlightenment and transparency from ignorance |
| National symbol(s): | traditional woven basket with peaked lid; national colors: blue, yellow, green |
| National anthem: | name: "Rwanda nziza" (Rwanda, Our Beautiful Country) |
| National anthem: | lyrics/music: Faustin MURIGO/Jean-Bosco HASHAKAIMANA |
| National anthem: | note: adopted 2001 |
