| Government | Rwanda |
| --- | --- |
| Country name: | conventional long form: Republic of Rwanda |
| Country name: | conventional short form: Rwanda |
| Country name: | local long form: Republika y'u Rwanda |
| Country name: | local short form: Rwanda |
| Country name: | former: Ruanda, German East Africa |
| Country name: | etymology: the name translates as "domain" in the native Kinyarwanda language |
| Government type: | presidential republic |
| Capital: | name: Kigali |
| Capital: | geographic coordinates: 1 57 S, 30 03 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the city takes its name from nearby Mount Kigali; the name "Kigali" is composed of the Bantu prefix "ki" and the Rwandan "gali" meaning "broad" and likely refers to the broad, sprawling hill that has been dignified with the title of "mount" |
| Administrative divisions: | 4 provinces (in French - provinces, singular - province; in Kinyarwanda - intara for singular and plural) and 1 city* (in French - ville; in Kinyarwanda - umujyi); Est (Eastern), Kigali*, Nord (Northern), Ouest (Western), Sud (Southern) |
| Independence: | 1 July 1962 (from Belgium-administered UN trusteeship) |
| National holiday: | Independence Day, 1 July (1962) |
| Constitution: | history: several previous; latest adopted by referendum 26 May 2003, effective 4 June 2003 |
| Constitution: | amendments: proposed by the president of the republic (with Council of Ministers approval) or by two-thirds majority vote of both houses of Parliament; passage requires at least three-quarters majority vote in both houses; changes to constitutional articles on national sovereignty, the presidential term, the form and system of government, and political pluralism also require approval in a referendum; amended 2008, 2010, 2015 (2017) |
| Legal system: | mixed legal system of civil law, based on German and Belgian models, and customary law; judicial review of legislative acts in the Supreme Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Rwanda; if the father is stateless or unknown, the mother must be a citizen |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Paul KAGAME (since 22 April 2000) |
| Executive branch: | head of government: President Paul KAGAME (since 22 April 2000) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by simple majority vote for a 5-year term (eligible for a second term); note - a constitutional amendment approved in December 2016 reduced the presidential term from 7 to 5 years but included an exception that allowed President KAGAME to serve another 7-year term in 2017, potentially followed by two additional 5-year terms; election last held on 4 August 2017 (next to be held in August 2024); prime minister appointed by the president |
| Executive branch: | election results: Paul KAGAME reelected president; Paul KAGAME (RPF) 98.8%, Philippe MPAYIMANA (independent) 0.7%, Frank HABINEZA (DGPR)0.5% |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | Senate or Senat (26 seats; 12 members indirectly elected by local councils, 8 appointed by the president, 4 appointed by the Political Organizations Forum - a body of registered political parties, and 2 selected by institutions of higher learning; members serve 8-year terms) |
| Legislative branch: | Chamber of Deputies or Chambre des Deputes (80 seats; 53 members directly elected by proportional representation vote, 24 women selected by special interest groups, and 3 selected by youth and disability organizations; members serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate -Â last held on 26-27 September 2011 (next to be held in 2019) |
| Legislative branch: | Chamber of Deputies - last held on 3 September 2018 (next to be held in September 2023) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - percent of vote by party - NA; seats by party - NA; composition - men 16, women 10, percent of women 38.5% |
| Legislative branch: | Chamber of Deputies - percent of vote by party - NA; seats by party - Rwandan Patriotic Front Coalition 40, PSD 5, PL 4, other 4 indirectly elected 27; composition - men 26, women 54, percent of women 67.5%; note - total Parliament percent of women 60.4% |
| Judicial branch: | highest courts: Supreme Court (consists of the chief and deputy chief justices and 15 judges; normally organized into 3-judge panels); High Court (consists of the court president, vice president, and a minimum of 24 judges and organized into 5 chambers) |
