| Government | Kenya |
| --- | --- |
| Country name: | conventional long form: Republic of Kenya |
| Country name: | conventional short form: Kenya |
| Country name: | local long form: Republic of Kenya/Jamhuri ya Kenya |
| Country name: | local short form: Kenya |
| Country name: | former: British East Africa |
| Government type: | republic |
| Capital: | name: Nairobi |
| Capital: | geographic coordinates: 1 17 S, 36 49 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 provinces and 1 area*; Central, Coast, Eastern, Nairobi Area*, North Eastern, Nyanza, Rift Valley, Western; note - the constitution promulgated in August 2010 designates 47 yet-to-be-defined counties as first-order administrative units |
| Independence: | 12 December 1963 (from the UK) |
| National holiday: | Independence Day, 12 December (1963); Madaraka Day, 1 June (1963); Mashujaa Day, 20 October (2010) |
| Constitution: | 27 August 2010; the new constitution abolishes the position of prime minister and establishes a bicameral legislature; many details have yet to be finalized and will require significant legislative action |
| Legal system: | mixed legal system of English common law, Islamic law, and customary law; judicial review in High Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mwai KIBAKI (since 30 December 2002); Vice President Stephen Kalonzo MUSYOKA (since 10 January 2008); |
| Executive branch: | head of government: President Mwai KIBAKI (since 30 December 2002); Vice President Stephen Kalonzo MUSYOKA (since 10 January 2008); Prime Minister Raila Amolo ODINGA (since 17 April 2008); note - according to the 2008 powersharing agreement the role of the prime minister was not well defined; constitutionally, the president remains chief of state and head of government, but the prime minister is charged with coordinating government business |
| Executive branch: | cabinet: Cabinet appointed by the president and chaired by the prime minister, who is the leader of the largest party in parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); in addition to receiving the largest number of votes in absolute terms, the presidential candidate must also win 25% or more of the vote in at least five of Kenya's seven provinces and one area to avoid a runoff; election last held on 27 December 2007 (next to be held in March 2013); vice president appointed by the president; note - the new constitution sets elections for August 2011 but this date is expected to slip |
| Executive branch: | election results: President Mwai KIBAKI reelected; percent of vote - Mwai KIBAKI 46%, Raila ODINGA 44%, Kalonzo MUSYOKA 9%, other 3.4% |
| Legislative branch: | unicameral National Assembly or Bunge usually referred to as Parliament (224 seats; 210 members elected by popular vote to serve five-year terms, 12 nominated members appointed by the president but selected by the parties in proportion to their parliamentary vote totals, 2 ex-officio members); note - the constitution promulgated in August 2010 changes the legislature to a bicameral parliament consisting of a 290 member National Assembly and a 94 member Senate; parliament members will serve five year terms |
| Legislative branch: | elections: last held on 27 December 2007 (next to be held in March 2013) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - ODM 99, PNU 46, ODM-K 16, KANU 14 other 35; ex-officio 2; seats appointed by the president - ODM 6, PNU 3, ODM-K 2, KANU 1 |
| Judicial branch: | Court of Appeal (chief justice is appointed by the president); High Court; note - the constitution promulgated in August 2010 specifies three superior courts consisting of a Supreme Court, Court of Appeals, and High Court, and three subordinate courts consisting of Magistrate courts, Kadhis courts (sentences according to Muslim law), and Courts Martial |
| Political parties and leaders: | Kenya African National Union or KANU [Gideon MOI]; The National Party Alliance or TNA [Uhuru KENYATTA]; National Rainbow Coalition-Kenya or NARC-Kenya [Martha KARUA]; Orange Democratic Movement or ODM [Raila ODINGA]; Orange Democratic Movement-Kenya or ODM-K [Kalonzo MUSYOKA]; Party of National Unity or PNU [Mwai KIBAKI]; United Republican Party or URP [William Ruto]; Wiper Democratic Movement or WDM [Kalonzo MUSYOKA] |
| Political pressure groups and leaders: | Council of Islamic Preachers of Kenya or CIPK [Sheikh Idris MOHAMMED]; Kenya Human Rights Commission [L. Muthoni WANYEKI]; Muslim Human Rights Forum [Ali-Amin KIMATHI]; National Muslim Leaders Forum or NAMLEF [Abdullahi ABDI]; Protestant National Council of Churches of Kenya or NCCK [Canon Peter Karanja MWANGI]; Roman Catholic and other Christian churches; Supreme Council of Kenya Muslims or SUPKEM [Shaykh Abdul Gafur al-BUSAIDY] |
| Political pressure groups and leaders: | other: labor unions |
| International organization participation: | ACP, AfDB, AU, C, CD, COMESA, EAC, EADB, FAO, G-15, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMISS, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Elkanah ODEMBO Absalom |
| Diplomatic representation in the US: | chancery: 2249 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-6101 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-3829 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert F. GODEC |
| Diplomatic representation from the US: | embassy: US Embassy, United Nations Avenue, Nairobi; P. O. Box 606 Village Market, Nairobi 00621 |
| Diplomatic representation from the US: | mailing address: Box 21A, Unit 64100, APO AE 09831 |
| Diplomatic representation from the US: | telephone: [254] (20) 363-6000 |
| Diplomatic representation from the US: | FAX: [254] (20) 363-410 |
| Flag description: | three equal horizontal bands of black (top), red, and green; the red band is edged in white; a large Maasai warrior's shield covering crossed spears is superimposed at the center; black symbolizes the majority population, red the blood shed in the struggle for freedom, green stands for natural wealth, and white for peace; the shield and crossed spears symbolize the defense of freedom |
| National symbol(s): | lion |
| National anthem: | name: "Ee Mungu Nguvu Yetu" (Oh God of All Creation) |
| National anthem: | lyrics/music: Graham HYSLOP, Thomas KALUME, Peter KIBUKOSYA, Washington OMONDI, and George W. SENOGA-ZAKE/traditional, adapted by Graham HYSLOP, Thomas KALUME, Peter KIBUKOSYA, Washington OMONDI, and George W. SENOGA-ZAKE |
| National anthem: | note: adopted 1963; the anthem is based on a traditional Kenyan folk song |
