| Government | Kenya |
| --- | --- |
| Country name: | conventional long form: Republic of Kenya |
| Country name: | conventional short form: Kenya |
| Country name: | local long form: Republic of Kenya/Jamhuri y Kenya |
| Country name: | local short form: Kenya |
| Country name: | former: British East Africa |
| Government type: | republic |
| Capital: | name: Nairobi |
| Capital: | geographic coordinates: 1 17 S, 36 49 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 provinces and 1 area*; Central, Coast, Eastern, Nairobi Area*, North Eastern, Nyanza, Rift Valley, Western |
| Independence: | 12 December 1963 (from UK) |
| National holiday: | Independence Day, 12 December (1963) |
| Constitution: | 12 December 1963; amended as a republic 1964; reissued with amendments 1979, 1982, 1986, 1988, 1991, 1992, 1997, 2001; note - a new draft constitution was defeated by popular referendum in 2005 |
| Legal system: | based on Kenyan statutory law, Kenyan and English common law, tribal law, and Islamic law; judicial review in High Court; accepts compulsory ICJ jurisdiction with reservations; constitutional amendment of 1982 making Kenya a de jure one-party state repealed in 1991 |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mwai KIBAKI (since 30 December 2002); Vice President Moody AWORI (since 25 September 2003); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Mwai KIBAKI (since 30 December 2002); Vice President Moody AWORI (since 25 September 2003) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); in addition to receiving the largest number of votes in absolute terms, the presidential candidate must also win 25% or more of the vote in at least five of Kenya's seven provinces and one area to avoid a runoff; election last held 27 December 2002 (next to be held in December 2007); vice president appointed by the president |
| Executive branch: | election results: President Mwai KIBAKI elected; percent of vote - Mwai KIBAKI 63%, Uhuru KENYATTA 30% |
| Legislative branch: | unicameral National Assembly or Bunge (224 seats; 210 members elected by popular vote to serve five-year terms, 12 so-called "nominated" members who are appointed by the president but selected by the parties in proportion to their parliamentary vote totals, 2 ex-officio members) |
| Legislative branch: | elections: last held 27 December 2002 (next to be held in December 2007) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NARC 125, KANU 64, FORD-P 14, other 7; ex-officio 2; seats appointed by the president - NARC 7, KANU 4, FORD-P 1 |
| Judicial branch: | Court of Appeal (chief justice is appointed by the president); High Court |
| Political parties and leaders: | Forum for the Restoration of Democracy-Kenya or FORD-Kenya [Musikari KOMBO or Soita SHITANDA, disputed]; Forum for the Restoration of Democracy-People or FORD-People [Simeon NYACHAE]; Kenya African National Union or KANU [Nicholas BIWOTT or Uhuru KENYATTA, disputed]; National Rainbow Coalition-Kenya or NARC-K [Mwai KIBAKI, unofficially, since the break-up of KIBAKI's original coalition]; Orange Democratic Movement-Kenya or ODM-Kenya [Raila ODINGA, unofficially] |
| Political pressure groups and leaders: | human rights groups; labor unions; Muslim organizations; National Convention Executive Council or NCEC, a proreform coalition of political parties and nongovernment organizations [Ndung'u WAINANA]; Protestant National Council of Churches of Kenya or NCCK [Mutava MUSYIMI]; Roman Catholic and other Christian churches; Supreme Council of Kenya Muslims or SUPKEM [Shaykh Abdul Gafur al-BUSAIDY] |
| International organization participation: | ACP, AfDB, AU, C, COMESA, EAC, EADB, FAO, G-15, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUC, NAM, ONUB, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Peter Rateng Oginga OGEGO |
| Diplomatic representation in the US: | chancery: 2249 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-6101 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-3829 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael RANNEBERGER |
| Diplomatic representation from the US: | embassy: US Embassy, United Nations Avenue, Gigiri; P. O. Box 606 Village Market Nairobi |
| Diplomatic representation from the US: | mailing address: Box 21A, Unit 64100, APO AE 09831 |
| Diplomatic representation from the US: | telephone: [254] (20) 537-800 |
| Diplomatic representation from the US: | FAX: [254] (20) 537-810 |
| Flag description: | three equal horizontal bands of black (top), red, and green; the red band is edged in white; a large warrior's shield covering crossed spears is superimposed at the center |
