| Government | Bahamas, The |
| --- | --- |
| Country name: | conventional long form: Commonwealth of The Bahamas |
| Country name: | conventional short form: The Bahamas |
| Country name: | etymology: name derives from the Spanish "baha mar," meaning "shallow sea," which describes the shallow waters of the Bahama Banks |
| Government type: | parliamentary democracyÂ under a constitutional monarchy; a Commonwealth realm |
| Capital: | name: Nassau |
| Capital: | geographic coordinates: 25 05 N, 77 21 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Capital: | etymology: named after William III (1650-1702), king of England, Scotland, and Ireland, who was a member of the House of Nassau |
| Administrative divisions: | 31 districts; Acklins Islands, Berry Islands, Bimini, Black Point, Cat Island, Central Abaco, Central Andros, Central Eleuthera, City of Freeport, Crooked Island and Long Cay, East Grand Bahama, Exuma, Grand Cay, Harbour Island, Hope Town, Inagua, Long Island, Mangrove Cay, Mayaguana, Moore's Island, North Abaco, North Andros, North Eleuthera, Ragged Island, Rum Cay, San Salvador, South Abaco, South Andros, South Eleuthera, Spanish Wells, West Grand Bahama |
| Independence: | 10 July 1973 (from the UK) |
| National holiday: | Independence Day, 10 July (1973) |
| Constitution: | history: previous 1964 (preindependence); latest adopted 20 June 1973, effective 10 July 1973 |
| Constitution: | amendments: proposed as an "Act" by Parliament; passage of amendments to articles such as the organization and composition of the branches of government requires approval by at least two-thirds majority of the membership of both houses of Parliament and majority approval in a referendum; passage of amendments to constitutional articles such as fundamental rights and individual freedoms, the powers, authorities, and procedures of the branches of government, or changes to the Bahamas Independence Act 1973 requires approval by at least three-fourths majority of the membership of both houses and majority approval in a referendum; amended many times, last in 2016 (2018) |
| Legal system: | common law system based on the English model |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of The Bahamas |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 6-9 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Cornelius A. SMITH (since 28 June 2019) |
| Executive branch: | head of government: Prime Minister Hubert MINNIS (since 11 May 2017) |
| Executive branch: | cabinet: Cabinet appointed by governor general on recommendation of prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general appointed by the monarch on the advice of the prime minister; following legislative elections, the leader of the majority party or majority coalition usually appointed prime minister by the governor general; the prime minister recommends the deputy prime minister |
| Executive branch: | note: Prime Minister Hubert MINNIS is only the fourth prime minister in Bahamian history following its independence from the UK; he is also the first prime minister in 25 years besides Perry CHRISTIE and Hubert INGRAHAM, who repeatedly traded the premiership from 1992 to 2017 |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | Senate (16 seats; members appointed by the governor general upon the advice of the prime minister and the opposition leader to serve 5-year terms) |
| Legislative branch: | House of Assembly (39 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last appointments on 24 May 2017 (next appointments in 2022) |
| Legislative branch: | House of Assembly - last held on 10 May 2017 (next to be held by May 2022) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - appointed; composition - men 9, women 7, percent of women 43.8% |
| Legislative branch: | House of Assembly - percent of vote by party - FNM 57%, PLP 36.9%, other 6.1%; seats by party - FNM 35, PLP 4; composition - men 34, women 5, percent of women 12.8%; note - total Parliament percent of women 21.8% |
| Legislative branch: | note: the government may dissolve the parliament and call elections at any time |
| Judicial branch: | highest courts: Court of Appeal (consists of the court president and 4 justices, organized in 3-member panels); Supreme Court (consists of the chief justice and a maximum of 11 and a minimum of 2 justices) |
| Judicial branch: | judge selection and term of office: Court of Appeal president and Supreme Court chief justice appointed by the governor-general on the advice of the prime minister after consultation with the leader of the opposition party; other Court of Appeal and Supreme Court justices appointed by the governor general upon recommendation of the Judicial and Legal Services Commission, a 5-member body headed by the chief justice; Court of Appeal justices appointed for life with mandatory retirement normally at age 68 but can be extended until age 70; Supreme Court justices appointed for life with mandatory retirement normally at age 65 but can be extended until age 67 |
| Judicial branch: | subordinate courts: Industrial Tribunal; Stipendiary and Magistrates' Courts; Family Island Administrators |
