| Government | BAHAMAS, THE |
| --- | --- |
| Country name: | conventional long form: Commonwealth of The Bahamas |
| Country name: | conventional short form: The Bahamas |
| Country name: | etymology: name derives from the Spanish "baha mar," meaning "shallow sea," which describes the shallow waters of the Bahama Banks |
| Government type: | parliamentary democracy (Parliament) under a constitutional monarchy; a Commonwealth realm |
| Capital: | name: Nassau |
| Capital: | geographic coordinates: 25 05 N, 77 21 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Administrative divisions: | 31 districts; Acklins Islands, Berry Islands, Bimini, Black Point, Cat Island, Central Abaco, Central Andros, Central Eleuthera, City of Freeport, Crooked Island and Long Cay, East Grand Bahama, Exuma, Grand Cay, Harbour Island, Hope Town, Inagua, Long Island, Mangrove Cay, Mayaguana, Moore's Island, North Abaco, North Andros, North Eleuthera, Ragged Island, Rum Cay, San Salvador, South Abaco, South Andros, South Eleuthera, Spanish Wells, West Grand Bahama |
| Independence: | 10 July 1973 (from the UK) |
| National holiday: | Independence Day, 10 July (1973) |
| Constitution: | previous 1964 (preindependence); latest adopted 20 June 1973, effective 10 July 1973; amended many times, last in 2016 (2016) |
| Legal system: | common law system based on the English model |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of The Bahamas |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 6-9 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Dame Marguerite PINDLING (since 8 July 2014) |
| Executive branch: | head of government: Prime Minister Hubert MINNIS (since 11 May 2017) |
| Executive branch: | cabinet: Cabinet appointed by governor general on recommendation of prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party or majority coalition usually appointed prime minister by the governor general; the prime minister recommends the deputy prime minister |
| Legislative branch: | description: bicameral Parliament consists of the Senate (16 seats; members appointed by the governor general upon the advice of the prime minister and the opposition leader to serve 5-year terms) and the House of Assembly (39 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms); note - the government may dissolve the parliament and call elections at any time |
| Legislative branch: | elections: last held on 10 May 2017 (next to be held by May 2022) |
| Legislative branch: | election results: percent of vote by party - FNM 57%, PLP 36.9%, other 6.1%; seats by party - FNM 35, PLP 4 |
| Judicial branch: | highest resident court(s): Court of Appeal (consists of the court president and 4 justices, organized in 3-member panels); Supreme Court (consists of the chief justice and a maximum of 11 and a minimum of 2 justices) |
| Judicial branch: | note: as of 2008, the Bahamas was not a party to the agreement establishing the Caribbean Court of Justice as the highest appellate court for the 15-member Caribbean Community (CARICOM); the Judicial Committee of the Privy Council (in London) serves as the final court of appeal for The Bahamas |
| Judicial branch: | judge selection and term of office: Court of Appeal president and Supreme Court chief justice appointed by the governor-general on the advice of the prime minister after consultation with the leader of the opposition party; other Court of Appeal and Supreme Court justices appointed by the governor general upon recommendation of the Judicial and Legal Services Commission, a 5-member body headed by the chief justice; Court of Appeal justices appointed for life with mandatory retirement normally at age 68 but can be extended until age 70; Supreme Court justices appointed for life with mandatory retirement normally at age 65 but can be extended until age 67 |
| Judicial branch: | subordinate courts: Industrial Tribunal; Stipendiary and Magistrates' Courts; Family Island Administrators |
| Political parties and leaders: | Democratic National Alliance or DNA [Branville MCCARTNEY] |
| Political parties and leaders: | Free National Movement or FNM [Hubert MINNIS] |
| Political parties and leaders: | Progressive Liberal Party or PLP [Philip "Brave" DAVIS] |
| Political pressure groups and leaders: | Friends of the Environment [Wynsome FERGUSON] |
| Political pressure groups and leaders: | other: trade unions |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, ISO (correspondent), ITSO, ITU, LAES, MIGA, NAM, OAS, OPANAL, OPCW, Petrocaribe, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
