| Government | Bahamas, The |
| --- | --- |
| Country name: | conventional long form: Commonwealth of The Bahamas |
| Country name: | conventional short form: The Bahamas |
| Government type: | constitutional parliamentary democracy |
| Capital: | Nassau |
| Administrative divisions: | 21 districts; Acklins and Crooked Islands, Bimini, Cat Island, Exuma, Freeport, Fresh Creek, Governor's Harbour, Green Turtle Cay, Harbour Island, High Rock, Inagua, Kemps Bay, Long Island, Marsh Harbour, Mayaguana, New Providence, Nichollstown and Berry Islands, Ragged Island, Rock Sound, Sandy Point, San Salvador and Rum Cay |
| Independence: | 10 July 1973 (from UK) |
| National holiday: | Independence Day, 10 July (1973) |
| Constitution: | 10 July 1973 |
| Legal system: | based on English common law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by Governor General Dame Ivy DUMONT (since NA May 2002) |
| Executive branch: | head of government: Prime Minister Perry CHRISTIE (since 3 May 2002) and Deputy Prime Minister Cynthia PRATT (since 7 May 2002) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the prime minister's recommendation |
| Executive branch: | elections: none; the monarch is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the governor general; the prime minister recommends the deputy prime minister |
| Legislative branch: | bicameral Parliament consists of the Senate (16-member body appointed by the governor general upon the advice of the prime minister and the opposition leader for five-year terms) and the House of Assembly (40 seats; members elected by direct popular vote to serve five-year terms); the government may dissolve the parliament and call elections at any time |
| Legislative branch: | elections: last held 1 May 2002 (next to be held by May 2007) |
| Legislative branch: | election results: percent of vote by party - PLP 50.8%, FNM 41.1%, independents 5.2%; seats by party - PLP 29, FNM 7, independents 4 |
| Judicial branch: | Supreme Court; Court of Appeal; magistrates courts |
| Political parties and leaders: | Free National Movement or FNM [Tommy TURNQUEST]; Progressive Liberal Party or PLP [Perry CHRISTIE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, C, Caricom, CDB, FAO, G-77, IADB, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOM, IOC, ITU, LAES, MIGA, NAM, OAS, OPANAL, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Joshua SEARS |
| Diplomatic representation in the US: | consulate(s) general: Miami and New York |
| Diplomatic representation in the US: | FAX: [1] (202) 319-2668 |
| Diplomatic representation in the US: | telephone: [1] (202) 319-2660 |
| Diplomatic representation in the US: | chancery: 2220 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador John D. ROOD |
| Diplomatic representation from the US: | embassy: 42 Queen Street, Nassau |
| Diplomatic representation from the US: | mailing address: local or express mail address: P. O. Box N-8197, Nassau; Department of State, 3370 Nassau Place, Washington, DC 20521-3370 |
| Diplomatic representation from the US: | telephone: [1] (242) 322-1181, 328-2206 (after hours) |
| Diplomatic representation from the US: | FAX: [1] (242) 356-0222 |
| Flag description: | three equal horizontal bands of aquamarine (top), gold, and aquamarine, with a black equilateral triangle based on the hoist side |
