| Government | Uruguay |
| --- | --- |
| Country name: | conventional long form: Oriental Republic of Uruguay |
| Country name: | conventional short form: Uruguay |
| Country name: | local long form: Republica Oriental del Uruguay |
| Country name: | local short form: Uruguay |
| Country name: | former: Banda Oriental, Cisplatine Province |
| Government type: | constitutional republic |
| Capital: | name: Montevideo |
| Capital: | geographic coordinates: 34 51 S, 56 10 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in October; ends second Sunday in March |
| Administrative divisions: | 19 departments (departamentos, singular - departamento); Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Maldonado, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano, Tacuarembo, Treinta y Tres |
| Independence: | 25 August 1825 (from Brazil) |
| National holiday: | Independence Day, 25 August (1825) |
| Constitution: | several previous; latest approved by plebiscite 27 November 1966, effective 15 February 1967; amended several times, last in 2004 (2013) |
| Legal system: | civil law system based on the Spanish civil code |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Jose "Pepe" MUJICA Cordano (since 1 March 2010); Vice President Danilo ASTORI Saragoza (since 1 March 2010); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Jose "Pepe" MUJICA Cordano (since 1 March 2010); Vice President Danilo ASTORI Saragoza (since 1 March 2010) |
| Executive branch: | cabinet: Council of Ministers appointed by the president with parliamentary approval |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for five-year terms (may not serve consecutive terms); election last held on 29 November 2009 (next to be held in October 2014) |
| Executive branch: | election results: Jose "Pepe" MUJICA Cordano elected president; percent of vote - Jose "Pepe" MUJICA Cordano 54.8%, Luis Alberto LACALLE 45.2% |
| Legislative branch: | bicameral General Assembly or Asamblea General consists of Chamber of Senators or Camara de Senadores (30 seats; members elected by popular vote to serve five-year terms; vice president has one vote in the Senate) and Chamber of Representatives or Camara de Representantes (99 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Chamber of Senators - last held on 25 October 2009 (next to be held in October 2014); Chamber of Representatives - last held on 25 October 2009 (next to be held in October 2014) |
| Legislative branch: | election results: Chamber of Senators - percent of vote by party - NA; seats by party - Frente Amplio 16, Blanco 9, Colorado Party 5; Chamber of Representatives - percent of vote by party - NA; seats by party - Frente Amplio 50, Blanco 30, Colorado Party 17, Independent Party 2 |
| Judicial branch: | highest court(s): Supreme Court of Justice (consists of 5 judges) |
| Judicial branch: | judge selection and term of office: judges nominated by the president and appointed in joint conference of the General Assembly; judges appointed for 10-year terms, with re-election after a lapse of 5 years following the previous term |
| Judicial branch: | subordinate courts: Courts of Appeal; District Courts (Juzagados Letrados); Peace Courts (Juzagados de Paz); Rural Courts (Juzgados Rurales) |
| Political parties and leaders: | Broad Front (Frente Amplio) - formerly known as the Progressive Encounter/Broad Front Coalition or EP-FA [Monica XAVIER] (a broad governing coalition that includes Popular Participation Movement (MPP), New Space Party (Nuevo Espacio) [Rafael MICHELINI], Progressive Alliance (Alianza Progresista) [Rodolfo NIN NOVOA], Socialist Party [vacant], Communist Party [Eduardo LORIER], Uruguayan Assembly (Asamblea Uruguay) [Danilo ASTORI Saragoza], and Vertiente Artiguista [Enrique RUBIO]) |
