| Government | Uruguay |
| --- | --- |
| Country name: | conventional long form: Oriental Republic of Uruguay |
| Country name: | conventional short form: Uruguay |
| Country name: | local long form: Republica Oriental del Uruguay |
| Country name: | local short form: Uruguay |
| Country name: | former: Banda Oriental, Cisplatine Province |
| Country name: | etymology: name derives from the Spanish pronunciation of the Guarani Indian designation of the Uruguay River, which makes up the western border of the country and whose name later came to be applied to the entire country |
| Government type: | presidential republic |
| Capital: | name: Montevideo |
| Capital: | geographic coordinates: 34 51 S, 56 10 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 19 departments (departamentos, singular - departamento); Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Maldonado, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano, Tacuarembo, Treinta y Tres |
| Independence: | 25 August 1825 (from Brazil) |
| National holiday: | Independence Day, 25 August (1825) |
| Constitution: | history: several previous; latest approved by plebiscite 27 November 1966, effective 15 February 1967 (2018) |
| Constitution: | amendments: initiated by public petition of at least 10% of qualified voters, proposed by agreement of at least two-fifths of the General Assembly membership, or by existing "constitutional laws" sanctioned by at least two-thirds of the membership in both houses of the Assembly; proposals can also be submitted by senators, representatives, or by the executive power and require the formation of and approval in a national constituent convention; final passage by either method requires approval by absolute majority of votes cast in a referendum; amended many times, last in 2004 (2018) |
| Legal system: | civil law system based on the Spanish civil code |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 3-5 years |
| Suffrage: | 18 years of age; universal and compulsory |
| Judicial branch: | highest courts: Supreme Court of Justice (consists of 5 judges) |
| Judicial branch: | judge selection and term of office: judges nominated by the president and appointed in joint conference of the General Assembly; judges serve 10-year terms, with reelection possible after a lapse of 5 years following the previous term |
| Judicial branch: | subordinate courts: Courts of Appeal; District Courts (Juzgados Letrados); Peace Courts (Juzgados de Paz); Rural Courts (Juzgados Rurales) |
| Executive branch: | chief of state: President Tabare VAZQUEZ (since 1 March 2015); Vice President Lucia TOPOLANSKY (since 13 September 2017); note - Vice President Raul Fernando SENDIC Rodriguez (since 1 March 2015) stepped down on 9 September amid accusations of misuse of public funds; the president is both chief of state and head of government |
| Executive branch: | head of government: President Tabare VAZQUEZ (since 1 March 2015); Vice President Lucia TOPOLANSKY (since 13 September 2017) |
| Executive branch: | cabinet: Council of Ministers appointed by the president with approval of the General Assembly |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by absolute majority vote in 2 rounds if needed for a 5-year term (eligible for nonconsecutive terms); election last held on 26 October 2014 with a runoff election on 30 November 2014 (next to be held on 27 October 2019, and a runoff if needed on 24 November 2019) |
| Executive branch: | election results: Tabare VAZQUEZ elected president in second round; percent of vote - Tabare VAZQUEZ (Socialist Party) 56.5%, Luis Alberto LACALLE Pou (Blanco) 43.4% |
| Legislative branch: | description: bicameral General Assembly or Asamblea General consists of: |
| Legislative branch: | Chamber of Senators or Camara de Senadores (31 seats; members directly elected in a single nationwide constituency by proportional representation vote; the vice-president serves as the presiding ex-officio member; elected members serve 5-year terms) |
| Legislative branch: | Chamber of Representatives or Camara de Representantes (99 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: |
