| Government | Uruguay |
| --- | --- |
| Country name: | conventional long form: Oriental Republic of Uruguay |
| Country name: | conventional short form: Uruguay |
| Country name: | local short form: Uruguay |
| Country name: | former: Banda Oriental, Cisplatine Province |
| Country name: | local long form: Republica Oriental del Uruguay |
| Government type: | constitutional republic |
| Capital: | Montevideo |
| Administrative divisions: | 19 departments (departamentos, singular - departamento); Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Maldonado, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano, Tacuarembo, Treinta y Tres |
| Independence: | 25 August 1825 (from Brazil) |
| National holiday: | Independence Day, 25 August (1825) |
| Constitution: | 27 November 1966, effective February 1967, suspended 27 June 1973, new constitution rejected by referendum 30 November 1980; two constitutional reforms approved by plebiscite 26 November 1989 and 7 January 1997 |
| Legal system: | based on Spanish civil law system; accepts compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Jorge BATLLE Ibanez (since 1 March 2000) and Vice President Luis HIERRO (since 1 March 2000); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Jorge BATLLE Ibanez (since 1 March 2000) and Vice President Luis HIERRO (since 1 March 2000); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Council of Ministers appointed by the president with parliamentary approval |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for five-year terms; election last held 31 October 1999, with runoff election on 28 November 1999 (next to be held NA 2004) |
| Executive branch: | election results: Jorge BATLLE Ibanez elected president; percent of vote - Jorge BATLLE Ibanez 52% in a runoff against Tabare VAZQUEZ 44% |
| Legislative branch: | bicameral General Assembly or Asamblea General consists of Chamber of Senators or Camara de Senadores (30 seats; members are elected by popular vote to serve five-year terms) and Chamber of Representatives or Camara de Representantes (99 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Chamber of Senators - last held 31 October 1999 (next to be held NA 2004); Chamber of Representatives - last held 31 October 1999 (next to be held NA 2004) |
| Legislative branch: | election results: Chamber of Senators - percent of vote by party - NA%; seats by party - Encuentro Progresista 12, Colorado Party 10, Blanco 7, New Sector/Space Coalition 1; Chamber of Representatives - percent of vote by party - NA%; seats by party - Encuentro Progresista 40, Colorado Party 33, Blanco 22, New Sector/Space Coalition 4 |
| Judicial branch: | Supreme Court (judges are nominated by the president and elected for 10-year terms by the General Assembly) |
| Political parties and leaders: | Colorado Party [Jorge BATLLE Ibanez]; National Party or Blanco [Luis Alberto LACALLE Herrera]; New Sector/Space Coalition or Nuevo Espacio [Rafael MICHELINI]; Progressive Encounter/Broad Front Coalition or Encuentro Progresista/Frente Amplio [Tabare VAZQUEZ] |
| Political pressure groups and leaders: | NA |
| International organization participation: | CCC, ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur, MINURSO, MONUC, NAM (observer), OAS, OPANAL, OPCW, PCA, RG, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNIKOM, UNMEE, UNMOGIP, UNMOT, UNOMIG, UNTAET, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Hugo FERNANDEZ-FAINGOLD |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, Miami, and New York |
| Diplomatic representation in the US: | FAX: [1] (202) 331-8142 |
| Diplomatic representation in the US: | telephone: [1] (202) 331-1313 through 1316 |
| Diplomatic representation in the US: | chancery: 1913 I Street NW, Washington, DC 20006 |
| Diplomatic representation from the US: | chief of mission: Ambassador Martin J. SILVERSTEIN |
| Diplomatic representation from the US: | embassy: Lauro Muller 1776, Montevideo 11200 |
| Diplomatic representation from the US: | mailing address: APO AA 34035 |
| Diplomatic representation from the US: | telephone: [598] (2) 418-7777 |
| Diplomatic representation from the US: | FAX: [598] (2) 418-8611 |
| Flag description: | nine equal horizontal stripes of white (top and bottom) alternating with blue; there is a white square in the upper hoist-side corner with a yellow sun bearing a human face known as the Sun of May and 16 rays alternately triangular and wavy |
