| Government | URUGUAY |
| --- | --- |
| Country name: | conventional long form: Oriental Republic of Uruguay |
| Country name: | conventional short form: Uruguay |
| Country name: | local long form: Republica Oriental del Uruguay |
| Country name: | local short form: Uruguay |
| Country name: | former: Banda Oriental, Cisplatine Province |
| Country name: | etymology: the Guarani Indians named the Uruguay River, which makes up the western border of the country and whose name later came to be applied to the entire country |
| Government type: | presidential republic |
| Capital: | name: Montevideo |
| Capital: | geographic coordinates: 34 51 S, 56 10 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 19 departments (departamentos, singular - departamento); Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Maldonado, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano, Tacuarembo, Treinta y Tres |
| Independence: | 25 August 1825 (from Brazil) |
| National holiday: | Independence Day, 25 August (1825) |
| Constitution: | several previous; latest approved by plebiscite 27 November 1966, effective 15 February 1967; amended several times, last in 2004 (2016) |
| Legal system: | civil law system based on the Spanish civil code |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 3-5 years |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Tabare VAZQUEZ (since 1 March 2015); Vice President Raul Fernando SENDIC Rodriguez (since 1 March 2015); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Tabare VAZQUEZ (since 1 March 2015); Vice President Raul Fernando SENDIC Rodriguez (since 1 March 2015) |
| Executive branch: | cabinet: Council of Ministers appointed by the president with approval of the General Assembly |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by absolute majority vote in 2 rounds if needed for a 5-year term (eligible for nonconsecutive terms); election last held on 26 October 2014, with a runoff election on 30 November 2014 (next to be held on 27 October 2019, and a runoff if needed on 24 November 2019) |
| Executive branch: | election results: Tabare VAZQUEZ elected president in a runoff election; percent of vote - Tabare VAZQUEZ (Socialist Party) 56.5%, Luis Alberto LACALLE Pou (Blanco) 43.4% |
| Legislative branch: | description: bicameral General Assembly or Asamblea General consists of the Chamber of Senators or Camara de Senadores (31 seats; members directly elected in a single nationwide constituency by proportional representation vote; the vice-president serves as the presiding ex-officio member; elected members serve 5-year terms) and the Chamber of Representatives or Camara de Representantes (99 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: Chamber of Senators - last held on 26 October 2014 (next to be held in October 2019); Chamber of Representatives - last held on 26 October 2014 (next to be held in October 2019) |
| Legislative branch: | election results: Chamber of Senators - percent of vote by party - NA; seats by party - Frente Amplio 15, Blanco 10, Colorado Party 4, Independent Party 1; Chamber of Representatives - percent of vote by party - NA; seats by party - Frente Amplio 50, Blanco 32, Colorado Party 13, Independent Party 3, Popular Assembly 1 |
| Judicial branch: | highest court(s): Supreme Court of Justice (consists of 5 judges) |
| Judicial branch: | judge selection and term of office: judges nominated by the president and appointed in joint conference of the General Assembly; judges appointed for 10-year terms, with reelection after a lapse of 5 years following the previous term |
| Judicial branch: | subordinate courts: Courts of Appeal; District Courts (Juzagados Letrados); Peace Courts (Juzagados de Paz); Rural Courts (Juzgados Rurales) |
