| Government | El Salvador |
| --- | --- |
| Country name: | conventional long form: Republic of El Salvador |
| Country name: | conventional short form: El Salvador |
| Country name: | local long form: Republica de El Salvador |
| Country name: | local short form: El Salvador |
| Government type: | republic |
| Capital: | name: San Salvador |
| Capital: | geographic coordinates: 13 42 N, 89 12 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Administrative divisions: | 14 departments (departamentos, singular - departamento); Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 20 December 1983 |
| Legal system: | based on civil and Roman law with traces of common law; judicial review of legislative acts in the Supreme Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mauricio FUNES Cartagena (since 1 June 2009); Vice President Salvador SANCHEZ CEREN (since 1 June 2009); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Mauricio FUNES Cartagena (since 1 June 2009); Vice President Salvador SANCHEZ CEREN (since 1 June 2009) |
| Executive branch: | cabinet: Council of Ministers selected by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a single five-year term; election last held on 15 March 2009 (next to be held in March 2014) |
| Executive branch: | election results: Mauricio FUNES Cartagena elected president; percent of vote - Mauricio FUNES Cartagena 51.3%, Rodrigo AVILA 48.7% |
| Legislative branch: | unicameral Legislative Assembly or Asamblea Legislativa (84 seats; members elected by direct, popular vote to serve three-year terms) |
| Legislative branch: | elections: last held on 18 January 2009 (next to be held in March 2012) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - FMLN 35, ARENA 32, PCN 11, PDC 5, CD 1; note - as of 1 January 2011, the current composition of the legislature by seats is as follows: FMLN 35, ARENA 19, GANA 16, PCN 10, PDC 2, CD 1, Independent 1 |
| Judicial branch: | Supreme Court or Corte Suprema (15 judges are selected by the Legislative Assembly; the 15 judges are assigned to four Supreme Court chambers - constitutional, civil, penal, and administrative conflict) |
| Political parties and leaders: | Christian Democratic Party or PDC [Rodolfo PARKER]; Democratic Convergence or CD [Oscar KATTAN] (formerly United Democratic Center or CDU); Farabundo Marti National Liberation Front or FMLN [Medardo GONZALEZ]; National Conciliation Party or PCN [Ciro CRUZ ZEPEDA]; Nationalist Republican Alliance or ARENA [Alfredo CRISTIANI]; Great Alliance for National Unity or GANA [Andres ROVIRA] |
| Political pressure groups and leaders: | labor organizations - Electrical Industry Union of El Salvador or SIES; Federation of the Construction Industry, Similar Transport and other activities, or FESINCONTRANS; National Confederation of Salvadoran Workers or CNTS; National Union of Salvadoran Workers or UNTS; Port Industry Union of El Salvador or SIPES; Salvadoran Union of Ex-Petrolleros and Peasant Workers or USEPOC; Salvadoran Workers Central or CTS; Workers Union of Electrical Corporation or STCEL; business organizations - National Association of Small Enterprise or ANEP; Salvadoran Assembly Industry Association or ASIC; Salvadoran Industrial Association or ASI |
| International organization participation: | BCIE, CACM, CD, FAO, G-11, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, LAES, LAIA (observer), MIGA, MINURSO, NAM (observer), OAS, OPANAL, OPCW, PCA, RG, SICA, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, Union Latina, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Francisco Robert ALTSCHUL Fuentes |
| Diplomatic representation in the US: | chancery: Suite 100, 1400 16th Street, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-9671 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-3763 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Dallas, Duluth (Georgia), Houston, Las Vegas, Los Angeles, Miami, New York (2), Nogales (Arizona), Santa Ana (California), San Francisco, Washington (DC), Woodbridge (Virginia) |
| Diplomatic representation in the US: | consulate(s): Boston, Elizabeth (New Jersey) |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Robert BLAU |
| Diplomatic representation from the US: | embassy: Final Boulevard Santa Elena Sur, Antiguo Cuscatlan, La Libertad, San Salvador |
| Diplomatic representation from the US: | mailing address: Unit 3450, APO AA 34023; 3450 San Salvador Place, Washington, DC 20521-3450 |
