| Government | El Salvador |
| --- | --- |
| Country name: | conventional long form: Republic of El Salvador |
| Country name: | conventional short form: El Salvador |
| Country name: | local long form: Republica de El Salvador |
| Country name: | local short form: El Salvador |
| Country name: | etymology: name is an abbreviation of the original Spanish conquistador designation for the area "Provincia de Nuestro Senor Jesus Cristo, el Salvador del Mundo" (Province of Our Lord Jesus Christ, the Saviour of the World), which became simply "El Salvador" (The Savior) |
| Government type: | presidential republic |
| Capital: | name: San Salvador |
| Capital: | geographic coordinates: 13 42 N, 89 12 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time) |
| Capital: | etymology: Spanish for "Holy Saviour" (referring to Jesus Christ) |
| Administrative divisions: | 14 departments (departamentos, singular - departamento); Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | history: many previous; latest drafted 16 December 1983, enacted 23 December 1983 |
| Constitution: | amendments: proposals require agreement by absolute majority of the Legislative Assembly membership; passage requires at least two-thirds majority vote of the Assembly; constitutional articles on basic principles, and citizen rights and freedoms cannot be amended; amended many times, last in 2018 (2018) |
| Legal system: | civil law system with minor common law influence; judicial review of legislative acts in the Supreme Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nayib Armando BUKELE Ortez (since 1 June 2019); Vice President Felix Augusto Antonio ULLOA Garay (since 1 June 2019); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Nayib Armando BUKELE Ortez (since 1 June 2019); Vice President Felix Augusto Antonio ULLOA Garay (since 1 June 2019) |
| Executive branch: | cabinet: Council of Ministers selected by the president |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by absolute majority popular vote in 2 rounds if needed for a single 5-year term; election last held on 3 February 2019 (next to be held on February 2024) |
| Executive branch: | election results: Nayib Armando BUKELE Ortez elected president - Nayib Armando BUKELE Ortez (GANA) 53.1%, Carlos CALLEJA Hakker (ARENA) 31.72%, Hugo MARTINEZ (FMLN) 14.41%, other 0.77% |
| Legislative branch: | description: unicameral Legislative Assembly or Asamblea Legislativa (84 seats; members directly elected in multi-seat constituencies and a single nationwide constituency by proportional representation vote to serve 3-year terms) |
| Legislative branch: | elections: last held on 4 March 2018 (next to be held in March 2021) |
| Legislative branch: | election results: percent of vote by party - ARENA 42.3%, FMLN 24.4%, GANA 11.5%, PCN 10.8%, PDC 3.2%, CD 0.9%, Independent 0.7%, other 6.2%; seats by party - ARENA 37, FMLN 23, GANA 11, PCN 8, PDC 3, CD 1, independent 1; composition -men 58, women 26, percent of women 31% |
| Judicial branch: | highest courts: Supreme Court or Corte Suprema de Justicia (consists of 16 judges and 16 substitutes judges organized into Constitutional, Civil, Penal, and Administrative Conflict Chambers) |
| Judicial branch: | judge selection and term of office: judges elected by the Legislative Assembly on the recommendation of both the National Council of the Judicature, an independent body elected by the Legislative Assembly, and the Bar Association; judges elected for 9-year terms, with renewal of one-third of membership every 3 years; consecutive reelection is allowed |
| Judicial branch: | subordinate courts: Appellate Courts; Courts of First Instance; Courts of Peace |
| Political parties and leaders: | Christian Democratic Party or PDC [Rodolfo Antonio PARKER Soto] |
| Political parties and leaders: | Democratic Change (Cambio Democratico) or CD [Douglas AVILES] (formerly United Democratic Center or CDU) |
| Political parties and leaders: | Farabundo Marti National Liberation Front or FMLN [Medardo GONZALEZ] |
| Political parties and leaders: | Great Alliance for National Unity or GANA [Jose Andres ROVIRA Caneles] |
| Political parties and leaders: | National Coalition Party or PCN [Manuel RODRIGUEZ] |
| Political parties and leaders: | Nationalist Republican Alliance or ARENA [Mauricio INTERIANO] |
| Political parties and leaders: | Nuevas Ideas [Federico Gerardo ANLIKER] |
