| Government | El Salvador |
| --- | --- |
| Country name: | conventional long form: Republic of El Salvador |
| Country name: | conventional short form: El Salvador |
| Country name: | local long form: Republica de El Salvador |
| Country name: | local short form: El Salvador |
| Government type: | republic |
| Capital: | name: San Salvador |
| Capital: | geographic coordinates: 13 42 N, 89 12 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time) |
| Capital: | daylight saving time: none scheduled for 2014 |
| Administrative divisions: | 14 departments (departamentos, singular - departamento); Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | many previous; latest drafted 16 December 1983, enacted 23 December 1983; amended many times, last in 2009 (2012) |
| Legal system: | civil law system with minor common law influence; judicial review of legislative acts in the Supreme Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Salvador SANCHEZ CEREN (since 1 June 2014); Vice President Salvador Oscar ORTIZ (since 1 June 2014); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Salvador SANCHEZ CEREN (since 1 June 2014); Vice President Salvador Oscar ORTIZ (since 1 June 2014) |
| Executive branch: | cabinet: Council of Ministers selected by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a single five-year term; election last held on 2 February 2014, with a runoff on 9 March 2014 (next to be held in February 2019) |
| Executive branch: | election results: percent of vote - Salvador SANCHEZ CEREN elected president; first-round results - Salvador SANCHEZ CEREN 48.9%, Norman QUIJANO 39%, Antonio SACA 11.4%; second-round results - Salvador SANCHEZ CEREN 50.11%, Norman QUIJANO 49.89% |
| Legislative branch: | unicameral Legislative Assembly or Asamblea Legislativa (84 seats; members elected by direct, popular vote to serve three-year terms) |
| Legislative branch: | elections: last held on 11 March 2012 (next to be held in March 2015) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - ARENA 33, FMLN 31, GANA 11, CN 7, PES 1, PCD 1; note - changes in party affiliation now reflect the following seat distribution: as of 28 March 2014 - FMLN 31, ARENA 28, GANA 11, CN 7, Unidos por El Salvador 5, CD 1, PDC 1 |
| Judicial branch: | highest court(s): Supreme Court or Corte Suprema (consists of 15 judges assigned to constitutional, civil, penal, and administrative conflict divisions) |
| Judicial branch: | judge selection and term of office: judges elected by the Legislative Assembly on the recommendation of the National Council of the Judicature, an independent body elected by the Legislative Assembly; judges elected for single, 9-year terms with renewal of one-third of judges every 3 years. |
| Judicial branch: | subordinate courts: Chambers of Second Instance; Courts of First Instance; Courts of Peace |
| Political parties and leaders: | Democratic Change (Cambio Democratico) or CD [Douglas AVILES] (formerly United Democratic Center or CDU) |
| Political parties and leaders: | Farabundo Marti National Liberation Front or FMLN [Medardo GONZALEZ] |
| Political parties and leaders: | Great Alliance for National Unity or GANA [Jose Andres ROVIRA Caneles] |
| Political parties and leaders: | National Coalition (Concertation Nacional) or CN [Manuel RODRIGUEZ] (formerly the National Conciliation Party or PCN) |
| Political parties and leaders: | Nationalist Republican Alliance or ARENA [Jorge VELADO] |
| Political parties and leaders: | Party of Hope or PES [Rodolfo Antonio PARKER Soto] (formerly the Christian Democratic Party or PCD) |
| Political parties and leaders: | Unidos por El Salvador [Manuel Rigoberto SOTO Lazo] |
| Political pressure groups and leaders: | labor organizations: |
| Political pressure groups and leaders: | Electrical Industry Union of El Salvador or SIES |
| Political pressure groups and leaders: | Federation of the Construction Industry, Similar Transport and other activities, or FESINCONTRANS |
| Political pressure groups and leaders: | National Confederation of Salvadoran Workers or CNTS |
| Political pressure groups and leaders: | National Union of Salvadoran Workers or UNTS |
| Political pressure groups and leaders: | Port Industry Union of El Salvador or SIPES |
| Political pressure groups and leaders: | Salvadoran Union of Ex-Petrolleros and Peasant Workers or USEPOC |
| Political pressure groups and leaders: | Salvadoran Workers Central or CTS |
| Political pressure groups and leaders: | Workers Union of Electrical Corporation or STCEL |
| business organizations: | National Association of Small Enterprise or ANEP |
| business organizations: | Salvadoran Assembly Industry Association or ASIC |
| business organizations: | Salvadoran Industrial Association or ASI |
