| Government | Laos |
| --- | --- |
| Country name: | conventional long form: Lao People's Democratic Republic |
| Country name: | conventional short form: Laos |
| Country name: | local long form: Sathalanalat Paxathipatai Paxaxon Lao |
| Country name: | local short form: Pathet Lao (unofficial) |
| Government type: | Communist state |
| Capital: | name: Vientiane (Viangchan) |
| Capital: | geographic coordinates: 17 58 N, 102 36 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 16 provinces (khoueng, singular and plural) and 1 capital city* (nakhon luang, singular and plural); Attapu, Bokeo, Bolikhamxai, Champasak, Houaphan, Khammouan, Louangnamtha, Louangphrabang, Oudomxai, Phongsali, Salavan, Savannakhet, Viangchan (Vientiane)*, Viangchan, Xaignabouli, Xekong, Xiangkhoang |
| Independence: | 19 July 1949 (from France) |
| National holiday: | Republic Day, 2 December (1975) |
| Constitution: | promulgated 14 August 1991 |
| Legal system: | based on traditional customs, French legal norms and procedures, and socialist practice; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Lt. Gen. CHOUMMALI Saignason (since 8 June 2006); Vice President BOUN-GNANG Volachit (since 8 June 2006) |
| Executive branch: | head of government: Prime Minister BOUASONE Bouphavanh (since 8 June 2006); Deputy Prime Ministers Maj. Gen. ASANG Laoli (since May 2002), Maj. Gen. DOUANGCHAI Phichit (since 8 June 2006), SOMSAVAT Lengsavat (since 26 February 1998), and THONGLOUN Sisoulit (since 27 March 2001) |
| Executive branch: | cabinet: Ministers appointed by president, approved by National Assembly |
| Executive branch: | elections: president and vice president elected by National Assembly for five-year terms; election last held 8 June 2006 (next to be held in 2011); prime minister nominated by president and elected by National Assembly for five-year term |
| Executive branch: | election results: CHOUMMALI Saignason elected president; BOUN-GNANG Volachit elected vice president; percent of National Assembly vote - 100%; BOUASONE Bouphavanh elected prime minister; percent of National Assembly vote - 97% |
| Legislative branch: | unicameral National Assembly (115 seats; members elected by popular vote from a list of candidates selected by the Lao People's Revolutionary Party to serve five-year terms) |
| Legislative branch: | elections: last held 30 April 2006 (next to be held in 2011) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - LPRP 113, independents 2 |
| Judicial branch: | People's Supreme Court (the president of the People's Supreme Court is elected by the National Assembly on the recommendation of the National Assembly Standing Committee; the vice president of the People's Supreme Court and the judges are appointed by the National Assembly Standing Committee) |
| Political parties and leaders: | Lao People's Revolutionary Party or LPRP [CHOUMMALI Saignason]; other parties proscribed |
| Political pressure groups and leaders: | NA |
| International organization participation: | ADB, APT, ARF, ASEAN, CP, EAS, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IPU, ISO (subscriber), ITU, MIGA, NAM, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador PHIANE Philakone |
| Diplomatic representation in the US: | chancery: 2222 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-6416 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-4923 |
| Diplomatic representation from the US: | chief of mission: Ambassador Ravic R. HUSO |
| Diplomatic representation from the US: | embassy: 19 Rue Bartholonie, That Dam, Vientiane |
| Diplomatic representation from the US: | mailing address: American Embassy Vientiane, APO AP 96546 |
| Diplomatic representation from the US: | telephone: [856] 21-26-7000 |
| Diplomatic representation from the US: | FAX: [856] 21-26-7190 |
| Flag description: | three horizontal bands of red (top), blue (double width), and red with a large white disk centered in the blue band |
