| Government | Laos |
| --- | --- |
| Country name: | conventional long form: Lao People's Democratic Republic |
| Country name: | conventional short form: Laos |
| Country name: | local long form: Sathalanalat Paxathipatai Paxaxon Lao |
| Country name: | local short form: Pathet Lao (unofficial) |
| Government type: | Communist state |
| Capital: | name: Vientiane (Viangchan) |
| Capital: | geographic coordinates: 17 58 N, 102 36 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 16 provinces (khoueng, singular and plural) and 1 capital city* (nakhon luang, singular and plural); Attapu, Bokeo, Bolikhamxai, Champasak, Houaphan, Khammouan, Louangnamtha, Louangphabang, Oudomxai, Phongsali, Salavan, Savannakhet, Viangchan (Vientiane)*, Viangchan, Xaignabouli, Xekong, Xiangkhouang |
| Independence: | 19 July 1949 (from France) |
| National holiday: | Republic Day, 2 December (1975) |
| Constitution: | promulgated 14 August 1991; amended in 2003 |
| Legal system: | civil law system similar in form to the French system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Lt. Gen. CHOUMMALI Saignason (since 8 June 2006); Vice President BOUN-GNANG Volachit (since 8 June 2006) |
| Executive branch: | head of government: Prime Minister THONGSING Thammavong (since 24 December 2010); First Deputy Prime Minister Maj. Gen. ASANG Laoli (since May 2002), Deputy Prime Ministers Maj. Gen. DOUANGCHAI Phichit (since 8 June 2006), SOMSAVAT Lengsavat (since 26 February 1998), and THONGLOUN Sisoulit (since 27 March 2001) |
| Executive branch: | cabinet: Ministers appointed by president, approved by National Assembly |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected by National Assembly for five-year terms; election last held on 30 April 2011 (next to be held in 2016); prime minister nominated by the president and elected by the National Assembly for five-year term |
| Executive branch: | election results: CHOUMMALI Saignason elected president; BOUN-GNANG Volachit elected vice president; percent of National Assembly vote - NA; THONGSING Thammavong elected prime minister; percent of National Assembly vote - NA% |
| Legislative branch: | unicameral National Assembly (132 seats; members elected by popular vote from a list of candidates selected by the Lao People's Revolutionary Party to serve five-year terms) |
| Legislative branch: | elections: last held on 30 April 2011 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - LPRP 128, independents 4 |
| Judicial branch: | People's Supreme Court, People's Provincial and Municipal Courts, People's District Courts, and Military Courts |
| Judicial branch: | note: the president of the People's Supreme Court is elected by the National Assembly on the recommendation of the National Assembly Standing Committee; the vice president of the People's Supreme Court and the judges are appointed by the National Assembly Standing Committee |
| Political parties and leaders: | Lao People's Revolutionary Party or LPRP [CHOUMMALI Saignason]; other parties proscribed |
| Political pressure groups and leaders: | NA |
| International organization participation: | ADB, ARF, ASEAN, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IPU, ISO (subscriber), ITU, MIGA, NAM, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador SENG Soukhathivong |
| Diplomatic representation in the US: | chancery: 2222 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-6416 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-4923 |
| Diplomatic representation from the US: | chief of mission: Ambassador Karen B. STEWART |
| Diplomatic representation from the US: | embassy: 19 Rue Bartholonie, That Dam, Vientiane |
| Diplomatic representation from the US: | mailing address: American Embassy Vientiane, APO AP 96546 |
| Diplomatic representation from the US: | telephone: [856] 21-26-7000 |
| Diplomatic representation from the US: | FAX: [856] 21-26-7190 |
| Flag description: | three horizontal bands of red (top), blue (double width), and red with a large white disk centered in the blue band; the red bands recall the blood shed for liberation; the blue band represents the Mekong River and prosperity; the white disk symbolizes the full moon against the Mekong River, but also signifies the unity of the people under the Lao People's Revolutionary Party, as well as the country's bright future |
| National symbol(s): | elephant |
| National anthem: | name: "Pheng Xat Lao" (Hymn of the Lao People) |
| National anthem: | lyrics/music: SISANA Sisane/THONGDY Sounthonevichit |
| National anthem: | note: music adopted 1945, lyrics adopted 1975; the anthem's lyrics were changed following the 1975 Communist revolution that overthrew the monarchy |
