| Government | Denmark |
| --- | --- |
| Country name: | conventional long form: Kingdom of Denmark |
| Country name: | conventional short form: Denmark |
| Country name: | local long form: Kongeriget Danmark |
| Country name: | local short form: Danmark |
| Government type: | constitutional monarchy |
| Capital: | name: Copenhagen |
| Capital: | geographic coordinates: 55 40 N, 12 35 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: applies to continental Denmark only, not to its North Atlantic components |
| Administrative divisions: | metropolitan Denmark - 5 regions (regioner, singular - region); Hovedstaden, Midtjylland, Nordjylland, Sjaelland, Syddanmark |
| Administrative divisions: | note: an extensive local government reform merged 271 municipalities into 98 and 13 counties into five regions, effective 1 January 2007 |
| Independence: | ca. 965 (unified and Christianized under HARALD I Gormson); 5 June 1849 (became a constitutional monarchy) |
| National holiday: | none designated; Constitution Day, 5 June (1849) is generally viewed as the National Day |
| Constitution: | 5 June 1953; note - constitution allowed for a unicameral legislature and a female chief of state |
| Legal system: | civil law; judicial review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen MARGRETHE II (since 14 January 1972); Heir Apparent Crown Prince FREDERIK, elder son of the monarch (born on 26 May 1968) |
| Executive branch: | head of government: Prime Minister Helle THORNING-SCHMIDT (since 3 October 2011) |
| Executive branch: | cabinet: Council of State appointed by the monarch |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; following legislative elections, the leader of the majority party or the leader of the majority coalition usually appointed prime minister by the monarch |
| Legislative branch: | unicameral People's Assembly or Folketing (179 seats, including 2 from Greenland and 2 from the Faroe Islands; members elected by popular vote on the basis of proportional representation to serve four-year terms unless the Folketing is dissolved earlier) |
| Legislative branch: | elections: last held on 15 September 2011 (next to be held by September 2015) |
