| Government | Denmark |
| --- | --- |
| Country name: | conventional long form: Kingdom of Denmark |
| Country name: | conventional short form: Denmark |
| Country name: | local long form: Kongeriget Danmark |
| Country name: | local short form: Danmark |
| Government type: | constitutional monarchy |
| Capital: | name: Copenhagen |
| Capital: | geographic coordinates: 55 40 N, 12 35 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | metropolitan Denmark - 5 regions (regioner, singular - region); Hovedstaden, Midtjylland, Nordjylland, Sjaelland, Syddanmark |
| Administrative divisions: | note: an extensive local government reform merged 271 municipalities into 98 and 13 counties into five regions, effective 1 January 2007 |
| Independence: | first organized as a unified state in 10th century; in 1849 became a constitutional monarchy |
| National holiday: | none designated; Constitution Day, 5 June (1849) is generally viewed as the National Day |
| Constitution: | 5 June 1953 constitution allowed for a unicameral legislature and a female chief of state |
| Legal system: | civil law system; judicial review of legislative acts; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen MARGRETHE II (since 14 January 1972); Heir Apparent Crown Prince FREDERIK, elder son of the monarch (born 26 May 1968) |
| Executive branch: | head of government: Prime Minister Anders Fogh RASMUSSEN (since 27 November 2001) |
| Executive branch: | cabinet: Council of State appointed by the monarch |
| Executive branch: | elections: none; the monarch is hereditary; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the monarch |
| Legislative branch: | unicameral People's Assembly or Folketinget (179 seats, including 2 from Greenland and 2 from the Faroe Islands; members are elected by popular vote on the basis of proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held 13 November 2007 (next to be held in 2011) |
| Legislative branch: | election results: percent of vote by party - Liberal Party 26.2%, Social Democrats 25.5%, Danish People's Party 13.9%, Socialist People's Party 13.0%, Conservative People's Party 10.4%, Social Liberal Party 5.1%, other 5.9%; seats by party - Liberal Party 46, Social Democrats 45, Danish People's Party 25, Socialist People's Party 23, Conservative People's Party 18, Social Liberal Party 9, other 9; note - does not include the two seats from Greenland and the two seats from the Faroe Islands |
| Judicial branch: | Supreme Court (judges are appointed by the monarch for life) |
| Political parties and leaders: | Christian Democrats [Bodil KORNBEK] (was Christian People's Party); Conservative Party [Bendt BENDTSEN] (sometimes known as Conservative People's Party); Danish People's Party [Pia KJAERSGAARD]; Liberal Party [Anders Fogh RASMUSSEN]; New Alliance [Naser KHADER]; Red-Green Unity List [collective leadership] (bloc includes Left Socialist Party, Communist Party of Denmark, Socialist Workers' Party); Social Democratic Party [Helle THORNING-SCHMIDT]; Social Liberal Party [Margrethe VESTAGER]; Socialist People's Party [Villy SOEVNDAL] |
| Political pressure groups and leaders: | NA |
| International organization participation: | AfDB, Arctic Council, AsDB, Australia Group, BIS, CBSS, CE, CERN, EAPC, EBRD, EIB, ESA, EU, FAO, G- 9, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUC, NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UNMIL, UNMOGIP, UNOMIG, UNRWA, UNTSO, UPU, WCO, WEU (observer), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Friis Arne PETERSEN |
| Diplomatic representation in the US: | chancery: 3200 Whitehaven Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-4300 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-1470 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador James P. CAIN |
| Diplomatic representation from the US: | embassy: Dag Hammarskjolds Alle 24, 2100 Copenhagen |
| Diplomatic representation from the US: | mailing address: PSC 73, APO AE 09716 |
| Diplomatic representation from the US: | telephone: [45] 33 41 71 00 |
| Diplomatic representation from the US: | FAX: [45] 35 43 02 23 |
| Flag description: | red with a white cross that extends to the edges of the flag; the vertical part of the cross is shifted to the hoist side, and that design element of the Dannebrog (Danish flag) was subsequently adopted by the other Nordic countries of Finland, Iceland, Norway, and Sweden |
