| Government | ANDORRA |
| --- | --- |
| Country name: | conventional long form: Principality of Andorra |
| Country name: | conventional short form: Andorra |
| Country name: | local long form: Principat d'Andorra |
| Country name: | local short form: Andorra |
| Country name: | etymology: the origin of the country's name is obscure; since the area served as part of the Spanish March (defensive buffer zone) against the invading Moors in the 8th century, the name may derive from the Arabic "ad-darra" meaning "the forest" |
| Government type: | parliamentary democracy (since March 1993) that retains its chiefs of state in the form of a co-principality; the two princes are the president of France and bishop of Seu d'Urgell, Spain, who are represented in Andorra by the co-princes' representatives |
| Capital: | name: Andorra la Vella |
| Capital: | geographic coordinates: 42 30 N, 1 31 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 7 parishes (parroquies, singular - parroquia); Andorra la Vella, Canillo, Encamp, Escaldes-Engordany, La Massana, Ordino, Sant Julia de Loria |
| Independence: | 1278 (formed under the joint sovereignty of the French Count of Foix and the Spanish Bishop of Urgell) |
| National holiday: | Our Lady of Meritxell Day, 8 September (1278) |
| Constitution: | history: drafted 1991, approved by referendum 14 March 1993, effective 28 April 1993 |
| Constitution: | amendments: proposed by the coprinces jointly or by the General Council; passage requires at least a two-thirds majority vote by the General Council, ratification in a referendum, and sanctioning by the coprinces (2016) |
| Legal system: | mixed legal system of civil and customary law with the influence of canon law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the mother must be an Andorran citizen or the father must have been born in Andorra and both parents maintain permanent residence in Andorra |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 25 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: French Coprince Emmanuel MACRON (since 14 May 2017); represented by Jean-Pierre HUGUES (since 15 June 2016) and Spanish Coprince Archbishop Joan-Enric VIVES i Sicilia (since 12 May 2003); represented by Josep Maria MAUN (since 20 July 2012) |
| Executive branch: | head of government: Head of Government (or Cap de Govern) Antoni MARTI PETIT (since 12 May 2011) |
| Executive branch: | cabinet: Executive Council designated by head of government |
