| Government | Liechtenstein |
| --- | --- |
| Country name: | conventional long form: Principality of Liechtenstein |
| Country name: | conventional short form: Liechtenstein |
| Country name: | local long form: Fuerstentum Liechtenstein |
| Country name: | local short form: Liechtenstein |
| Government type: | hereditary constitutional monarchy |
| Capital: | name: Vaduz |
| Capital: | geographic coordinates: 47 08 N, 9 31 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 11 communes (Gemeinden, singular - Gemeinde); Balzers, Eschen, Gamprin, Mauren, Planken, Ruggell, Schaan, Schellenberg, Triesen, Triesenberg, Vaduz |
| Independence: | 23 January 1719 (Principality of Liechtenstein established); 12 July 1806 (independence from the Holy Roman Empire); 24 August 1866 (independence from the German Confederation) |
| National holiday: | Assumption Day, 15 August |
| Constitution: | previous 1862; latest adopted 5 October 1921; amended many times, last in 2010 (2012) |
| Legal system: | civil law system influenced by Swiss, Austrian, and German law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Prince HANS ADAM II (since 13 November 1989, assumed executive powers on 26 August 1984); Heir Apparent Prince ALOIS, son of the monarch (born 11 June 1968); note - on 15 August 2004, HANS ADAM transferred the official duties of the ruling prince to ALOIS, but HANS ADAM retains status of chief of state |
| Executive branch: | head of government: Head of Government (Prime Minister) Adrian HASLER (since 27 March 2013) |
| Executive branch: | cabinet: Cabinet elected by the Parliament, confirmed by the monarch |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; following legislative elections, the leader of the majority party in the Landtag usually appointed the head of government by the monarch and the leader of the largest minority party in the Landtag usually appointed the deputy head of government by the monarch if there is a coalition government |
| Legislative branch: | unicameral Parliament or Landtag (25 seats; members elected by popular vote under proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held on 3 February 2013 (next to be held in February 2017) |
| Legislative branch: | election results: percent of vote by party - FBP 40.0%, VU 33.5%, DU 15.3% FL 11.1%; seats by party - FBP 10, VU 8, DU 4, FL 3 |
| Judicial branch: | highest court(s): Supreme Court or Oberster Gerichtshof (consists of 5 judges); Constitutional Court or Verfassungsgericht (consists of 5 judges and 5 alternates) |
| Judicial branch: | judge selection and term of office: judges of both courts elected by the Landtag and appointed by the monarch; Supreme Court judges serve 4-year renewable terms; Constitutional Court judge tenure NA |
| Judicial branch: | subordinate courts: Court of Appeal or Obergericht (second instance), Court of Justice (first instance), Administrative Court, county courts |
| Political parties and leaders: | The Free List (Die Freie Liste) or FL [Wolfgang MARXER] |
| Political parties and leaders: | the independents (Die Unabhaengigen) or DU [Harry QUADERER] |
| Political parties and leaders: | Progressive Citizens' Party (Fortschrittliche Buergerpartei) or FBP [Alexander BATLINER] |
| Political parties and leaders: | Fatherland Union (Vaterlaendische Union) or VU [Jakob BUECHEL] |
| Political pressure groups and leaders: | NA |
| International organization participation: | CD, CE, EBRD, EFTA, IAEA, ICRM, IFRCS, Interpol, IOC, IPU, ITSO, ITU, ITUC (NGOs), OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UPU, WIPO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Claudia FRITSCHE (since 7 December 2000) |
| Diplomatic representation in the US: | chancery: 2900 K Street, NW, Suite 602B, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 331-0590 |
| Diplomatic representation in the US: | FAX: [1] (202) 331-3221 |
| Diplomatic representation from the US: | the US does not have an embassy in Liechtenstein; the US Ambassador to Switzerland, currently Charge d'Affaires Jeffrey CELLARS, is accredited to Liechtenstein |
| Flag description: | two equal horizontal bands of blue (top) and red with a gold crown on the hoist side of the blue band; the colors may derive from the blue and red livery design used in the principality's household in the 18th century; the prince's crown was introduced in 1937 to distinguish the flag from that of Haiti |
| National anthem: | name: "Oben am jungen Rhein" (High Above the Young Rhine) |
| National anthem: | lyrics/music: Jakob Joseph JAUCH/Josef FROMMELT |
| National anthem: | note: adopted 1850, revised 1963; the anthem uses the tune of "God Save the Queen" |
