| Government | Liechtenstein |
| --- | --- |
| Country name: | conventional long form: Principality of Liechtenstein |
| Country name: | conventional short form: Liechtenstein |
| Country name: | local long form: Fuerstentum Liechtenstein |
| Country name: | local short form: Liechtenstein |
| Country name: | etymology: named after the Liechtenstein dynasty that purchased and united the counties of Schellenburg and Vaduz and that was allowed by the Holy Roman Emperor in 1719 to rename the new property after their family; the name in German means "light (bright) stone" |
| Government type: | constitutional monarchy |
| Capital: | name: Vaduz |
| Capital: | geographic coordinates: 47 08 N, 9 31 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: may be a conflation from the Latin "vallis" (valley) and the High German "diutisk" (meaning "German") to produce "Valdutsch" (German valley), which over time simplified and came to refer specifically to Vaduz, the town |
| Administrative divisions: | 11 communes (Gemeinden, singular - Gemeinde); Balzers, Eschen, Gamprin, Mauren, Planken, Ruggell, Schaan, Schellenberg, Triesen, Triesenberg, Vaduz |
| Independence: | 23 January 1719 (Principality of Liechtenstein established); 12 July 1806 (independence from the Holy Roman Empire); 24 August 1866 (independence from the German Confederation) |
| National holiday: | National Day, 15 August (1940); note - a National Day was originally established in 1940 to combine celebrations for the Feast of the Assumption (15 August) with those honoring the birthday of former Prince FRANZ JOSEF II (1906-1989) whose birth fell on 16 August; after the prince's death, National Day became the official national holiday by law in 1990 |
| Constitution: | history: previous 1862; latest adopted 5 October 1921 |
| Constitution: | amendments: proposed by Parliament, by the reigning prince (in the form of "Government" proposals), by petition of at least 1,500 qualified voters, or by at least four communes; passage requires unanimous approval of Parliament members in one sitting or three-quarters majority vote in two successive sittings; referendum required only if petitioned by at least 1,500 voters or by at least four communes; passage by referendum requires absolute majority of votes cast; amended several times, last in 2011 (2019) |
| Legal system: | civil law system influenced by Swiss, Austrian, and German law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Liechtenstein; in the case of a child born out of wedlock, the mother must be a citizen |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Prince HANS-ADAM II (since 13 November 1989, assumed executive powers on 26 August 1984); Heir Apparent and Regent of Liechtenstein Prince ALOIS (son of the monarch, born 11 June 1968); note - 15 August 2004, HANS-ADAM II transferred the official duties of the ruling prince to ALOIS, but HANS-ADAM II retains status of chief of state |
| Executive branch: | head of government: Prime Minister Adrian HASLER (since 27 March 2013) |
| Executive branch: | cabinet: Cabinet elected by the Parliament, confirmed by the monarch |
| Executive branch: | elections/appointments: the monarchy is hereditary; following legislative elections, the leader of the majority party in the Parliament usually appointed the head of government by the monarch, and the leader of the largest minority party in the Landtag usually appointed the deputy head of government by the monarch if there is a coalition government |
| Legislative branch: | description: unicameral Parliament or Landtag (25 seats; members directly elected in 2 multi-seat constituencies by proportional representation vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 5 February 2017 (next to be held in February 2021) |
| Legislative branch: | election results: percent of vote by party - FBP 35.2%, VU 33.7%, DU 18.4% FL 12.6%; seats by party - FBP 9, VU 8, DU 5, FL 3; composition - men 22, women 3, percent of women 12% |
| Judicial branch: | highest courts: Supreme Court or Oberster Gerichtshof (consists of 5 judges); Constitutional Court or Verfassungsgericht (consists of 5 judges and 5 alternates) |
| Judicial branch: | judge selection and term of office: judges of both courts elected by the Landtag and appointed by the monarch; Supreme Court judges serve 4-year renewable terms; Constitutional Court judges appointed for renewable 5-year terms |
| Judicial branch: | subordinate courts: Court of Appeal or Obergericht (second instance), Court of Justice (first instance), Administrative Court, county courts |
| Political parties and leaders: | Fatherland Union (Vaterlaendische Union) or VU [Guenther FRITZ] |
| Political parties and leaders: | Progressive Citizens' Party (Fortschrittliche Buergerpartei) or FBP [Thomas BANZER] |
| Political parties and leaders: | The Free List (Die Freie Liste) or FL [Pepo FRICK and Conny BUECHEL BRUEHWILER] |
| Political parties and leaders: | The Independents (Die Unabhaengigen) or DU [Harry QUADERER] |
| International organization participation: | CD, CE, EBRD, EFTA, IAEA, ICCt, ICRM, IFRCS, Interpol, IOC, IPU, ITSO, ITU, ITUC (NGOs), OAS (observer), OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UPU, WIPO, WTO |
| Diplomatic representation in the US: | Ambassador Kurt JAEGER (since 16 September 2016) |
| Diplomatic representation in the US: | chancery: 2900 K Street NW, Suite 602B, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 331-0590 |
| Diplomatic representation in the US: | FAX: [1] (202) 331-3221 |
| Diplomatic representation from the US: | the US does not have an embassy in Liechtenstein; the US Ambassador to Switzerland is accredited to Liechtenstein |
| Flag description: | two equal horizontal bands of blue (top) and red with a gold crown on the hoist side of the blue band; the colors may derive from the blue and red livery design used in the principality's household in the 18th century; the prince's crown was introduced in 1937 to distinguish the flag from that of Haiti |
| National symbol(s): | princely hat (crown); national colors: blue, red |
| National anthem: | name: "Oben am jungen Rhein" (High Above the Young Rhine) |
| National anthem: | lyrics/music: Jakob Joseph JAUCH/Josef FROMMELT |
| National anthem: | note: adopted 1850, revised 1963; uses the tune of "God Save the Queen" |
