| Government | Angola |
| --- | --- |
| Country name: | conventional long form: Republic of Angola |
| Country name: | conventional short form: Angola |
| Country name: | local long form: Republica de Angola |
| Country name: | local short form: Angola |
| Country name: | former: People's Republic of Angola |
| Government type: | republic; multiparty presidential regime |
| Capital: | name: Luanda |
| Capital: | geographic coordinates: 8 50 S, 13 13 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 18 provinces (provincias, singular - provincia); Bengo, Benguela, Bie, Cabinda, Cunene, Huambo, Huila, Kwando Kubango, Kwanza Norte, Kwanza Sul, Luanda, Lunda Norte, Lunda Sul, Malanje, Moxico, Namibe, Uige, Zaire |
| Independence: | 11 November 1975 (from Portugal) |
| National holiday: | Independence Day, 11 November (1975) |
| Constitution: | previous 1975, 1992; latest adopted 5 February 2010 (2013) |
| Legal system: | civil legal system based on Portuguese civil law; no judicial review of legislation |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jose Eduardo DOS SANTOS (since 21 September 1979); Vice President Manuel Domingos VICENTE (since 26 September 2012); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Jose Eduardo DOS SANTOS (since 21 September 1979); Vice President Manuel Domingos VICENTE (since 26 September 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president indirectly elected by National Assembly for a five-year term (eligible for a second consecutive or discontinuous term) under the 2010 constitution; note - according to the 2010 constitution, ballots are cast for parties rather than candidates, the majority leader is appointed president; following the results of the 2012 legislative elections DOS SANTOS became president (eligible for a second term) |
| Executive branch: | election results: NA; as leader of the MPLA, Jose Eduardo DOS SANTOS became pesident following legislative elections on 31 August 2012; DOS SANTOS was inaugurated on 26 September 2012 to serve the first of a possible two terms under the 2010 constitution |
| Legislative branch: | unicameral National Assembly or Assembleia Nacional (220 seats; members elected by proportional vote to serve five-year terms) |
| Legislative branch: | elections: last held on 31 August 2012 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote by party - MPLA 71.8%, UNITA 18.7%, CASA-CE 6.0%, PRS 1.7%, FNLA 1.1%, other 0.7%; seats by party - MPLA 175, UNITA 32, CASA-CE 8, PRS 3, FNLA 2 |
| Judicial branch: | highest court(s): Supreme Court or Tribunal da Relacao (consists of the chief justice and NA judges; Constitutional Court or Tribunal Constitucional (consists of 11 members) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president upon recommendation of the Supreme Judicial Council, an 18-member body presided over by the president; judge tenure NA; Constitutional Court  judges - 4 nominated by the president, 4 elected by National Assembly, 2 elected by Supreme National Council, 1 elected by competitive submission of curricula; judges serve single 7-year terms |
