| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Slovenia |
| Country name: | conventional short form: Slovenia |
| Country name: | local long form: Republika Slovenija |
| Country name: | local short form: Slovenija |
| Government type: | parliamentary democratic republic |
| Capital: | Ljubljana |
| Administrative divisions: | 136 municipalities (obcine, singular - obcina) and 11 urban municipalities* (mestne obcine , singular - mestna obcina ) Ajdovscina, Beltinci, Bled, Bohinj, Borovnica, Bovec, Brda, Brezice, Brezovica, Cankova-Tisina, Celje*, Cerklje na Gorenjskem, Cerknica, Cerkno, Crensovci, Crna na Koroskem, Crnomelj, Destrnik-Trnovska Vas, Divaca, Dobrepolje, Dobrova-Horjul-Polhov Gradec, Dol pri Ljubljani, Domzale, Dornava, Dravograd, Duplek, Gorenja Vas-Poljane, Gorisnica, Gornja Radgona, Gornji Grad, Gornji Petrovci, Grosuplje, Hodos Salovci, Hrastnik, Hrpelje-Kozina, Idrija, Ig, Ilirska Bistrica, Ivancna Gorica, Izola, Jesenice, Jursinci, Kamnik, Kanal, Kidricevo, Kobarid, Kobilje, Kocevje, Komen, Koper*, Kozje, Kranj*, Kranjska Gora, Krsko, Kungota, Kuzma, Lasko, Lenart, Lendava, Litija, Ljubljana*, Ljubno, Ljutomer, Logatec, Loska Dolina, Loski Potok, Luce, Lukovica, Majsperk, Maribor*, Medvode, Menges, Metlika, Mezica, Miren-Kostanjevica, Mislinja, Moravce, Moravske Toplice, Mozirje, Murska Sobota*, Muta, Naklo, Nazarje, Nova Gorica*, Novo Mesto*, Odranci, Ormoz, Osilnica, Pesnica, Piran, Pivka, Podcetrtek, Podvelka-Ribnica, Postojna, Preddvor, Ptuj*, Puconci, Race-Fram, Radece, Radenci, Radlje ob Dravi, Radovljica, Ravne-Prevalje, Ribnica, Rogasevci, Rogaska Slatina, Rogatec, Ruse, Semic, Sencur, Sentilj, Sentjernej, Sentjur pri Celju, Sevnica, Sezana, Skocjan, Skofja Loka, Skofljica, Slovenj Gradec*, Slovenska Bistrica, Slovenske Konjice, Smarje pri Jelsah, Smartno ob Paki, Sostanj, Starse, Store, Sveti Jurij, Tolmin, Trbovlje, Trebnje, Trzic, Turnisce, Velenje*, Velike Lasce, Videm, Vipava, Vitanje, Vodice, Vojnik, Vrhnika, Vuzenica, Zagorje ob Savi, Zalec, Zavrc, Zelezniki, Ziri, Zrece |
| Administrative divisions: | note: there may be 45 more municipalities |
| Independence: | 25 June 1991 (from Yugoslavia) |
| National holiday: | Independence Day/Statehood Day, 25 June (1991) |
| Constitution: | adopted 23 December 1991, effective 23 December 1991 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal (16 years of age, if employed) |
| Executive branch: | chief of state: President Milan KUCAN (since 22 April 1990) |
| Executive branch: | head of government: Prime Minister Janez DRNOVSEK (since 15 October 2000); |
| Executive branch: | cabinet: Council of Ministers nominated by the prime minister and elected by the National Assembly |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 24 November 1997 (next to be held NA 2002); following National Assembly elections, the leader of the majority party or the leader of a majority coalition is usually nominated to become prime minister by the president and elected by the National Assembly; election last held 15 October 2000 (next to be held NA October 2004) |
| Executive branch: | election results: Milan KUCAN elected president; percent of vote - Milan KUCAN 56.3%, Janez PODOBNIK 18%; Janez DRNOVSEK elected prime minister; percent of National Assembly vote - NA |
| Legislative branch: | unicameral National Assembly or Drzavni Zbor (90 seats, 40 are directly elected and 50 are selected on a proportional basis; note - the numbers of directly elected and proportionally elected seats varies with each election; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: National Assembly - last held 15 October 2000 (next to be held NA October 2004) |
| Legislative branch: | election results: percent of vote by party - LDS 36%, SDS 16%, ZLSD 12%, SLS/SKD 10%, NSI 9%, SMS 4%, SNS 4%, DeSUS 5%, other 4%; seats by party - LDS 34, SDS 14, ZLDS 11, SLS/SKD 9, NSI 8, SMS 4, SNS 4, DeSUS 4, other 2 |
| Legislative branch: | note: the National Council or Drzavni Svet is an advisory body with limited legislative powers; it may propose laws and ask to review any National Assembly decisions; in the election of NA November 1997, 40 members were elected to represent local, professional, and socioeconomic interests (next election to be held in the fall of 2002) |
| Judicial branch: | Supreme Court (judges are elected by the National Assembly on the recommendation of the Judicial Council); Constitutional Court (judges elected for nine-year terms by the National Assembly and nominated by the president) |
| Political parties and leaders: | Democratic Party of Retired (Persons) of Slovenia or DeSUS [Janko KUSAR]; Liberal Democratic or LDS [Janez DRNOVSEK, chairman]; New Slovenia or NSI [Andrej BAJUK, chairman]; Slovene National Party or SNS [Zmago JELINCIC, chairman]; Slovene People's Party or SLS (Slovenian People's Party or SLS and Slovenian Christian Democrats or SKD merged in April 2000) [Franc ZAGOZEN, chairman]; Slovene Youth Party or SMS [leader NA]; Social Democratic Party of Slovenia or SDS [Janez JANSA, chairman]; United List of Social Democrats (former Communists and allies) or ZLSD [Borut PAHOR, chairman] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, ACCT (observer), BIS, CCC, CE, CEI, EAPC, EBRD, ECE, EU (applicant), FAO, IADB, IAEA, IBRD, ICAO, ICRM, IDA, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, IOM, ISO, ITU, NAM (guest), NSG, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNFICYP, UNIDO, UNTAET, UNTSO, UPU, WEU (associate partner), WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Davorin KRACUN |
| Diplomatic representation in the US: | chancery: 1525 New Hampshire Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-5363 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-4563 |
| Diplomatic representation in the US: | consulate(s) general: New York |
