| Government | Slovenia |
| --- | --- |
| Country name: | conventional long form: Republic of Slovenia |
| Country name: | conventional short form: Slovenia |
| Country name: | local long form: Republika Slovenija |
| Country name: | local short form: Slovenija |
| Country name: | former: People's Republic of Slovenia, Socialist Republic of Slovenia |
| Government type: | parliamentary republic |
| Capital: | name: Ljubljana |
| Capital: | geographic coordinates: 46 03 N, 14 31 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 200 municipalities (obcine, singular - obcina) and 11 urban municipalities (mestne obcine, singular - mestna obcina) |
| Administrative divisions: | municipalities: Ajdovscina, Apace, Beltinci, Benedikt, Bistrica ob Sotli, Bled, Bloke, Bohinj, Borovnica, Bovec, Braslovce, Brda, Brezice, Brezovica, Cankova, Cerklje na Gorenjskem, Cerknica, Cerkno, Cerkvenjak, Cirkulane, Crensovci, Crna na Koroskem, Crnomelj, Destrnik, Divaca, Dobje, Dobrepolje, Dobrna, Dobrova-Polhov Gradec, Dobrovnik/Dobronak, Dolenjske Toplice, Dol pri Ljubljani, Domzale, Dornava, Dravograd, Duplek, Gorenja Vas-Poljane, Gorisnica, Gorje, Gornja Radgona, Gornji Grad, Gornji Petrovci, Grad, Grosuplje, Hajdina, Hoce-Slivnica, Hodos, Horjul, Hrastnik, Hrpelje-Kozina, Idrija, Ig, Ilirska Bistrica, Ivancna Gorica, Izola/Isola, Jesenice, Jezersko, Jursinci, Kamnik, Kanal, Kidricevo, Kobarid, Kobilje, Kocevje, Komen, Komenda, Kosanjevica na Krki, Kostel, Kozje, Kranjska Gora, Krizevci, Krsko, Kungota, Kuzma, Lasko, Lenart, Lendava/Lendva, Litija, Ljubno, Ljutomer, Log-Dragomer, Logatec, Loska Dolina, Loski Potok, Lovrenc na Pohorju, Luce, Lukovica, Majsperk, Makole, Markovci, Medvode, Menges, Metlika, Mezica, Miklavz na Dravskem Polju, Miren-Kostanjevica, Mirna, Mirna Pec, Mislinja, Mokronog-Trebelno, Moravce, Moravske Toplice, Mozirje, Muta, Naklo, Nazarje, Odranci, Oplotnica, Ormoz, Osilnica, Pesnica, Piran/Pirano, Pivka, Podcetrtek, Podlehnik, Podvelka, Poljcane, Polzela, Postojna, Prebold, Preddvor, Prevalje, Puconci, Race-Fram, Radece, Radenci, Radlje ob Dravi, Radovljica, Ravne na Koroskem, Razkrizje, Recica ob Savinji, Rence-Vogrsko, Ribnica, Ribnica na Pohorju, Rogaska Slatina, Rogasovci, Rogatec, Ruse, Selnica ob Dravi, Semic, Sevnica, Sezana, Slovenska Bistrica, Slovenske Konjice, Sodrazica, Solcava, Sredisce ob Dravi, Starse, Straza, Sveta Ana, Sveta Trojica v Slovenskih Goricah, Sveti Andraz v Slovenskih Goricah, Sveti Jurij ob Scavnici, Sveti Jurij v Slovenskih Goricah, Sveti Tomaz, Salovci, Sempeter-Vrtojba, Sencur, Sentilj, Sentjernej, Sentjur, Sentrupert, Skocjan, Skofja Loka, Skofljica, Smarje pri Jelsah, Smarjeske Toplice, Smartno ob Paki, Smartno pri Litiji, Sostanj, Store, Tabor, Tisina, Tolmin, Trbovlje, Trebnje, Trnovska Vas, Trzic, Trzin, Turnisce, Velika Polana, Velike Lasce, Verzej, Videm, Vipava, Vitanje, Vodice, Vojnik, Vransko, Vrhnika, Vuzenica, Zagorje ob Savi, Zalec, Zavrc, Zelezniki, Zetale, Ziri, Zirovnica, Zrece, Zuzemberk |
| Administrative divisions: | urban municipalities: Celje, Koper-Capodistria, Kranj, Ljubljana, Maribor, Murska Sobota, Nova Gorica, Novo Mesto, Ptuj, Slovenj Gradec, Velenje |
| Independence: | 25 June 1991 (from Yugoslavia) |
| National holiday: | Independence Day/Statehood Day, 25 June (1991) |
| Constitution: | adopted 23 December 1991, amended 14 July 1997 and 25 July 2000 |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age, 16 if employed; universal |
| Executive branch: | chief of state: President Danilo TURK (since 22 December 2007) |
| Executive branch: | head of government: Prime Minister Borut PAHOR (since 7 November 2008) |
| Executive branch: | cabinet: Council of Ministers nominated by the prime minister and elected by the National Assembly |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 21 October and 11 November 2007 (next to be held on 8 October 2012); following National Assembly elections, the leader of the majority party or the leader of a majority coalition usually nominated to become prime minister by the president and elected by the National Assembly |
| Executive branch: | election results: Danilo TURK elected president; percent of vote - Danilo TURK 68.2%, Alojze PETERLE 31.8%; Borut PAHOR elected prime minister by National Assembly vote |
| Legislative branch: | bicameral Parliament consists of a National Council or Drzavni Svet (40 seats; members indirectly elected by an electoral college to serve five-year terms; note - this is primarily an advisory body with limited legislative powers; it may propose laws, ask to review any National Assembly decision, and call national referenda) and the National Assembly or Drzavni Zbor (90 seats; 40 members directly elected and 50 are elected on a proportional basis; note - the number of directly elected and proportionally elected seats varies with each election; the constitution mandates 1 seat each for Slovenia's Hungarian and Italian minorities; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: National Assembly - last held on 4 December 2011 (next to be held in 2015) |
| Legislative branch: | election results: percent of vote by party - PS 28.6%, SDS 26.2%, SD 10.5%, LGV 8.4%, DeSUS 7%, SLS 6.9%, NSi 4.8%, other 7.6%; seats by party - PS 28, SDS 26, SD 10, LGV 8, DeSUS 6, SLS 6, NSi 4, Hungarian minority 1, Italian minority 1 |
| Judicial branch: | Supreme Court (judges are elected by the National Assembly on the recommendation of the Judicial Council); Constitutional Court (judges elected for nine-year terms by the National Assembly and nominated by the president) |
