| Government | Macedonia |
| --- | --- |
| Country name: | conventional long form: Republic of Macedonia |
| Country name: | conventional short form: Macedonia |
| Country name: | local long form: Republika Makedonija |
| Country name: | local short form: Makedonija |
| Country name: | note: the provisional designation used by the UN, EU, and NATO is the "former Yugoslav Republic of Macedonia" (FYROM) |
| Country name: | former: People's Republic of Macedonia, Socialist Republic of Macedonia |
| Government type: | parliamentary democracy |
| Capital: | name: Skopje |
| Capital: | geographic coordinates: 42 00 N, 21 26 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 84 municipalities (opstini, singular - opstina); Aerodrom (Skopje), Aracinovo, Berovo, Bitola, Bogdanci, Bogovinje, Bosilovo, Brvenica, Butel (Skopje), Cair (Skopje), Caska, Centar (Skopje), Centar Zupa, Cesinovo, Cucer Sandevo, Debar, Debarca, Delcevo, Demir Hisar, Demir Kapija, Dojran, Dolneni, Dorce Petrov (Gjorce Petrov) (Skopje), Drugovo, Gazi Baba (Skopje), Gevgelija, Gostivar, Gradsko, Ilinden, Jegunovce, Karbinci, Karpos (Skopje), Kavadarci, Kicevo, Kisela Voda (Skopje), Kocani, Konce, Kratovo, Kriva Palanka, Krivogastani, Krusevo, Kumanovo, Lipkovo, Lozovo, Makedonska Kamenica, Makedonski Brod, Mavrovo i Rostusa, Mogila, Negotino, Novaci, Novo Selo, Ohrid, Oslomej, Pehcevo, Petrovec, Plasnica, Prilep, Probistip, Radovis, Rankovce, Resen, Rosoman, Saraj (Skopje), Sopiste, Staro Nagoricane, Stip, Struga, Strumica, Studenicani, Suto Orizari (Skopje), Sveti Nikole, Tearce, Tetovo, Valandovo, Vasilevo, Veles, Vevcani, Vinica, Vranestica, Vrapciste, Zajas, Zelenikovo, Zelino, Zrnovci |
| Administrative divisions: | note: the 10 municipalities followed by Skopje in parentheses collectively constitute the larger Skopje Municipality |
| Independence: | 8 September 1991 (referendum by registered voters endorsed independence from Yugoslavia) |
| National holiday: | Independence Day, 8 September (1991); also known as National Day |
| Constitution: | adopted 17 November 1991, effective 20 November 1991; amended November 2001, 2005 and in 2009 |
| Constitution: | note: amended November 2001 by a series of new constitutional amendments strengthening minority rights, in 2005 with amendments related to the judiciary, and in 2009 with amendments related to the threshold required to elect the president |
| Legal system: | civil law system; judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Gjorge IVANOV (since 12 May 2009) |
| Executive branch: | head of government: Prime Minister Nikola GRUEVSKI (since 26 August 2006) |
| Executive branch: | cabinet: Council of Ministers elected by the majority vote of all the deputies in the Assembly; note - current cabinet formed by the government coalition parties VMRO-DPMNE, BDI/DUI, and several small parties |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); two-round election: first round held on 22 March 2009, second round held on 5 April 2009 (next to be held in March 2014); prime minister elected by the Assembly following legislative elections; the leader of the majority party or majority coalition usually elected prime minister |
| Executive branch: | election results: Gjorge IVANOV elected president on second-round ballot; percent of vote - Gjorge IVANOV 63.1%, Ljubomir FRCKOSKI 36.9% |
| Legislative branch: | unicameral Assembly or Sobranie (123 seats; all members elected by popular vote from party lists based on the percentage of the overall vote the parties gain in each of six electoral and three diaspora districts; members serve four-year terms) |
| Legislative branch: | elections: last held on 5 June 2011 (next to be held by June 2015) |
| Legislative branch: | election results: percent of vote by party - VMRO-DPMNE-led block 39%, SDSM-led block 32.8%, BDI/DUI 10.2%, PDSh/DPA 5.9%, other 12.1%; seats by party - VMRO-DPMNE-led block 63, SDSM-led block 27, BDI/DUI 18, PDSh/DPA 11, PEI 1 |
| Judicial branch: | Supreme Court; Constitutional Court; Judicial Council |
| Judicial branch: | note: the Judicial Council appoints the judges; Legislative Assembly appoints Constitutional Court Judges |
| Political parties and leaders: | Albanian Democratic Resistance or PDK [Rufi OSMANI]; Democratic Alliance or DS [Pavle TRAJANOV]; Democratic Party of Serbs in Macedonia [Ivan STOILJKOVIC]; Democratic Party of the Albanians or PDSh/DPA [Menduh THACI]; Democratic Party of Turks in Macedonia [Kenan HASIPI]; Democratic Union for Integration or BDI/DUI [Ali AHMETI]; Internal Macedonian Revolutionary Organization--Democratic Party for Macedonian National Unity (VMRO-DPMNE) [Nikola GRUEVSKI]; Liberal Democratic Party or LDP [Risto PENOV]; Liberal Party [Borce STOJANOVSKI]; Movement for Reconstruction of Macedonia or DOM [Liljana POPOVSKA]; New Alternative [Gjorgji OROVCANEC]; New Democracy or DR [Imer SELMANI]; New Social-Democratic Party or NSDP [Tito PETKOVSKI]; Party for Democratic Action in Macedonia or SDAM [Avdija PEPIC]; Party for European Future or PEI [Fijat CANOSKI]; Social-Democratic Union of Macedonia or SDSM [Branko CRVENKOVSKI]; Socialist Party or SP [Ljubisav IVANOV-DZINGO]; Union of Roma of Macedonia [Amdi BAJRAM]; United for Macedonia or OM [Ljube BOSKOVSKI]; VMRO-Macedonian [Borislav STOJMENOV]; VMRO-People's Party or VMRO-NP [Ljubco GEORGIEVSKI] |
| Political pressure groups and leaders: | Federation of Free Trade Unions [Rasko MISHKOSKI]; Federation of Trade Unions [Zivko MITREVSKI]; Trade Union of Education, Science and Culture [Yakim NEDELKOV] |
| International organization participation: | BIS, CE, CEI, EAPC, EBRD, EU (candidate country), FAO, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ISO, ITU, ITUC, MIGA, OAS (observer), OIF, OPCW, OSCE, PCA, PFP, SECI, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Zoran JOLEVSKI |
| Diplomatic representation in the US: | chancery: 2129 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-0501 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-2131 |
| Diplomatic representation in the US: | consulate(s) general: Southfield (Michigan), Chicago |
| Diplomatic representation from the US: | chief of mission: Ambassador Paul D. WOHLERS |
| Diplomatic representation from the US: | embassy: Str. Samolilova, Nr. 21, 1000 Skopje |
| Diplomatic representation from the US: | mailing address: American Embassy Skopje, US Department of State, 7120 Skopje Place, Washington, DC 20521-7120 (pouch) |
| Diplomatic representation from the US: | telephone: [389] 2 310-2000 |
| Diplomatic representation from the US: | FAX: [389] 2 310-2499 |
| Flag description: | a yellow sun (the Sun of Liberty) with eight broadening rays extending to the edges of the red field; the red and yellow colors have long been associated with Macedonia |
| National symbol(s): | eight-rayed sun |
| National anthem: | name: "Denes Nad Makedonija" (Today Over Macedonia) |
| National anthem: | lyrics/music: Vlado MALESKI/Todor SKALOVSKI |
| National anthem: | note: adopted 1991; the song, written in 1943, previously served as the anthem of the Socialist Republic of Macedonia while part of Yugoslavia |
