| Government | Macedonia |
| --- | --- |
| Country name: | conventional long form: Republic of Macedonia |
| Country name: | conventional short form: Macedonia; note - the provisional designation used by the UN, EU, and NATO is Former Yugoslav Republic of Macedonia (FYROM) |
| Country name: | local long form: Republika Makedonija |
| Country name: | former: People's Republic of Macedonia, Socialist Republic of Macedonia |
| Country name: | local short form: Makedonija |
| Government type: | parliamentary democracy |
| Capital: | Skopje |
| Administrative divisions: | 123 municipalities (opstini, singular - opstina); Aracinovo, Bac, Belcista, Berovo, Bistrica, Bitola, Blatec, Bogdanci, Bogomila, Bogovinje, Bosilovo, Brvenica, Cair (Skopje), Capari, Caska, Cegrane, Centar (Skopje), Centar Zupa, Cesinovo, Cucer-Sandevo, Debar, Delcevo, Delogozdi, Demir Hisar, Demir Kapija, Dobrusevo, Dolna Banjica, Dolneni, Dorce Petrov (Skopje), Drugovo, Dzepciste, Gazi Baba (Skopje), Gevgelija, Gostivar, Gradsko, Ilinden, Izvor, Jegunovce, Kamenjane, Karbinci, Karpos (Skopje), Kavadarci, Kicevo, Kisela Voda (Skopje), Klecevce, Kocani, Konce, Kondovo, Konopiste, Kosel, Kratovo, Kriva Palanka, Krivogastani, Krusevo, Kuklis, Kukurecani, Kumanovo, Labunista, Lipkovo, Lozovo, Lukovo, Makedonska Kamenica, Makedonski Brod, Mavrovi Anovi, Meseista, Miravci, Mogila, Murtino, Negotino, Negotino-Polosko, Novaci, Novo Selo, Oblesevo, Ohrid, Orasac, Orizari, Oslomej, Pehcevo, Petrovec, Plasnica, Podares, Prilep, Probistip, Radovis, Rankovce, Resen, Rosoman, Rostusa, Samokov, Saraj, Sipkovica, Sopiste, Sopotnica, Srbinovo, Star Dojran, Staravina, Staro Nagoricane, Stip, Struga, Strumica, Studenicani, Suto Orizari (Skopje), Sveti Nikole, Tearce, Tetovo, Topolcani, Valandovo, Vasilevo, Velesta, Veles, Vevcani, Vinica, Vitoliste, Vranestica, Vrapciste, Vratnica, Vrutok, Zajas, Zelenikovo, Zeleno, Zitose, Zletovo, Zrnovci |
| Administrative divisions: | note: the seven municipalities followed by Skopje in parentheses collectively constitute "greater Skopje"; new information suggests that the 123 municipalities have been consolidated into 84 municipalities |
| Independence: | 8 September 1991 (referendum by registered voters endorsing independence from Yugoslavia) |
| National holiday: | Uprising Day, 2 August (1903); note - also known as Saint Elijah's Day and Ilinden |
| Constitution: | adopted 17 November 1991, effective 20 November 1991 |
| Constitution: | note: in November of 2001, the Macedonian Assembly approved a series of new constitutional amendments strengthening minority rights |
| Legal system: | based on civil law system; judicial review of legislative acts |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Branko CRVENKOVSKI (since 12 May 2004) |
| Executive branch: | head of government: Prime Minister Vlado BUCKOVSKI (since 17 December 2004) |
| Executive branch: | elections: president elected by popular vote for a five-year term; two-round election last held 14 April and 28 April 2004 (next to be held April 2009); prime minister elected by the Assembly; election last held 1 November 2002 (next to be held NA 2006) |
| Executive branch: | election results: Branko CRVENKOVSKI elected president on second-round ballot; percent of vote - Branko CRVENKOVSKI 62.7%, Sasko KEDEV 37.3%; Vlado BUCKOVSKI elected prime minister by the Assembly |
| Executive branch: | cabinet: Council of Ministers elected by the majority vote of all the deputies in the Assembly; note - current cabinet formed by the government coalition parties SDSM, LDP, and BDI |
| Legislative branch: | unicameral Assembly or Sobranie (120 seats - members elected by popular vote from party lists based on the percentage of the overall vote the parties gain in each of six electoral districts; all serve four-year terms) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - Together for Macedonia coalition 60 (SDSM 43, LDP 12, others 5), VMRO-DPMNE 33 (VMRO 28 and LDT 5), Democratic Union for Integration 16, Democratic Party of Albanians 7, Party for Democratic Prosperity 2, National Democratic Party 1, Socialist Party of Macedonia 1 |
| Legislative branch: | elections: last held 15 September 2002 (next to be held NA 2006) |
| Judicial branch: | Supreme Court - the Assembly appoints the judges; Constitutional Court - the Assembly appoints the judges; Republican Judicial Council - the Assembly appoints the judges |
| Political parties and leaders: | Democratic Alliance [Pavle TRAJANOV]; Democratic Alternative or DA [Vasil TUPURKOVSKI, president]; Democratic League of the Bosniaks [Rafet MUMINOVIC]; Democratic Party of Albanians or PDSH/DPA [Arben XHAFERI, president]; Democratic Party of Serbs [Ivan STOILJKOVIC]; Democratic Party of Turks [Kenan HASIPI]; Democratic Republican Union of Macedonia or DRUM [Dosta DIMOVSKA]; Democratic Union of Vlachs for Macedonia [leader NA]; Democratic Union for Integration or BDI/DUI [Ali AHMETI]; Internal Macedonian Revolutionary Organization-Agrarian Party or VMRO-Agrarian Party [Marjan GJORCEV]; Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity or VMRO-DPMNE (including VMRO and LDT) [Nikola GRUEVSKI]; Internal Macedonian Revolutionary Organization-True Macedonian Option or VMRO-Vistinska [Boris ZMEJKOVSKI]; Internal Macedonian Revolutionary Organization-Macedonian [Boris STOJMENOV]; Internal Macedonian Revolutionary Organization-People's Party or VMRO-Narodna [Vesna JANEVSKA]; League for Democracy [Gjorgi MARJANOVIC]; Liberal Democratic Party or LDP [Risto PENOV]; Liberal Party [Stojan ANDOV]; National Democratic Party or PDK [Basri HALITI]; National Farmers' Party [VejljoTANTAROV]; Party for Democratic Prosperity or PPD/PDP [Abduljhadi VEJSELI]; Social Democratic Alliance of Macedonia or SDSM [Vlado BUCKOVSKI, president]; Socialist Party of Macedonia or SP [Ljubisav IVANOV, president]; Together for Macedonia coalition (including the SDSM and LDP) [Vlado BUCKOVSI]; United Party for Emancipation or OPE [Nezdet MUSTAFA] |
| Political pressure groups and leaders: | Civic Movement of Macedonia [Gordana SILJANOVSKA]; Movement for Macedonia's Euro-Atlantic Integration [Dosta DIMOVSKA] |
| International organization participation: | ACCT, BIS, CE, CEI, EAPC, EBRD, FAO, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, MIGA, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Nikola DIMITROV |
| Diplomatic representation in the US: | chancery: Suite 302, 1101 30th Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | consulate(s) general: Southfield, Michigan |
| Diplomatic representation in the US: | FAX: [1] (202) 337-3093 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-3063 |
| Diplomatic representation from the US: | chief of mission: Ambassador Lawrence Edward BUTLER |
| Diplomatic representation from the US: | embassy: Bul. Ilindenska bb, 1000 Skopje |
| Diplomatic representation from the US: | mailing address: American Embassy Skopje, Department of State, 7120 Skopje Place, Washington, DC 20521-7120 (pouch) |
| Diplomatic representation from the US: | telephone: [389] 2 311-6180 |
| Diplomatic representation from the US: | FAX: [389] 2 311-7103 |
| Flag description: | a yellow sun with eight broadening rays extending to the edges of the red field |
