| Government | North Macedonia |
| --- | --- |
| Country name: | conventional long form: Republic of North Macedonia |
| Country name: | conventional short form: North Macedonia |
| Country name: | local long form: Republika Severna Makedonija |
| Country name: | local short form: Severna Makedonija |
| Country name: | former: Democratic Federal Macedonia, People's Republic of Macedonia, Socialist Republic of Macedonia, Republic of Macedonia |
| Country name: | etymology: the country name derives from the ancient kingdom of Macedon (7th to 2nd centuries B.C.) |
| Government type: | parliamentary republic |
| Capital: | name: Skopje |
| Capital: | geographic coordinates: 42 00 N, 21 26 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: Skopje derives from its ancient name Scupi, the Latin designation of a classical era Greco-Roman frontier fortress town; the name may go back even further to a pre-Greek, Illyrian name |
| Administrative divisions: | 70 municipalities (opstini, singular - opstina) and 1 city* (grad); Aracinovo, Berovo, Bitola, Bogdanci, Bogovinje, Bosilovo, Brvenica, Caska, Centar Zupa, Cesinovo-Oblesevo, Cucer Sandevo, Debar, Debarca, Delcevo, Demir Hisar, Demir Kapija, Dojran, Dolneni, Gevgelija, Gostivar, Gradsko, Ilinden, Jegunovce, Karbinci, Kavadarci, Kicevo, Kocani, Konce, Kratovo, Kriva Palanka, Krivogastani, Krusevo, Kumanovo, Lipkovo, Lozovo, Makedonska Kamenica, Makedonski Brod, Mavrovo i Rostusa, Mogila, Negotino, Novaci, Novo Selo, Ohrid, Pehcevo, Petrovec, Plasnica, Prilep, Probistip, Radovis, Rankovce, Resen, Rosoman, Skopje*, Sopiste, Staro Nagoricane, Stip, Struga, Strumica, Studenicani, Sveti Nikole, Tearce, Tetovo, Valandovo, Vasilevo, Veles, Vevcani, Vinica, Vrapciste, Zelenikovo, Zelino, Zrnovci |
| Independence: | 8 September 1991 (referendum by registered voters endorsed independence from Yugoslavia) |
| National holiday: | Independence Day, 8 September (1991), also known as National Day |
| Constitution: | history: several previous; latest adopted 17 November 1991, effective 20 November 1991 |
| Constitution: | amendments: proposed by the president of the republic, by the government, by at least 30 members of the Assembly, or by petition of at least 150,000 citizens; final approval requires a two-thirds majority vote by the Assembly; amended several times, last in 2019 |
| Legal system: | civil law system; judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of North Macedonia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 8 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Stevo PENDAROVSKI (since 12 May 2019) |
| Executive branch: | head of government: Prime Minister Zoran ZAEV (since 31 August 2020); note - Prime Minister ZAEV resigned on 3 January 2019 but was reelected by the Assembly on 31 August 2020 (62-51) following the delayed Assembly general election on 15 July 2020 |
| Executive branch: | cabinet: Council of Ministers elected by the Assembly by simple majority vote |
