| Government | Macedonia, The Former Yugoslav Republic of |
| --- | --- |
| Country name: | conventional long form: The Former Yugoslav Republic of Macedonia |
| Country name: | conventional short form: none |
| Country name: | local long form: Republika Makedonija |
| Country name: | abbreviation: F.Y.R.O.M. |
| Country name: | local short form: Makedonija |
| Government type: | parliamentary democracy |
| Capital: | Skopje |
| Administrative divisions: | 123 municipalities (opstini, singular - opstina); Aracinovo, Bac, Belcista, Berovo, Bistrica, Bitola, Blatec, Bogdanci, Bogomila, Bogovinje, Bosilovo, Brvenica, Cair (Skopje), Capari, Caska, Cegrane, Centar (Skopje), Centar Zupa, Cesinovo, Cucer-Sandevo, Debar, Delcevo, Delogozdi, Demir Hisar, Demir Kapija, Dobrusevo, Dolna Banjica, Dolneni, Dorce Petrov (Skopje), Drugovo, Dzepciste, Gazi Baba (Skopje), Gevgelija, Gostivar, Gradsko, Ilinden, Izvor, Jegunovce, Kamenjane, Karbinci, Karpos (Skopje), Kavadarci, Kicevo, Kisela Voda (Skopje), Klecevce, Kocani, Konce, Kondovo, Konopiste, Kosel, Kratovo, Kriva Palanka, Krivogastani, Krusevo, Kuklis, Kukurecani, Kumanovo, Labunista, Lipkovo, Lozovo, Lukovo, Makedonska Kamenica, Makedonski Brod, Mavrovi Anovi, Meseista, Miravci, Mogila, Murtino, Negotino, Negotino-Polosko, Novaci, Novo Selo, Oblesevo, Ohrid, Orasac, Orizari, Oslomej, Pehcevo, Petrovec, Plasnica, Podares, Prilep, Probistip, Radovis, Rankovce, Resen, Rosoman, Rostusa, Samokov, Saraj, Sipkovica, Sopiste, Sopotnica, Srbinovo, Star Dojran, Staravina, Staro Nagoricane, Stip, Struga, Strumica, Studenicani, Suto Orizari (Skopje), Sveti Nikole, Tearce, Tetovo, Topolcani, Valandovo, Vasilevo, Velesta, Veles, Vevcani, Vinica, Vitoliste, Vranestica, Vrapciste, Vratnica, Vrutok, Zajas, Zelenikovo, Zeleno, Zitose, Zletovo, Zrnovci |
| Administrative divisions: | note: the seven municipalities followed by Skopje in parentheses collectively constitute "greater Skopje" |
| Independence: | 8 September 1991 referendum by registered voters endorsing independence (from Yugoslavia) |
| National holiday: | Uprising Day, 2 August (1903); note - also known as Saint Elijah's Day and Ilinden |
| Constitution: | adopted 17 November 1991, effective 20 November 1991 |
| Constitution: | note: the Macedonian Parliament approved November 2001 a series of new constitutional amendments, strengthening minority rights |
| Legal system: | based on civil law system; judicial review of legislative acts |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Boris TRAJKOVSKI (since 15 December 1999) |
| Executive branch: | head of government: Prime Minister Branko CRVENKOVSKI (since 1 November 2002) |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 14 November 1999 (next to be held NA October 2004); prime minister elected by the Assembly; election last held NA October 2002 (next to be held NA 2006) |
| Executive branch: | election results: Boris TRAJKOVSKI elected president on second-round ballot; percent of vote - Boris TRAJKOVSKI 52.4%, Tito PETKOVSKI 46.2%; Branko CRVENKOVSKI elected prime minister by Parliament with 72% of the vote |
| Executive branch: | cabinet: Council of Ministers elected by the majority vote of all the deputies in the Assembly; note - current cabinet formed by the government coalition parties VMRO-DPMNE, PDP, and DPA |
| Legislative branch: | unicameral Assembly or Sobranje (120 seats - 85 members are elected by popular vote, 35 members come from lists of candidates submitted by parties based on the percentage that a party gains from the overall vote; all serve four-year terms) |
