| Government | Dominican Republic |
| --- | --- |
| Country name: | conventional long form: Dominican Republic |
| Country name: | conventional short form: The Dominican |
| Country name: | local long form: Republica Dominicana |
| Country name: | local short form: La Dominicana |
| Government type: | democratic republic |
| Capital: | name: Santo Domingo |
| Capital: | geographic coordinates: 18 28 N, 69 54 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 31 provinces (provincias, singular - provincia) and 1 district* (distrito); Azua, Bahoruco, Barahona, Dajabon, Distrito Nacional*, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanchez, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San Jose de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde |
| Independence: | 27 February 1844 (from Haiti) |
| National holiday: | Independence Day, 27 February (1844) |
| Constitution: | 28 November 1966; amended 25 July 2002 and January 2010 |
| Legal system: | civil law system based on the French civil code; Criminal Procedures Code modified in 2004 to include important elements of an accusatory system |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age, universal and compulsory; married persons regardless of age can vote; note - members of the armed forces and national police cannot vote by law |
| Executive branch: | chief of state: President Danilo MEDINA Sanchez (since 16 August 2012); Vice President Margarita CEDENO DE FERNANDEZ (since 16 August 2012); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Danilo MEDINA Sanchez (since 16 August 2012); Vice President Margarita CEDENO DE FERNANDEZ (since 16 August 2012) |
| Executive branch: | cabinet: Cabinet nominated by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms; election last held on 20 May 2012 (next to be held in 2016) |
| Executive branch: | election results: Danilo MEDINA elected president; percent of vote - Danilo MEDINA 51.2%, Hipolito MEJIA 47%; Margarita CEDENO DE FERNANDEZ elected vice president |
| Legislative branch: | bicameral National Congress or Congreso Nacional consists of the Senate or Senado (32 seats; members elected by popular vote to serve four-year terms) and the House of Representatives or Camara de Diputados (183 seats; members are elected by popular vote to serve four-year terms) |
