| Government | DOMINICAN REPUBLIC |
| --- | --- |
| Country name: | conventional long form: Dominican Republic |
| Country name: | conventional short form: The Dominican |
| Country name: | local long form: Republica Dominicana |
| Country name: | local short form: La Dominicana |
| Country name: | etymology: the country name derives from the capital city of Santo Domingo (Saint Dominic) |
| Government type: | presidential republic |
| Capital: | name: Santo Domingo |
| Capital: | geographic coordinates: 18 28 N, 69 54 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 10 regions (regiones, singular - region); Cibao Nordeste, Cibao Noroeste, Cibao Norte, Cibao Sur, El Valle, Enriquillo, Higuamo, Ozama, Valdesia, Yuma |
| Independence: | 27 February 1844 (from Haiti) |
| National holiday: | Independence Day, 27 February (1844) |
| Constitution: | many previous (38 total); latest proclaimed 26 January 2010; note - the Dominican Republic Government has a practice of promulgating a "new" constitution whenever an amendment is ratified (2016) |
| Legal system: | civil law system based on the French civil code; Criminal Procedures Code modified in 2004 to include important elements of an accusatory system |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Dominican Republic |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 2 years |
| Suffrage: | 18 years of age, universal and compulsory; married persons regardless of age can vote; note - members of the armed forces and national police by law cannot vote |
| Executive branch: | chief of state: President Danilo MEDINA Sanchez (since 16 August 2012); Vice President Margarita CEDENO DE FERNANDEZ (since 16 August 2012); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Danilo MEDINA Sanchez (since 16 August 2012); Vice President Margarita CEDENO DE FERNANDEZ (since 16 August 2012) |
| Executive branch: | cabinet: Cabinet nominated by the president |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by absolute vote in 2 rounds if needed for a 4-year term (eligible for consecutive terms); election last held on 15 May 2016 (next to be held in 2020) |
| Executive branch: | election results: Danilo MEDINA Sanchez reelected president; percent of vote - Danilo MEDINA Sanchez (PLD) 61.7%, Luis Rodolfo ABINADER Corona (PRM) 35%, other 3.3%; Margarita CEDENO DE FERNANDEZ (PLD) reelected vice president |
