| Government | BELARUS |
| --- | --- |
| Country name: | conventional long form: Republic of Belarus |
| Country name: | conventional short form: Belarus |
| Country name: | local long form: Respublika Byelarus'/Respublika Belarus' |
| Country name: | local short form: Byelarus'/Belarus' |
| Country name: | former: Belorussian (Byelorussian) Soviet Socialist Republic |
| Country name: | note: the name is a compound of the Belarusian words "bel" (white) and "Rus" (the Old East Slavic ethnic designation) to form the meaning White Rusian or White Ruthenian |
| Government type: | republic in name, although in fact an authoritarian system centered on the executive |
| Capital: | name: Minsk |
| Capital: | geographic coordinates: 53 54 N, 27 34 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 6 provinces (voblastsi, singular - voblasts') and 1 municipality* (horad); Brest, Homyel' (Gomel'), Horad Minsk* (Minsk City), Hrodna (Grodno), Mahilyow (Mogilev), Minsk, Vitsyebsk (Vitebsk) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers; Russian spelling provided for reference when different from Belarusian |
| Independence: | 25 August 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 3 July (1944); note - 3 July 1944 was the date Minsk was liberated from German troops, 25 August 1991 was the date of independence from the Soviet Union |
| Constitution: | several previous; latest drafted between late 1991 and early 1994, signed 15 March 1994; amended 1996, 2004 (2015) |
| Legal system: | civil law system; note - nearly all major codes (civil, civil procedure, criminal, criminal procedure, family, and labor) have been revised and came into force in 1999 or 2000 |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: president Aleksandr LUKASHENKO (since 20 July 1994); note - the US does not recognize the results of the 19 December 2010 elections under which the Central Election Commission of Belarus declared LUKASHENKO president |
| Executive branch: | head of government: prime minister Andrey KABYAKOW (since 27 December 2014); first deputy prime minister Vasily MATYUSHEVSKIY (since 27 December 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (no term limits); first election took place on 23 June and 10 July 1994; according to the 1994 constitution, the next election should have been held in 1999, however, Aleksandr LUKASHENKO extended his term to 2001 via a November 1996 referendum; subsequent election held on 9 September 2001; an October 2004 referendum ended presidential term limits and allowed the president to run in a third (19 March 2006) and fourth election (19 December 2010); next election to be held on 11 October 2015; prime minister and deputy prime ministers appointed by the president and approved by the National Assembly |
