| Government | Belarus |
| --- | --- |
| Country name: | conventional long form: Republic of Belarus |
| Country name: | conventional short form: Belarus |
| Country name: | local long form: Respublika Byelarus' |
| Country name: | local short form: Byelarus' |
| Country name: | former: Belorussian (Byelorussian) Soviet Socialist Republic |
| Government type: | republic in name, although in fact a dictatorship |
| Capital: | name: Minsk |
| Capital: | geographic coordinates: 53 54 N, 27 34 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 6 provinces (voblastsi, singular - voblasts') and 1 municipality* (horad); Brest, Homyel', Horad Minsk*, Hrodna, Mahilyow, Minsk, Vitsyebsk |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers |
| Independence: | 25 August 1991 (from Soviet Union) |
| National holiday: | Independence Day, 3 July (1944); note - 3 July 1944 was the date Minsk was liberated from German troops, 25 August 1991 was the date of independence from the Soviet Union |
| Constitution: | 15 March 1994; revised by national referendum of 24 November 1996 giving the presidency greatly expanded powers and became effective 27 November 1996; revised again 17 October 2004 removing presidential term limits |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Aleksandr LUKASHENKO (since 20 July 1994) |
| Executive branch: | head of government: Prime Minister Sergei SIDORSKIY (since 19 December 2003); First Deputy Prime Minister Vladimir SEMASHKO (since NA December 2003) |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | elections: president elected by popular vote for a five-year term; first election took place 23 June and 10 July 1994; according to the 1994 constitution, the next election should have been held in 1999, however, Aleksandr LUKASHENKO extended his term to 2001 via a November 1996 referendum; subsequent election held 9 September 2001; an October 2004 referendum ended presidential term limits and allowed the president to run in a third election, which was held on 19 March 2006; prime minister and deputy prime ministers appointed by the president |
| Executive branch: | election results: Aleksandr LUKASHENKO reelected president; percent of vote - Aleksandr LUKASHENKO 82.6%, Aleksandr MILINKEVICH 6%, Aleksandr KOZULIN 2.3%; note - election marred by electoral fraud |
| Legislative branch: | bicameral National Assembly or Natsionalnoye Sobranie consists of the Council of the Republic or Soviet Respubliki (64 seats; 56 members elected by regional councils and eight members appointed by the president, to serve four-year terms) and the Chamber of Representatives or Palata Predstaviteley (110 seats; members elected by popular vote to serve four-year terms) |
