| Government | Belarus |
| --- | --- |
| Country name: | conventional long form: Republic of Belarus |
| Country name: | conventional short form: Belarus |
| Country name: | local long form: Respublika Byelarus' |
| Country name: | local short form: Byelarus' |
| Country name: | former: Belorussian (Byelorussian) Soviet Socialist Republic |
| Government type: | republic in name, although in fact a dictatorship |
| Capital: | name: Minsk |
| Capital: | geographic coordinates: 53 54 N, 27 34 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 6 provinces (voblastsi, singular - voblasts') and 1 municipality* (horad); Brest, Homyel' (Gomel), Horad Minsk* (Minsk City), Hrodna (Grodno), Mahilyow (Mogilev), Minsk, Vitsyebsk (Vitebsk) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers; Russian spelling provided for reference when different from Belarusian |
| Independence: | 25 August 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 3 July (1944); note - 3 July 1944 was the date Minsk was liberated from German troops, 25 August 1991 was the date of independence from the Soviet Union |
| Constitution: | 15 March 1994; revised by national referendum of 24 November 1996 giving the presidency greatly expanded powers and became effective 27 November 1996; revised again 17 October 2004 removing presidential term limits |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Aleksandr LUKASHENKO (since 20 July 1994) |
| Executive branch: | head of government: Prime Minister Mikhail MYASNIKOVICH (since 28 December 2010); First Deputy Prime Minister Vladimir SEMASHKO (since December 2003) |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term; first election took place on 23 June and 10 July 1994; according to the 1994 constitution, the next election should have been held in 1999, however, Aleksandr LUKASHENKO extended his term to 2001 via a November 1996 referendum; subsequent election held on 9 September 2001; an October 2004 referendum ended presidential term limits and allowed the president to run in a third (19 March 2006) and fourth election (19 December 2010); prime minister and deputy prime ministers appointed by the president |
| Executive branch: | election results: Aleksandr LUKASHENKO reelected president; percent of vote - Aleksandr LUKASHENKO 79.7%, Andrey SANNIKAU 2.6%, other candidates 17.7%; note - election marred by electoral fraud |
