| Government | Lesotho |
| --- | --- |
| Country name: | conventional long form: Kingdom of Lesotho |
| Country name: | conventional short form: Lesotho |
| Country name: | local long form: Kingdom of Lesotho |
| Country name: | local short form: Lesotho |
| Country name: | former: Basutoland |
| Country name: | etymology: the name translates as "Land of the Sesotho Speakers" |
| Government type: | parliamentary constitutional monarchy |
| Capital: | name: Maseru |
| Capital: | geographic coordinates: 29 19 S, 27 29 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: in the Sesotho language the name means "[place of] red sandstones" |
| Administrative divisions: | 10 districts; Berea, Butha-Buthe, Leribe, Mafeteng, Maseru, Mohale's Hoek, Mokhotlong, Qacha's Nek, Quthing, Thaba-Tseka |
| Independence: | 4 October 1966 (from the UK) |
| National holiday: | Independence Day, 4 October (1966) |
| Constitution: | history: previous 1959, 1967; latest adopted 2 April 1993 (effectively restoring the 1967 version) |
| Constitution: | amendments: proposed by Parliament; passage of amendments affecting constitutional provisions, including fundamental rights and freedoms, sovereignty of the kingdom, the office of the king, and powers of Parliament, requires a majority vote by the National Assembly, approval by the Senate, approval in a referendum by a majority of qualified voters, and assent of the king; passage of amendments other than those specified provisions requires at least a two-thirds majority vote in both houses of Parliament; amended several times, last in 2011 (2017) |
| Legal system: | mixed legal system of English common law and Roman-Dutch law; judicial review of legislative acts in High Court and Court of Appeal |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King LETSIE III (since 7 February 1996); note - King LETSIE III formerly occupied the throne from November 1990 to February 1995 while his father was in exile |
| Executive branch: | head of government: Prime Minister Thomas Motsoahae THABANE (since 16 June 2017) |
| Executive branch: | cabinet: consists of the prime minister, appointed by the King on the advice of the Council of State, theÂ deputy prime minister, and 26 other ministers |
| Executive branch: | elections/appointments: the monarchy is hereditary, but under the terms of the constitution that came into effect after the March 1993 election, the monarch is a "living symbol of national unity" with no executive or legislative powers; under traditional law, the college of chiefs has the power to depose the monarch, to determine next in line of succession, or to serve as regent in the event that a successor is not of mature age; following legislative elections, the leader of the majority party or majority coalition in the Assembly automatically becomes prime minister |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | Senate (33 seats; 22 principal chiefs and 11 other senators nominated by the king with the advice of the Council of State, a 13-member body of key government and non-government officials; members serve 5-year terms) |
| Legislative branch: | National Assembly (120 seats; 80 members directly elected in single-seat constituencies by simple majority vote and 40 elected through proportional representation; members serve 5-year terms) |
| Legislative branch: | elections: Senate - last nominated by the king 11 July 2017 (next NA) |
| Legislative branch: | National Assembly - last held on 3 June 2017 (next to be held in 2022) |
| Legislative branch: | election results: Senate - percent of votes by party - NA, seats by party - NA; composition - men 25, women 8, percent of women 24.2% |
| Legislative branch: | National Assembly - percent of votes by party - ABC 40.5%, DC 25.8%, LCD 9%, AD 7.3%, MEC 5.1%, BNP 4.1, PFD 2.3%, other 5.9%; seats by party - ABC 51, DC 30, LCD 11, AD 9, MEC 6, BNP 5, PFD 3, other 5; composition - men 95, women 27, percent of women 22.5%; note - total Parliament percent of women 22.9% |
| Judicial branch: | highest courts: Court of Appeal (consists of the court president, such number of justices of appeal as set by Parliament, and the Chief Justice and the puisne judges of the High Court ex officio); High Court (consists of the chief justice and such number of puisne judges as set by Parliament); note - both the Court of Appeal and the High Court have jurisdiction in constitutional issues |
| Judicial branch: | judge selection and term of office: Court of Appeal president and High Court chief justice appointed by the monarch on the advice of the prime minister; puisne judges appointed by the monarch on advice of the Judicial Service Commission, an independent body of judicial officers and officials designated by the monarch; judges of both courts can serve until age 75 |
| Judicial branch: | subordinate courts: Magistrate Courts; customary or traditional courts; military courts |
| Political parties and leaders: | All Basotho Convention or ABC [Thomas Motsoahae THABANE] |
| Political parties and leaders: | Alliance of Democrats or AD [Monyane MOLELEKI] |
| Political parties and leaders: | Basotho Congress Party or BCP [Thulo MAHLAKENG] |
| Political parties and leaders: | Basotho National Party or BNP [Thesele MASERIBANE] |
| Political parties and leaders: | Democratic Congress or DC [Pakalitha MOSISILI] |
| Political parties and leaders: | Democratic Party of Lesotho or DPL [Limpho TAU] |
| Political parties and leaders: | Lesotho Congress for Democracy or LCD [Mothetjoa METSING] |
| Political parties and leaders: | Movement of Economic Change or MEC [Selibe MOCHOBOROANE] |
| Political parties and leaders: | National Independent Party or NIP [Kimetso MATHABA] |
| Political parties and leaders: | Popular Front for Democracy of PFD [Lekhetho RAKUOANE] |
| Political parties and leaders: | Reformed Congress of Lesotho or RCL [Keketso RANTSO] |
| International organization participation: | ACP, AfDB, AU, C, CD, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, MIGA, NAM, OPCW, SACU, SADC, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Sankatana Gabriel MAJA (since 22 June 2018) |
| Diplomatic representation in the US: | chancery: 2511 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-5533 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-6815 |
| Diplomatic representation from the US: | chief of mission: Ambassador Rebecca E. GONZALES (since 8 February 2018) |
| Diplomatic representation from the US: | telephone: [266] 22 312 666 |
| Diplomatic representation from the US: | embassy: 254 Kingsway Road, Maseru West |
| Diplomatic representation from the US: | mailing address: P.O. Box 333, Maseru 100, Lesotho |
| Diplomatic representation from the US: | FAX: [266] 22 310 116 |
| Flag description: | three horizontal stripes of blue (top), white, and green in the proportions of 3:4:3; the colors represent rain, peace, and prosperity respectively; centered in the white stripe is a black Basotho hat representing the indigenous people; the flag was unfurled in October 2006 to celebrate 40 years of independence |
| National symbol(s): | mokorotio (Basotho hat); national colors: blue, white, green, black |
| National anthem: | name: "Lesotho fatse la bo ntat'a rona" (Lesotho, Land of Our Fathers) |
| National anthem: | lyrics/music: Francois COILLARD/Ferdinand-Samuel LAUR |
| National anthem: | note: adopted 1967; music derives from an 1823 Swiss songbook |
