| Government | Iceland |
| --- | --- |
| Country name: | conventional long form: Republic of Iceland |
| Country name: | conventional short form: Iceland |
| Country name: | local short form: Island |
| Country name: | local long form: Lydhveldidh Island |
| Government type: | constitutional republic |
| Capital: | Reykjavik |
| Administrative divisions: | 23 counties (syslur, singular - sysla) and 14 independent towns* (kaupstadhir, singular - kaupstadhur); Akranes*, Akureyri*, Arnessysla, Austur-Bardhastrandarsysla, Austur-Hunavatnssysla, Austur-Skaftafellssysla, Borgarfjardharsysla, Dalasysla, Eyjafjardharsysla, Gullbringusysla, Hafnarfjordhur*, Husavik*, Isafjordhur*, Keflavik*, Kjosarsysla, Kopavogur*, Myrasysla, Neskaupstadhur*, Nordhur-Isafjardharsysla, Nordhur-Mulasys-la, Nordhur-Thingeyjarsysla, Olafsfjordhur*, Rangarvallasysla, Reykjavik*, Saudharkrokur*, Seydhisfjordhur*, Siglufjordhur*, Skagafjardharsysla, Snaefellsnes-og Hnappadalssysla, Strandasysla, Sudhur-Mulasysla, Sudhur-Thingeyjarsysla, Vesttmannaeyjar*, Vestur-Bardhastrandarsysla, Vestur-Hunavatnssysla, Vestur-Isafjardharsysla, Vestur-Skaftafellssysla |
| Administrative divisions: | note: there may be four other counties |
| Independence: | 1 December 1918 (became a sovereign state under the Danish Crown); 17 June 1944 (from Denmark) |
| National holiday: | Independence Day, 17 June (1944) |
| Constitution: | 16 June 1944, effective 17 June 1944 |
| Legal system: | civil law system based on Danish law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Olafur Ragnar GRIMSSON (since 1 August 1996) |
| Executive branch: | head of government: Prime Minister David ODDSSON (since 30 April 1991) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister and approved by Parliament |
| Executive branch: | election results: Olafur Ragnar GRIMSSON ran unopposed in 2000 and was reelected |
| Executive branch: | elections: president, which is largely a ceremonial post, elected by popular vote for a four-year term; election last held 29 June 1996 (next to be held NA June 2004); President GRIMSSON ran unopposed in June 2000 so there were no elections; prime minister appointed by the president |
| Legislative branch: | unicameral Parliament or Althing (63 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | election results: percent of vote by party - Independence Party 40.7%, Social Democratic Alliance (PA, Social Democratic Party, Women's List) 26.8%, Progressive Party 18.4%, Left-Green Alliance 9.1%, Liberal Party 4.2%; seats by party - Independence Party 26, Social Democratic Alliance 17, Progressive Party 12, Left-Green Alliance 6, Liberal Party 2 |
| Legislative branch: | elections: last held 8 May 1999 (next to be held by April 2003) |
| Judicial branch: | Supreme Court or Haestirettur (justices are appointed for life by the Minister of Justice); eight district courts (justices are appointed for life by the Minister of Justice) |
| Political parties and leaders: | Independence Party or IP [David ODDSSON]; Left-Green Alliance or LGP [Steingrimur SIGFUSSON]; Liberal Party or LP [Sverrir HERMANNSSON]; Progressive Party or PP [Halldor ASGRIMSSON]; Social Democratic Alliance (includes People's Alliance or PA, Social Democratic Party or SDP, Women's List)or SDA [Ossur SKARPHEDINSSON]; Social Democratic Party or SDP [Sighvatur BJORGVINSSON]; Women's List or WL [Kristin ASTGEIRSDOTTIR] |
| Political pressure groups and leaders: | NA |
| International organization participation: | Australia Group, BIS, CBSS, CCC, CE, EAPC, EBRD, ECE, EFTA, FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA (observer), IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, NATO, NC, NEA, NIB, OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNMIBH, UNMIK, UNU, UPU, WEU (associate), WHO, WIPO, WMO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Helgi AGUSTSSON |
| Diplomatic representation in the US: | chancery: Suite 1200, 1156 15th Street NW, Washington, DC 20005-1704 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation in the US: | FAX: [1] (202) 265-6656 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-6653 |
| Diplomatic representation from the US: | chief of mission: Ambassador James I. GADSDEN |
| Diplomatic representation from the US: | embassy: Laufasvegur 21, 101 Reykjavik |
| Diplomatic representation from the US: | mailing address: US Embassy, PSC 1003, Box 40, FPO AE 09728-0340 |
| Diplomatic representation from the US: | telephone: [354] 5629100 |
| Diplomatic representation from the US: | FAX: [354] 5629139 |
| Flag description: | blue with a red cross outlined in white extending to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag) |
