| Government | ICELAND |
| --- | --- |
| Country name: | conventional long form: Republic of Iceland |
| Country name: | conventional short form: Iceland |
| Country name: | local long form: Lydveldid Island |
| Country name: | local short form: Island |
| Government type: | constitutional republic |
| Capital: | name: Reykjavik |
| Capital: | geographic coordinates: 64 09 N, 21 57 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 8 regions; Austurland, Hofudhborgarsvaedhi, Nordhurland Eystra, Nordhurland Vestra, Sudhurland, Sudhurnes, Vestfirdhir, Vesturland |
| Independence: | 1 December 1918 (became a sovereign state under the Danish Crown); 17 June 1944 (from Denmark; birthday of Jon SIGURDSSON leader of Iceland's 19th Century independence movement) |
| National holiday: | Independence Day, 17 June (1944) |
| Constitution: | several previous; latest ratified 16 June 1944, effective 17 June 1944 (at independence); amended many times, last in 2013; note - a new constitution drafted in 2012 in the aftermath of the country's banking collapse was voted down in April 2013 by the recently elected parliament, though several amendments were passed (2013) |
| Legal system: | civil law system influenced by the Danish model |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Olafur Ragnar GRIMSSON (since 1 August 1996) |
| Executive branch: | head of government: Prime Minister Sigmundur David GUNNLAUGSSON (since 23 May 2013) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a 4-year term (no term limits); election last held on 30 June 2012 (next to be held in June 2016); following legislative elections, the leader of the majority party or majority coalition becomes prime minister |
| Executive branch: | election results: Olafur Ragnar GRIMSSON elected president; percent of vote - Olafur Ragnar GRIMSSON (independent) 52.8%, Thora ARNORSDOTTIR (independent) 33.2%, Ari Trausti GUDMUNDSSON (independent) 8.6%, other 5.4% |
| Legislative branch: | description: unicameral Althingi (parliament) (63 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 27 April 2013 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote by party - SDA 30.16%, IP 25.4%, LGM 17.46%, PP 14.29%, BF 3.18%, Dawn 3.18%, Rainbow 3.18%, Pirate Party 1.59%, Solidarity 1.59%; seats by party - SDA 19, IP 16, LGM 11, PP 9, BF 2, Dawn 2, Rainbow 2, Pirate Party 1, Solidarity 1 |
| Judicial branch: | highest court(s): Supreme Court or Haestirettur (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: judges proposed by Ministry of Interior selection committee and appointed by the president; judges appointed for an indefinite period |
| Judicial branch: | subordinate courts: 8 district courts; Labor Court |
| Political parties and leaders: | Bright Future (Bjort Framtid) or BF [Gudmundur STEINGRIMSSON] |
| Political parties and leaders: | Dawn (Dogun) [Benedikt SIGURDARSON] |
| Political parties and leaders: | Independence Party (Sjalfstaedisflokkurinn) or IP [Bjarni BENEDIKTSSON] |
| Political parties and leaders: | Left-Green Movement (Vinstrihreyfingin) or LGM [Katrin JAKOBSDOTTIR] |
| Political parties and leaders: | Pirate Party [Birgitta JONSDOTTIR] |
| Political parties and leaders: | Progressive Party (Framsoknarflokkurinn) or PP [Sigmundur David GUNNLAUGSSON] |
| Political parties and leaders: | Rainbow [Bjarni HAROARSON]; note - party was created to last for the 2013 election only |
| Political parties and leaders: | Social Democratic Alliance (Samfylkingin) or SDA [Arni Pall ARNASON] |
| Political parties and leaders: | Solidarity (Samstada) [Lilja MOSESDOTTIR] |
| International organization participation: | Arctic Council, Australia Group, BIS, CBSS, CD, CE, EAPC, EBRD, EFTA, EU (candidate country), FAO, FATF, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Geir Hilmar HAARDE (since 23 February 2015) |
| Diplomatic representation in the US: | chancery: House of Sweden, 2900 K Street NW |
| Diplomatic representation in the US: | telephone: [1] (202) 265-6653 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-6656 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert C. BARBER (since 8 January 2015) |
| Diplomatic representation from the US: | embassy: Laufasvegur 21, 101 Reykjavik |
| Diplomatic representation from the US: | mailing address: US Department of State, 5640 Reykjavik Place, Washington, D.C. 20521-5640 |
| Diplomatic representation from the US: | telephone: [354] 595-22 00 |
| Diplomatic representation from the US: | FAX: [354] 562-9118 |
| Flag description: | blue with a red cross outlined in white extending to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag); the colors represent three of the elements that make up the island: red is for the island's volcanic fires, white recalls the snow and ice fields of the island, and blue is for the surrounding ocean |
| National symbol(s): | gyrfalcon; national colors: blue, white, red |
| National anthem: | name: "Lofsongur" (Song of Praise) |
| National anthem: | lyrics/music: Matthias JOCHUMSSON/Sveinbjorn SVEINBJORNSSON |
| National anthem: | note: adopted 1944; also known as "O, Gud vors lands" (O, God of Our Land), the anthem was originally written and performed in 1874 |
