| Government | Denmark |
| --- | --- |
| Country name: | conventional long form: Kingdom of Denmark |
| Country name: | conventional short form: Denmark |
| Country name: | local short form: Danmark |
| Country name: | local long form: Kongeriget Danmark |
| Government type: | constitutional monarchy |
| Capital: | Copenhagen |
| Administrative divisions: | metropolitan Denmark - 14 counties (amter, singular - amt) and 2 boroughs* (amtskommuner, singular - amtskommune); Arhus, Bornholm, Frederiksberg*, Frederiksborg, Fyn, Kobenhavn, Kobenhavns*, Nordjylland, Ribe, Ringkobing, Roskilde, Sonderjylland, Storstrom, Vejle, Vestsjalland, Viborg |
| Administrative divisions: | note: see separate entries for the Faroe Islands and Greenland, which are part of the Kingdom of Denmark and are self-governing overseas administrative divisions |
| Independence: | first organized as a unified state in 10th century; in 1849 became a constitutional monarchy |
| National holiday: | none designated; Constitution Day, 5 June is generally viewed as the National Day |
| Constitution: | 5 June 1849 adoption of original constitution; a major overhaul of 5 June 1953 allowed for a unicameral legislature and a female chief of state |
| Legal system: | civil law system; judicial review of legislative acts; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen MARGRETHE II (since 14 January 1972); Heir Apparent Crown Prince FREDERIK, elder son of the monarch (born 26 May 1968) |
| Executive branch: | head of government: Prime Minister Anders Fogh RASMUSSEN (since 27 November 2001) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister and approved by Parliament |
| Executive branch: | elections: none; the monarch is hereditary; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the monarch |
| Legislative branch: | unicameral Parliament or Folketing (179 seats, including 2 from Greenland and 2 from the Faroe Islands; members are elected by popular vote on the basis of proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held 20 November 2001 (next to be held 8 February 2005) |
| Legislative branch: | election results: percent of vote by party - Liberal Party 31%, Social Democrats 29%, Danish People's Party 12%, Conservative Party 9%, Socialist People's Party 6%, Social Liberal Party 5%, Christian People's Party (now Christian Democrats) 2%, Unity List 2%; seats by party - Liberal Party 56, Social Democrats 52, Danish People's Party 22, Conservative Party 16, Socialist People's Party 12, Social Liberal Party 9, Christian People's Party (now Christian Democrats) 4, Unity List 4; note - does not include the 2 seats from Greenland and the 2 seats from the Faroe Islands |
| Judicial branch: | Supreme Court (judges are appointed by the monarch for life) |
| Political parties and leaders: | Center Democratic Party [Mimi JAKOBSEN]; Christian Democrats (was Christian People's Party) [Marianne KARLSMOSE]; Conservative Party (sometimes known as Conservative People's Party) [Bendt BENDTSEN]; Danish People's Party [Pia KJAERSGAARD]; Liberal Party [Anders Fogh RASMUSSEN]; Social Democratic Party [Mogens LYKKETOFT]; Social Liberal Party (sometimes called the Radical Left) [Marianne JELVED, leader; Soren BALD, chairman]; Socialist People's Party [Holger K. NIELSEN]; Red-Green Unity List (bloc includes Left Socialist Party, Communist Party of Denmark, Socialist Workers' Party) [collective leadership] |
| Political pressure groups and leaders: | NA |
| International organization participation: | AfDB, AsDB, Australia Group, BIS, CBSS, CE, CERN, EAPC, EBRD, EIB, ESA, EU, FAO, G- 9, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MONUC, NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, UN, UN Security Council (temporary), UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UNMIK, UNMIL, UNMISET, UNMOGIP, UNOMIG, UNTSO, UPU, WCO, WEU (observer), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Ulrik Andreas FEDERSPIEL |
| Diplomatic representation in the US: | consulate(s) general: Chicago and New York |
| Diplomatic representation in the US: | FAX: [1] (202) 328-1470 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-4300 |
| Diplomatic representation in the US: | chancery: 3200 Whitehaven Street NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Stuart A. BERNSTEIN; note - will leave 15 January 2005 |
| Diplomatic representation from the US: | embassy: Dag Hammarskjolds Alle 24, 2100 Copenhagen |
| Diplomatic representation from the US: | mailing address: PSC 73, APO AE 09716 |
| Diplomatic representation from the US: | telephone: [45] 35 55 31 44 |
| Diplomatic representation from the US: | FAX: [45] 35 43 02 23 |
| Flag description: | red with a white cross that extends to the edges of the flag; the vertical part of the cross is shifted to the hoist side, and that design element of the Dannebrog (Danish flag) was subsequently adopted by the other Nordic countries of Finland, Iceland, Norway, and Sweden |
