| Government | Denmark |
| --- | --- |
| Country name: | conventional long form: Kingdom of Denmark |
| Country name: | conventional short form: Denmark |
| Country name: | local long form: Kongeriget Danmark |
| Country name: | local short form: Danmark |
| Country name: | etymology: the name derives from the words "Dane(s)" and "mark"; the latter referring to a march (borderland) or forest |
| Government type: | parliamentary constitutional monarchy |
| Capital: | name: Copenhagen |
| Capital: | geographic coordinates: 55 40 N, 12 35 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: applies to continental Denmark only, not to its North Atlantic components |
| Administrative divisions: | metropolitan Denmark - 5 regions (regioner, singular - region); Hovedstaden (Capital), Midtjylland (Central Jutland), Nordjylland (North Jutland), Sjaelland (Zealand), Syddanmark (Southern Denmark) |
| Administrative divisions: | note: an extensive local government reform merged 271 municipalities into 98 and 13 counties into five regions, effective 1 January 2007 |
| Independence: | ca. 965 (unified and Christianized under HARALD I Gormson); 5 June 1849 (became a parliamentary constitutional monarchy) |
| National holiday: | Constitution Day, 5 June (1849); note - closest equivalent to a national holiday |
| Constitution: | history: several previous; latest adopted 5 June 1953 (2016) |
| Constitution: | amendments: proposed by the Folketing with consent of the government; passage requires approval by the next Folketing following a general election, approval by simple majority vote of at least 40% of voters in a referendum, and assent by the chief of state; changed several times, last in 2009 (Danish Act of Succession) (2016) |
| Legal system: | civil law; judicial review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Denmark |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court (consists of the court president and 18 judges) |
