| Government | Guinea |
| --- | --- |
| Country name: | conventional long form: Republic of Guinea |
| Country name: | conventional short form: Guinea |
| Country name: | local long form: Republique de Guinee |
| Country name: | local short form: Guinee |
| Country name: | former: French Guinea |
| Government type: | republic |
| Capital: | Conakry |
| Administrative divisions: | 33 prefectures and 1 special zone (zone special)*; Beyla, Boffa, Boke, Conakry*, Coyah, Dabola, Dalaba, Dinguiraye, Dubreka, Faranah, Forecariah, Fria, Gaoual, Gueckedou, Kankan, Kerouane, Kindia, Kissidougou, Koubia, Koundara, Kouroussa, Labe, Lelouma, Lola, Macenta, Mali, Mamou, Mandiana, Nzerekore, Pita, Siguiri, Telimele, Tougue, Yomou |
| Independence: | 2 October 1958 (from France) |
| National holiday: | Independence Day, 2 October (1958) |
| Constitution: | 23 December 1990 (Loi Fundamentale) |
| Legal system: | based on French civil law system, customary law, and decree; legal codes currently being revised; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Lansana CONTE (head of military government since 5 April 1984, elected president 19 December 1993) |
| Executive branch: | head of government: Prime Minister Cellou Dalein DIALLO (since 4 December 2004) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; candidate must receive a majority of the votes cast to be elected president; election last held 21 December 2003 (next to be held December 2008); the prime minister is appointed by the president |
| Executive branch: | election results: Lansana CONTE reelected president; percent of vote - Lansana CONTE (PUP) 95.3%, Mamadou Boye BARRY (UPR) 4.6% |
| Legislative branch: | unicameral People's National Assembly or Assemblee Nationale Populaire (114 seats; members are elected by direct, popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 30 June 2002 (next to be held NA 2007) |
| Legislative branch: | election results: percent of vote by party - PUP 61.6%, UPR 26.6%, other 11.8%; seats by party - PUP 85, UPR 20, other 9 |
| Judicial branch: | Court of Appeal or Cour d'Appel |
| Political parties and leaders: | Democratic Party of Guinea-African Democratic Rally or PDG-RDA [El Hadj Ismael Mohamed Gassim GUSHEIN]; National Union for Progress or UPN [Mamadou Bhoye BARRY]; Party for Unity and Progress or PUP [Lansana CONTE] - the governing party; People's Party of Guinea or PPG [Pascal TOLNO]; Rally for the Guinean People or RPG [Alpha CONDE]; Union of Democratic Forces of Guinea or UFDG [Mamadou BA]; Union of Republican Forces or UFR [Sidya TOURE]; Union for Progress and Renewal or UPR [Siradiou DIALLO]; Union for Progress of Guinea or UPG [Jean-Marie DORE, secretary-general] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, AU, ECOWAS, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, MINURSO, NAM, OIC, ONUB, OPCW, UN, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Rafiou Alpha Oumar BARRY |
| Diplomatic representation in the US: | chancery: 2112 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-4300 |
| Diplomatic representation in the US: | FAX: [1] (202) 478-3010 |
| Diplomatic representation from the US: | chief of mission: Ambassador Jackson MCDONALD |
| Diplomatic representation from the US: | embassy: Rue Ka 038, Conakry |
| Diplomatic representation from the US: | mailing address: B. P. 603, Conakry |
| Diplomatic representation from the US: | telephone: [224] 41 15 20, 41 15 21, 41 15 23 |
| Diplomatic representation from the US: | FAX: [224] 41 15 22 |
| Flag description: | three equal vertical bands of red (hoist side), yellow, and green; uses the popular pan-African colors of Ethiopia |
