| Government | Guinea |
| --- | --- |
| Country name: | conventional long form: Republic of Guinea |
| Country name: | conventional short form: Guinea |
| Country name: | local long form: Republique de Guinee |
| Country name: | local short form: Guinee |
| Country name: | former: French Guinea |
| Country name: | etymology: the country is named after the Guinea region of West Africa that lies along the Gulf of Guinea and stretches north to the Sahel |
| Government type: | presidential republic |
| Capital: | name: Conakry |
| Capital: | geographic coordinates: 9 30 N, 13 42 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: according to tradition, the name derives from the fusion of the name "Cona," a Baga wine and cheese producer who lived on Tombo Island (the original site of the present-day capital), and the word "nakiri," which in Susu means "the other bank" or "the other side"; supposedly, Baga's palm grove produced the best wine on the island and people traveling to sample his vintage, would say: "I am going to Cona, on the other bank (Cona-nakiri)," which over time became Conakry |
| Administrative divisions: | 7 regions administrative and 1 gouvenorat*; Boke, Conakry*, Faranah, Kankan, Kindia, Labe, Mamou, N'Zerekore |
| Independence: | 2 October 1958 (from France) |
| National holiday: | Independence Day, 2 October (1958) |
| Constitution: | history: previous 1958, 1990; latest promulgated 19 April 2010, approved 7 May 2010; note - in late December 2019, President CONDE announced a new draft constitution |
| Constitution: | amendments: proposed by the National Assembly or by the president of the republic; consideration of proposals requires approval by simple majority vote by the Assembly; passage requires approval in referendum; the president can opt to submit amendments directly to the Assembly, in which case approval requires at least two-thirds majority vote; amended 2020 |
| Legal system: | civil law system based on the French model |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Guinea |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: na |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Alpha CONDE (since 21 December 2010) |
| Executive branch: | head of government: Prime Minister Ibrahima FOFANA (since 22 May 2018) |
| Executive branch: | cabinet: Â Council of Ministers appointed by the president |
