| Government | Guinea |
| --- | --- |
| Country name: | conventional long form: Republic of Guinea |
| Country name: | conventional short form: Guinea |
| Country name: | local long form: Republique de Guinee |
| Country name: | local short form: Guinee |
| Country name: | former: French Guinea |
| Government type: | republic |
| Capital: | name: Conakry |
| Capital: | geographic coordinates: 9 30 N, 13 42 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 33 prefectures and 1 special zone (zone special)*; Beyla, Boffa, Boke, Conakry*, Coyah, Dabola, Dalaba, Dinguiraye, Dubreka, Faranah, Forecariah, Fria, Gaoual, Gueckedou, Kankan, Kerouane, Kindia, Kissidougou, Koubia, Koundara, Kouroussa, Labe, Lelouma, Lola, Macenta, Mali, Mamou, Mandiana, Nzerekore, Pita, Siguiri, Telimele, Tougue, Yomou |
| Independence: | 2 October 1958 (from France) |
| National holiday: | Independence Day, 2 October (1958) |
| Constitution: | 7 May 2010 (Loi Fundamentale) |
| Legal system: | civil law system based on the French model |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Alpha CONDE (since 21 December 2010) |
| Executive branch: | head of government: Prime Minister Mohamed Said FOFANA (since 24 December 2010) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); candidate must receive a majority of the votes cast to be elected president; election last held on 27 June 2010 with a runoff election held on 7 November 2010 |
| Executive branch: | election results: Alpha CONDE elected president in a runoff election; percent of vote Alpha CONDE 52.5%, Cellou Dalein DIALLO 47.5% |
| Legislative branch: | the legislature was dissolved by junta leader Moussa Dadis CAMARA in December 2008 and in February 2010, the Transition Government appointed a 155 member National Transition Council (CNT) that has since acted in the legislature's place |
| Legislative branch: | elections: last held on 30 June 2002 (next election scheduled for 12 May 2013) |
| Judicial branch: | Constitutional Court; Court of First Instance or Tribunal de Premiere Instance; Court of Appeal or Cour d'Appel; Supreme Court or Cour Supreme |
| Political parties and leaders: | National Party for Hope and Development or PEDN [Lansana KOUYATE]; Rally for the Guinean People or RPG [Alpha CONDE]; Union for the Progress of Guinea or UPG [Jean Marie DORE]; Union of Democratic Forces of Guinea or UFDG [Cellou Dalein DIALLO]; Union of Republican Forces or UFR [Sidya TOURE] |
| Political parties and leaders: | note: listed are the five most popular parties as of December 2012; overall, there are more than 130 registered parties |
| Political pressure groups and leaders: | National Confederation of Guinean Workers-Labor Union of Guinean Workers or CNTG-USTG Alliance (includes National Confederation of Guinean Workers or CNTG and Labor Union of Guinean Workers or USTG); Syndicate of Guinean Teachers and Researchers or SLECG |
| International organization participation: | ACP, AfDB, AU, ECOWAS, EITI (candidate country), FAO, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Blaise CHERIF |
| Diplomatic representation in the US: | chancery: 2112 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-4300 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-8688 |
| Diplomatic representation from the US: | chief of mission: Ambassador Patricia Newton MOLLER |
| Diplomatic representation from the US: | embassy: Koloma, Conakry, east of Hamdallaye Circle |
| Diplomatic representation from the US: | mailing address: B. P. 603, Transversale No. 2, Centre Administratif de Koloma, Commune de Ratoma, Conakry |
| Diplomatic representation from the US: | telephone: [224] 65-10-40-00 |
| Diplomatic representation from the US: | FAX: [224] 65-10-42-97 |
| Flag description: | three equal vertical bands of red (hoist side), yellow, and green; red represents the people's sacrifice for liberation and work; yellow stands for the sun, for the riches of the earth, and for justice; green symbolizes the country's vegetation and unity |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the colors from left to right are the reverse of those on the flags of neighboring Mali and Senegal |
| National anthem: | name: "Liberte" (Liberty) |
| National anthem: | lyrics/music: unknown/Fodeba KEITA |
| National anthem: | note: adopted 1958 |
