| Government |
| --- | --- |
| Country name: | conventional long form: Kingdom of Tonga |
| Country name: | conventional short form: Tonga |
| Country name: | former: Friendly Islands |
| Government type: | hereditary constitutional monarchy |
| Capital: | Nuku'alofa |
| Administrative divisions: | 3 island groups; Ha'apai, Tongatapu, Vava'u |
| Independence: | 4 June 1970 (from UK protectorate) |
| National holiday: | Independence Day, 4 June (1970) |
| Constitution: | 4 November 1875, revised 1 January 1967 |
| Legal system: | based on English law |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: King Taufa'ahau TUPOU IV (since 16 December 1965) |
| Executive branch: | head of government: Prime Minister Prince Lavaka ata ULUKALALA (since NA February 2000) and Deputy Prime Minister Tevita TOPOU (since NA January 2001) |
| Executive branch: | cabinet: Cabinet appointed by the monarch |
| Executive branch: | note: there is also a Privy Council that consists of the monarch and the Cabinet |
| Executive branch: | elections: none; the monarch is hereditary; prime minister and deputy prime minister appointed for life by the monarch |
| Legislative branch: | unicameral Legislative Assembly or Fale Alea (30 seats - 12 reserved for cabinet ministers sitting ex officio, nine for nobles selected by the country's 33 nobles, and nine elected by popular vote; members serve three-year terms) |
| Legislative branch: | elections: last held NA March 1999 (next to be held NA 2002) |
| Legislative branch: | election results: percent of vote - pro-democratic 40%; seats - pro-democratic 5, traditionalist 4 |
| Judicial branch: | Supreme Court (judges are appointed by the monarch); Court of Appeal (consists of the Privy Council with the addition of the chief justice of the Supreme Court) |
| Political parties and leaders: | Human Rights and Democracy Movement [Huliki WATAB, chairman, Viliami FUKOFUKA, president, 'Akilisi POHIVA, vice president] |
| Political pressure groups and leaders: | Pro-Democracy and Human Rights Movement [leader NA] |
| International organization participation: | ACP, AsDB, C, ESCAP, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, ITU, Sparteca, SPC, SPF, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WTrO (observer) |
| Diplomatic representation in the US: Tonga does not have an embassy in the US; Ambassador Fetu'utolo TUPOU, resides in London; address: | Embassy of the Kingdom of Tonga, c/o Tonga High Commission, 36 Molyneux Street, London W1H 6AB, telephone [44] (171) 724-5828, FAX [44] (171) 723-9074 |
| Diplomatic representation in the US: Tonga does not have an embassy in the US; Ambassador Fetu'utolo TUPOU, resides in London; address: | consulate(s) general: San Francisco |
| Diplomatic representation from the US: | the US does not have an embassy in Tonga; the ambassador to Fiji is accredited to Tonga |
| Flag description: | red with a bold red cross on a white rectangle in the upper hoist-side corner |
