| Government | Tonga |
| --- | --- |
| Country name: | conventional long form: Kingdom of Tonga |
| Country name: | conventional short form: Tonga |
| Country name: | local long form: Pule'anga Tonga |
| Country name: | local short form: Tonga |
| Country name: | former: Friendly Islands |
| Government type: | constitutional monarchy |
| Capital: | name: Nuku'alofa |
| Capital: | geographic coordinates: 21 08 S, 175 12 W |
| Capital: | time difference: UTC+13 (18 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 5 island divisions; 'Eua, Ha'apai, Ongo Niua, Tongatapu, Vava'u |
| Independence: | 4 June 1970 (from UK protectorate) |
| National holiday: | National Day, 4 November (1875) |
| Constitution: | adopted 4 November 1875; amended many times, last in 2013 (2013) |
| Legal system: | English common law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: King TUPOU VI (since 18 March 2012); note - King George TUPOU V died on 18 March 2012 in Hong Kong; he was succeeded by his brother Crown Prince TUPOUTO'A Lavaka, who took the throne name TUPOU VI |
| Executive branch: | head of government: Prime Minister Lord Siale'ataonga TU'IVAKANO (since 22 December 2010) |
| Executive branch: | cabinet: Cabinet is nominated by the prime minister and appointed by the monarch |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | note: there is also a Privy Council that advises the monarch |
| Executive branch: | elections: the monarchy is hereditary; prime minister and deputy prime minister elected by and from the members of parliament and appointed by the monarch |
| Executive branch: | election results: Lord Siale'ataonga TU'IVAKANO elected by parliament on 21 December 2010 with 14 of 26 votes |
| Legislative branch: | unicameral Legislative Assembly or Fale Alea (26 seats - 9 for nobles elected from among the country's 29 nobles, 17 members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 25 November 2010 (next to be held in 2014) |
| Legislative branch: | election results: Peoples Representatives: percent of vote - independents 67.3%, Democratic Party 28.5%, other 4.2%; seats - Democratic Party 12, independents 5 |
| Judicial branch: | highest court(s): Court of Appeal (consists of the court president and a number of judges determined by the monarch); note - appeals beyond the Court of Appeal are brought before the King in Privy Council, the monarch's advisory organ that has both judicial and legislative powers |
| Judicial branch: | judge selection and term of office: judge appointments and tenures made by the King in Privy Council,  judge appointments subject to consent of the Legislative Assembly |
| Judicial branch: | subordinate courts: Supreme Court; Magistrate's Courts; Land Courts |
| Political parties and leaders: | Democratic Party of the Friendly Islands [Samuela 'Akilisi POHIVA] |
| Political parties and leaders: | People's Democratic Party or PDP [Tesina FUKO] |
| Political parties and leaders: | Sustainable Nation-Building Party [Sione FONUA] |
| Political parties and leaders: | Tonga Democratic Labor Party [NA] |
| Political parties and leaders: | Tonga Human Rights and Democracy Movement or THRDM [NA] |
| Political pressure groups and leaders: | Human Rights and Democracy Movement Tonga or HRDMT [Rev. Simote VEA, chairman] |
| Political pressure groups and leaders: | Public Servant's Association [Finau TUTONE] |
| International organization participation: | ACP, ADB, AOSIS, C, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IHO, IMF, IMO, IMSO, Interpol, IOC, ITU, ITUC (NGOs), OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mahe'uli'uli Sandhurst TUPOUNIUA (since 10 September 2013) |
| Diplomatic representation in the US: | chancery: 800 Second Avenue, Suite 400B, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (800) 345-6541 |
| Diplomatic representation in the US: | consulate(s) general: San Francisco |
| Diplomatic representation from the US: | the US does not have an embassy in Tonga; the US ambassador to Fiji, currently Ambassador Frankie A. REED, is accredited to Tonga |
| Flag description: | red with a bold red cross on a white rectangle in the upper hoist-side corner; the cross reflects the deep-rooted Christianity in Tonga; red represents the blood of Christ and his sacrifice; white signifies purity |
| National symbol(s): | red cross on white field; arms equal length |
| National anthem: | name: "Ko e fasi `o e tu"i `o e `Otu Tonga" (Song of the King of the Tonga Islands) |
| National anthem: | lyrics/music: Uelingatoni Ngu TUPOUMALOHI/Karl Gustavus SCHMITT |
| National anthem: | note: in use since 1875; the anthem is more commonly known as "Fasi Fakafonua" (National Song) |
