| Government | Philippines |
| --- | --- |
| Country name: | conventional long form: Republic of the Philippines |
| Country name: | conventional short form: Philippines |
| Country name: | local long form: Republika ng Pilipinas |
| Country name: | local short form: Pilipinas |
| Government type: | republic |
| Capital: | name: Manila |
| Capital: | geographic coordinates: 14 35 N, 121 00 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 81 provinces and 136 chartered cities |
| Administrative divisions: | provinces: Abra, Agusan del Norte, Agusan del Sur, Aklan, Albay, Antique, Apayao, Aurora, Basilan, Bataan, Batanes, Batangas, Biliran, Benguet, Bohol, Bukidnon, Bulacan, Cagayan, Camarines Norte, Camarines Sur, Camiguin, Capiz, Catanduanes, Cavite, Cebu, Compostela, Davao del Norte, Davao del Sur, Davao Oriental, Dinagat Islands, Eastern Samar, Guimaras, Ifugao, Ilocos Norte, Ilocos Sur, Iloilo, Isabela, Kalinga, Laguna, Lanao del Norte, Lanao del Sur, La Union, Leyte, Maguindanao, Marinduque, Masbate, Mindoro Occidental, Mindoro Oriental, Misamis Occidental, Misamis Oriental, Mountain Province, Negros Occidental, Negros Oriental, North Cotabato, Northern Samar, Nueva Ecija, Nueva Vizcaya, Palawan, Pampanga, Pangasinan, Quezon, Quirino, Rizal, Romblon, Samar, Sarangani, Shariff Kabunsuan, Siquijor, Sorsogon, South Cotabato, Southern Leyte, Sultan Kudarat, Sulu, Surigao del Norte, Surigao del Sur, Tarlac, Tawi-Tawi, Zambales, Zamboanga del Norte, Zamboanga del Sur, Zamboanga Sibugay |
| Administrative divisions: | chartered cities: Alaminos, Angeles, Antipolo, Bacolod, Bago, Baguio, Bais, Balanga, Batac, Batangas, Bayawan, Baybay, Bayugan, Bislig, Bogo, Borongan, Butuan, Cabadbaran, Cabanatuan, Cadiz, Cagayan de Oro, Calamba, Calapan, Calbayog, Candon, Canlaon, Carcar, Catbalogan, Cauayan, Cavite, Cebu, Cotabato, Dagupan, Danao, Dapitan, Davao, Digos, Dipolog, Dumaguete, Escalante, El Salvador, Gapan, General Santos, Gingoog, Guihulngan, Himamaylan, Iligan, Iloilo, Isabela, Iriga, Kabankalan, Kalookan, Kidapawan, Koronadal, La Carlota, Lamitan, Laoag, Lapu-Lapu, Las Pinas, Legazpi, Ligao, Lipa, Lucena, Maasin, Makati, Malabon, Malaybalay, Malolos, Mandaluyong, Mandaue, Manila, Marawi, Marikina, Masbate, Mati, Meycauayan, Muntinlupa, Munoz, Naga (Camarines Sur), Naga (Cebu), Navotas, Olongapo, Ormoc, Oroquieta, Ozamis, Pagadian, Palayan, Panabo, Paranaque, Pasay, Pasig, Passi, Puerto Princesa, Quezon, Roxas, Sagay, Samal, San Carlos (in Negros Occidental), San Carlos (in Pangasinan), San Fernando (in La Union), San Fernando (in Pampanga), San Jose, San Jose del Monte, San Juan, San Pablo, Santa Rosa, Santiago, Silay, Sipalay, Sorsogon, Surigao, Tabaco, Tabuk, Tacloban, Tacurong, Tagaytay, Tagbilaran, Taguig, Tagum, Talisay (in Cebu), Talisay (in Negros Occidental), Tanauan, Tandag, Tangub, Tanjay, Tarlac, Tayabas, Toledo, Tuguegarao, Trece Martires, Urdaneta, Valencia, Valenzuela, Victorias, Vigan, Zamboanga (2007) |
| Independence: | 12 June 1898 (independence proclaimed from Spain); 4 July 1946 (from the US) |
| National holiday: | Independence Day, 12 June (1898); note - 12 June 1898 was date of declaration of independence from Spain; 4 July 1946 was date of independence from US |
| Constitution: | 2 February 1987, effective 11 February 1987 |
| Legal system: | based on Spanish and Anglo-American law; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Gloria MACAPAGAL-ARROYO (since 20 January 2001); note - president is both chief of state and head of government |
| Executive branch: | head of government: President Gloria MACAPAGAL-ARROYO (since 20 January 2001) |
| Executive branch: | cabinet: Cabinet appointed by the president with consent of Commission of Appointments |
| Executive branch: | elections: president and vice president (Manuel "Noli" DE CASTRO) elected on separate tickets by popular vote for a single six-year term; election last held on 10 May 2004 (next to be held in May 2010) |
| Executive branch: | election results: Gloria MACAPAGAL-ARROYO elected president; percent of vote - Gloria MACAPAGAL-ARROYO 40%, Fernando POE 37%, three others 23% |
| Legislative branch: | bicameral Congress or Kongreso consists of the Senate or Senado (24 seats - one-half elected every three years; members elected at large by popular vote to serve six-year terms) and the House of Representatives or Kapulungan Ng Mga Kinatawan (as a result of May 2007 election it has 237 seats including 218 members representing districts and 19 sectoral party-list members representing special minorities elected on the basis of 1 seat for every 2% of the total vote but limited to 3 seats; members elected by popular vote to serve three-year terms; note - the Constitution prohibits the House of Representatives from having more than 250 members) |
| Legislative branch: | elections: Senate - last held on 14 May 2007 (next to be held in May 2010); House of Representatives - elections last held on 14 May 2007 (next to be held in May 2010) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - Nacionalista 4, LP 4, Lakas 3, GO 3, independent 1, others 8; note - there are 23 rather than 24 sitting senators because one senator was elected mayor of Manila; House of Representatives - percent of vote by party - NA; seats by party - Lakas 86, Kampi 41, NPC 27, LP 21, others 62 |
| Judicial branch: | Supreme Court (15 justices are appointed by the president on the recommendation of the Judicial and Bar Council and serve until 70 years of age); Court of Appeals; Sandigan-bayan (special court for hearing corruption cases of government officials) |
| Political parties and leaders: | Genuine Opposition or GO (coalition of oppositon parties formed to contest the 2007 elections); Kabalikat Ng Malayang Pilipino or Kampi [Ronaldo PUNO]; Laban Ng Demokratikong Pilipino (Struggle of Filipino Democrats) or LDP [Edgardo ANGARA]; Lakas Ng Edsa (National Union of Christian Democrats) or Lakas [Jose DE VENECIA]; Liberal Party or LP [Manuel ROXAS/Eli QUINTO]; Nacionalista [Manuel VILLAR]; National People's Coalition or NPC [Frisco SAN JUAN]; PDP-Laban [Aquilino PIMENTEL]; People's Reform Party [Miriam Defensor SANTIAGO]; PROMDI [Emilio OSMENA]; Pwersa Ng Masang Pilipino (Party of the Philippine Masses) or PMP [Joseph ESTRADA]; Reporma [Renato DE VILLA] |
| Political pressure groups and leaders: | AKBAYAN [Etta ROSALES, Mario AGUJA, and Risa HONTIVEROS-BARAQUIEL]; ALAGAD [Rodante MARROLITA]; ALIF [Acmad TOMAWIS]; An Waray [Horencio NOEL]; Anak Mindanao [Mujiv HATAMIN]; ANAKPAWIS [Crispin BELTRAN and Rafael MARIANO]; APEC [Ernesto PABLO, Edgar VALDEZ]; Association of Philippine Electric Cooperatives (APEC) [Edgar VALDEZ, Ernesto PABLO, and Sunny Rose MADAMBA]; AVE [Eulogio MAGSAYSAY]; Bayan Muna [Satur OCAMPO, Joel VIRADOR, and Teodoro CASINO, Jr.]; BUHAY [Rene VELARDE and Hans Christian SENERES]; BUTIL [Benjamin CRUZ]; CIBAC [Emmanuel Joel VILLANUEVA]; COOP-NATCO [Guillermo CUA]; GABRIELA [Liza MAZA]; Partido Ng Manggagawa [Renato MAGTUBO]; Veterans Federation of the Philippines [Ernesto GIDAYA] |
| International organization participation: | APEC, APT, ARF, AsDB, ASEAN, BIS, CP, EAS, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINUSTAH, NAM, OAS (observer), ONUB, OPCW, PIF (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Willy C. GAA |
| Diplomatic representation in the US: | chancery: 1600 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 467-9300 |
| Diplomatic representation in the US: | FAX: [1] (202) 467-9417 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Honolulu, Los Angeles, New York, San Francisco, Saipan (Northern Mariana Islands), Tamuning (Guam) |
| Diplomatic representation from the US: | chief of mission: Ambassador Kristie A. KENNEY |
| Diplomatic representation from the US: | embassy: 1201 Roxas Boulevard, Ermita 1000, Manila |
| Diplomatic representation from the US: | mailing address: PSC 500, FPO AP 96515-1000 |
| Diplomatic representation from the US: | telephone: [63] (2) 301-2000 |
| Diplomatic representation from the US: | FAX: [63] (2) 522-4361 |
| Flag description: | two equal horizontal bands of blue (top; representing peace and justice) and red (representing courage); a white equilateral triangle based on the hoist side represents equality; the center of the triangle displays a yellow sun with eight primary rays, each representing one of the first eight provinces that sought independence from Spain; each corner of the triangle contains a small, yellow, five-pointed star representing the three major geographical divisions of the country: Luzon, Visayas, and Mindanao; the design of the flag dates to 1897; in wartime the flag is flown upside down with the red band at the top |
