| Government |
| --- | --- |
| Country name: | conventional long form: Republic of the Philippines |
| Country name: | conventional short form: Philippines |
| Country name: | local long form: Republika ng Pilipinas |
| Country name: | local short form: Pilipinas |
| Government type: | republic |
| Capital: | Manila |
| Administrative divisions: | 73 provinces and 61 chartered cities*; Abra, Agusan del Norte, Agusan del Sur, Aklan, Albay, Angeles*, Antique, Aurora, Bacolod*, Bago*, Baguio*, Bais*, Basilan, Basilan City*, Bataan, Batanes, Batangas, Batangas City*, Benguet, Bohol, Bukidnon, Bulacan, Butuan*, Cabanatuan*, Cadiz*, Cagayan, Cagayan de Oro*, Calbayog*, Caloocan*, Camarines Norte, Camarines Sur, Camiguin, Canlaon*, Capiz, Catanduanes, Cavite, Cavite City*, Cebu, Cebu City*, Cotabato*, Dagupan*, Danao*, Dapitan*, Davao City* Davao, Davao del Sur, Davao Oriental, Dipolog*, Dumaguete*, Eastern Samar, General Santos*, Gingoog*, Ifugao, Iligan*, Ilocos Norte, Ilocos Sur, Iloilo, Iloilo City*, Iriga*, Isabela, Kalinga-Apayao, La Carlota*, Laguna, Lanao del Norte, Lanao del Sur, Laoag*, Lapu-Lapu*, La Union, Legaspi*, Leyte, Lipa*, Lucena*, Maguindanao, Mandaue*, Manila*, Marawi*, Marinduque, Masbate, Mindoro Occidental, Mindoro Oriental, Misamis Occidental, Misamis Oriental, Mountain, Naga*, Negros Occidental, Negros Oriental, North Cotabato, Northern Samar, Nueva Ecija, Nueva Vizcaya, Olongapo*, Ormoc*, Oroquieta*, Ozamis*, Pagadian*, Palawan, Palayan*, Pampanga, Pangasinan, Pasay*, Puerto Princesa*, Quezon, Quezon City*, Quirino, Rizal, Romblon, Roxas*, Samar, San Carlos* (in Negros Occidental), San Carlos* (in Pangasinan), San Jose*, San Pablo*, Silay*, Siquijor, Sorsogon, South Cotabato, Southern Leyte, Sultan Kudarat, Sulu, Surigao*, Surigao del Norte, Surigao del Sur, Tacloban*, Tagaytay*, Tagbilaran*, Tangub*, Tarlac, Tawitawi, Toledo*, Trece Martires*, Zambales, Zamboanga*, Zamboanga del Norte, Zamboanga del Sur |
| Independence: | 4 July 1946 (from US) |
| National holiday: | Independence Day (from Spain), 12 June (1898); note - 12 June 1898 is the date of independence from Spain, 4 July 1946 is the date of independence from the US |
| Constitution: | 2 February 1987, effective 11 February 1987 |
| Legal system: | based on Spanish and Anglo-American law; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Gloria MACAPAGAL-ARROYO (since 20 January 2001); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Gloria MACAPAGAL-ARROYO (since 20 January 2001); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president with the consent of the Commission of Appointments |
| Executive branch: | elections: president and vice president elected on separate tickets by popular vote for six-year terms; election last held 11 May 1998 (next to be held 16 May 2004) |
| Executive branch: | election results: results of the last presidential election - Joseph Ejercito ESTRADA elected president; percent of vote - approximately 40%; Gloria MACAPAGAL-ARROYO elected vice president; percent of vote - NA%; note - on 20 January 2001, Vice President Gloria MACAPAGAL-ARROYO was sworn in as the constitutional successor to President Joseph ESTRADA after the Supreme Court declared that President ESTRADA was unable to rule in view of the mass resignations from his government; according to the Constitution, only in cases of death, permanent disability, removal from office, or resignation of the president, can the vice president serve for the unexpired term |
| Legislative branch: | bicameral Congress or Kongreso consists of the Senate or Senado (24 seats - one-half elected every three years; members elected by popular vote to serve six-year terms) and the House of Representatives or Kapulungan Ng Mga Kinatawan (204 seats; members elected by popular vote to serve three-year terms; note - additional members may be appointed by the president but the Constitution prohibits the House of Representatives from having more than 250 members) |
| Legislative branch: | elections: Senate - last held 11 May 1998 (next to be held 14 May 2001); House of Representatives - elections last held 11 May 1998 (next to be held 14 May 2001) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - LAMP 12, Lakas 5, PRP 2, LP 1, other 3; note - the Senate now has only 22 members with one seat vacated when Gloria MACAPAGAL-ARROYO became vice president and another seat vacated upon a senator's death; the two seats can only be filled by election and will remain open until the next regular election in May 2001; House of Representatives - percent of vote by party - NA%; seats by party - LAMP 135, Lakas 37, LP 13, Aksyon Demokratiko 1, other 35 |
| Judicial branch: | Supreme Court (justices are appointed for four-year terms by the president on the recommendation of the Judicial and Bar Council) |
| Political parties and leaders: People Power Coalition or PPC includes: Aksyon Demokratiko or Democratic Action [Raul ROCO], Lakas-NUCD [Gloria MACAPAGAL-ARROYO, titular head, Teofisto GUINGONA, party president], Liberal Party or LP [Florencio ABAD], Probinsiya Muna Development Initiative or Promdi [Lito OSMENA], and Reporma Party [Renato DE VILLA]; Puwersa ng Masa (Force of the Masses) includes: | Laban Ng Demokratikong Pilipino (Struggle of Filipino Democrats) or LDP [Eduardo ANGARA], Laban Ng Masang Pilipino or LAMP (Struggle of the Filipino Masses) [Joseph ESTRADA], and People's Reform Party or PRP [Miriam DEFENSOR-SANTIAGO]; Kilusang Bagong Lipunan (New Society Movement) [Imelda MARCOS]; Nacionalista Party [Jose OLIVEROS]; National People's Coalition or NPC [Eduardo COJUANGCO] |
| Political pressure groups and leaders: | NA |
| International organization participation: | APEC, ARF, AsDB, ASEAN, CCC, CP, ESCAP, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, NAM, OAS (observer), OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIK, UNTAET, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Acting Ambassador Ariel ABADILLA |
| Diplomatic representation in the US: | chancery: 1600 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 467-9300 |
| Diplomatic representation in the US: | FAX: [1] (202) 467-9317 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Honolulu, Los Angeles, New York, San Francisco |
| Diplomatic representation in the US: | consulate(s): San Diego |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affairs Michael E. MALINOWSKI |
| Diplomatic representation from the US: | embassy: 1201 Roxas Boulevard, Ermita 1000 Manila |
| Diplomatic representation from the US: | mailing address: FPO 96515 |
| Diplomatic representation from the US: | telephone: [63] (2) 523-1001 |
| Diplomatic representation from the US: | FAX: [63] (2) 522-4361 |
| Flag description: | two equal horizontal bands of blue (top) and red with a white equilateral triangle based on the hoist side; in the center of the triangle is a yellow sun with eight primary rays (each containing three individual rays) and in each corner of the triangle is a small yellow five-pointed star |
