| Government | Reunion |
| --- | --- |
| Country name: | conventional long form: Department of Reunion |
| Country name: | conventional short form: Reunion |
| Country name: | local long form: none |
| Country name: | local short form: Ile de la Reunion |
| Country name: | former: Bourbon Island |
| Dependency status: | overseas department of France |
| Government type: | NA |
| Capital: | name: Saint-Denis |
| Capital: | geographic coordinates: 20 52 S, 55 28 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none (overseas department of France); there are no first-order administrative divisions as defined by the US Government, but there are 4 arrondissements, 24 communes, and 47 cantons |
| Independence: | none (overseas department of France) |
| National holiday: | Bastille Day, 14 July (1789) |
| Constitution: | 4 October 1958 (French Constitution) |
| Legal system: | French law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jacques CHIRAC of France (since 17 May 1995), represented by Prefect Pierre-Henry MACCIONI (since 28 August 2006) |
| Executive branch: | head of government: President of the General Council Nassimah DINDAR (since NA March 2004) and President of the Regional Council Paul VERGES (since NA March 1993) |
| Executive branch: | cabinet: NA |
| Executive branch: | elections: French president elected by popular vote for a five-year term; prefect appointed by the French president on the advice of the French Ministry of the Interior; the presidents of the General and Regional Councils are elected by the members of those councils |
| Legislative branch: | unicameral General Council (49 seats; members are elected by direct, popular vote to serve six-year terms) and a unicameral Regional Council (45 seats; members are elected by direct, popular vote to serve six-year terms) |
| Legislative branch: | elections: General Council - last held 15 and 22 March 1998 (next to be held NA); Regional Council - last held 28 March 2004 (next to be held in 2010) |
| Legislative branch: | election results: General Council - percent of vote by party - NA; seats by party - various right-wing candidates 13, PCR 10, PS 10, UDF 8, RPR 6, other left-wing candidates 2; Regional Council (second round) - percent of vote by party - PCR 44.9%, UMP 32.8%, PS-Greens 22.3%; seats by party - PCR 27, UMP 11, PS-Greens 7 |
| Legislative branch: | note: Reunion elects three representatives to the French Senate; elections last held in 2001 (next to be held in 2006); results - percent of vote by party - NA; seats by party - PRC 1, UDF 1, UMP 1; Reunion also elects five deputies to the French National Assembly; elections last held 9 June-16 June 2002 (next to be held in 2007); results - percent of vote by party - NA; seats by party - UMP 3, PS 1, independent 1 |
| Judicial branch: | Court of Appeals or Cour d'Appel |
| Political parties and leaders: | Communist Party of Reunion or PCR [Elie HOARAU]; Rally for the Republic or RPR [Andre Maurice PIHOUEE]; Socialist Party or PS [Michel VERGOZ]; Union for French Democracy or UDF [Gilbert GERARD]; Union for a Popular Movement or UMP |
| Political pressure groups and leaders: | NA |
| International organization participation: | InOC, UPU, WFTU |
| Diplomatic representation in the US: | none (overseas department of France) |
| Diplomatic representation from the US: | none (overseas department of France) |
| Flag description: | unofficial, local flag designed to emphasize solidarity among the people of Reunion; the field is divided vertically with three narrow stripes of blue, white, and red along the hoist edge representing the French national flag; the remainder of the field is divided diagonally into four triangles colored (clockwise from the hoist side) blue, golden yellow, red, and green; in the center, the apexes of the triangles are surmounted by a white disk; the only official flag is the national flag of France |
