| Government | SLOVAKIA |
| --- | --- |
| Country name: | conventional long form: Slovak Republic |
| Country name: | conventional short form: Slovakia |
| Country name: | local long form: Slovenska republika |
| Country name: | local short form: Slovensko |
| Country name: | etymology: related to the Slavic autonym (self-designation) "Slovenin," a derivation from "slovo" (word), denoting "people who speak (the same language)" (i.e., people who understand each other) |
| Government type: | parliamentary republic |
| Capital: | name: Bratislava |
| Capital: | geographic coordinates: 48 09 N, 17 07 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 8 regions (kraje, singular - kraj); Banskobystricky, Bratislavsky, Kosicky, Nitriansky, Presovsky, Trenciansky, Trnavsky, Zilinsky |
| Independence: | 1 January 1993 (Czechoslovakia split into the Czech Republic and Slovakia) |
| National holiday: | Constitution Day, 1 September (1992) |
| Constitution: | history: several previous (preindependence); latest passed by the National Council 1 September 1992, signed 3 September 1992, effective 1 October 1992 |
| Constitution: | amendments: proposed by the National Council; passage requires at least three-fifths majority vote of Council members; amended many times, last in 2017 (2017) |
| Legal system: | civil law system based on Austro-Hungarian codes; note - legal code modified to comply with the obligations of Organization on Security and Cooperation in Europe |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Slovakia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Andrej KISKA (since 15 June 2014) |
| Executive branch: | head of government: Prime Minister Robert FICO (since 4 April 2012); Deputy Prime Ministers Robert KALINAK (since 4 April 2012), Lucia ZITNANSKA and Peter PELLEGRINI (since 23 March 2016) |
| Executive branch: | cabinet: Cabinet appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 15 and 29 March 2014 (next to be held in March 2019); following National Council elections, the leader of the majority party or majority coalition usually appointed prime minister by the president |
| Executive branch: | election results: Andrej KISKA elected president; percent of vote in second round - Andrej KISKA (independent) 59.4%, Robert FICO (Smer-SD) 40.6% |
| Legislative branch: | description: unicameral National Council or Narodna Rada (150 seats; members directly elected in a single national constituency by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 5 March 2016 (next to be held in March 2020) |
| Legislative branch: | election results: percent of vote by party - Smer-SD 28.3%, SaS 12.1%, OLaNO-NOVA 11%, SNS 8.6%, LSNS 8%, Sme-Rodina 6.6%, Most-Hid 6.5%, Siet 5.6%, other 13.3%; seats by party - Smer-SD 49, SaS 21, OLaNO-NOVA 19, SNS 15, LSNS 14, Sme-Rodina 11, Most-Hid 11, Siet 10 |
| Judicial branch: | highest court(s): Supreme Court of the Slovak Republic (consists of the court president, vice president, and 79 judges organized into criminal, civil, commercial, and administrative divisions with 3- and 5-judge panels); Constitutional Court (consists of 13 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judge candidates proposed by the Judicial Council of the Slovak Republic, an 18-member independent body to include the Supreme Court chief justice and presidential, governmental, parliamentary, and judiciary appointees; judges appointed by the president for life with mandatory retirement at age 65; Constitutional Court judges nominated by the National Council of the Republic and appointed by the president; judges appointed for 12-year terms |
| Judicial branch: | subordinate courts: regional and district civil courts; Higher Military Court; military district courts; Court of Audit |
| Political parties and leaders: | Christian Democratic Movement or KDH [Alojz HLINA] |
| Political parties and leaders: | Bridge or Most-Hid [Bela BUGAR] |
| Political parties and leaders: | Direction-Social Democracy or Smer-SD [Robert FICO] |
| Political parties and leaders: | Freedom and Solidarity or SaS [Richard SULIK] |
| Political parties and leaders: | Kotleba-People's Party Our Slovakia or LSNS [Marian KOTLEBA] |
| Political parties and leaders: | Network or Siet [Marek CEPKO, acting] |
| Political parties and leaders: | Ordinary People and Independent Personalities - New Majority or OLaNO-NOVA [Igor MATOVIC] |
| Political parties and leaders: | Party of the Hungarian Coalition or SMK [Jozsef MENYHART] |
| Political parties and leaders: | Slovak National Party or SNS [Andrej DANKO] |
| Political parties and leaders: | We Are Family or Sme-Rodina [Boris KOLLAR] |
| Political pressure groups and leaders: | Alliance of Companies Employing 500 or More Employees or Klub500 |
| Political pressure groups and leaders: | Association of Towns and Villages or ZMOS |
| Political pressure groups and leaders: | Confederation of Trade Unions or KOZ |
| Political pressure groups and leaders: | Entrepreneurs Association of Slovakia or ZPS |
| Political pressure groups and leaders: | Federation of Employers' Associations of the Slovak Republic or AZZZ |
| Political pressure groups and leaders: | Medical Trade Association or LOZ |
| Political pressure groups and leaders: | National Union of Employers or RUZ |
| Political pressure groups and leaders: | Slovak Chamber of Commerce and Industry or SOPK |
| Political pressure groups and leaders: | The Business Alliance of Slovakia or PAS |
| International organization participation: | Australia Group, BIS, BSEC (observer), CBSS (observer), CD, CE, CEI, CERN, EAPC, EBRD, ECB, EIB, EMU, EU, FAO, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), MIGA, NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SELEC (observer), UN, UNCTAD, UNESCO, UNFICYP, UNIDO, UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Peter KMEC (since 19 September 2012) |
| Diplomatic representation in the US: | chancery: 3523 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 237-1054 |
| Diplomatic representation in the US: | FAX: [1] (202) 237-6438 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Adam H. Sterling (since August 2016) |
| Diplomatic representation from the US: | embassy: Hviezdoslavovo Namestie 4, 81102 Bratislava |
| Diplomatic representation from the US: | mailing address: P.O. Box 309, 814 99 Bratislava |
| Diplomatic representation from the US: | telephone: [421] (2) 5443-3338 |
| Diplomatic representation from the US: | FAX: [421] (2) 5441-8861 |
| Flag description: | three equal horizontal bands of white (top), blue, and red derive from the Pan-Slav colors; the Slovakian coat of arms (consisting of a red shield bordered in white and bearing a white double-barred cross of St. Cyril and St. Methodius surmounting three blue hills) is centered over the bands but offset slightly to the hoist side |
| Flag description: | note: the Pan-Slav colors were inspired by the 19th-century flag of Russia |
| National symbol(s): | double-barred cross (Cross of St. Cyril and St. Methodius) surmounting three peaks; national colors: white, blue, red |
| National anthem: | name: "Nad Tatrou sa blyska" (Lightning Over the Tatras) |
| National anthem: | lyrics/music: Janko MATUSKA/traditional |
| National anthem: | note: adopted 1993, in use since 1844; music based on the Slovak folk song "Kopala studienku" |
