| Government | Thailand |
| --- | --- |
| Country name: | conventional long form: Kingdom of Thailand |
| Country name: | conventional short form: Thailand |
| Country name: | local long form: Ratcha Anachak Thai |
| Country name: | local short form: Prathet Thai |
| Country name: | former: Siam |
| Country name: | etymology: Land of the Tai [People]"; the meaning of "tai" is uncertain, but may originally have meant "human beings," "people," or "free people |
| Government type: | constitutional monarchy |
| Capital: | name: Bangkok |
| Capital: | geographic coordinates: 13 45 N, 100 31 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: Bangkok was likely originally a colloquial name, but one that was widely adopted by foreign visitors; the name may derive from "bang ko," where "bang" is the Thai word for "village on a stream" and "ko" means "island," both referencing the area's landscape, which was carved by rivers and canals; alternatively, the name may come from "bang makok," where "makok" is the name of the Java plum, a plant bearing olive-like fruit; this possibility is supported by the former name of Wat Arun, a historic temple in the area, that used to be called Wat Makok; |
| Capital: | Krung Thep, the city's Thai name, means "City of the Deity" and is a shortening of the full ceremonial name:Â Krungthepmahanakhon Amonrattanakosin Mahintharayutthaya Mahadilokphop Noppharatratchathaniburirom Udomratchaniwetmahasathan Amonphimanawatansathit Sakkathattiyawitsanukamprasit; translated the meaning is:Â City of angels, great city of immortals, magnificent city of the nine gems, seat of the king, city of royal palaces, home of gods incarnate, erected by Vishvakarman at Indra's behest; it holds the world's record as the longest place name (168 letters) |
