| Government | Thailand |
| --- | --- |
| Country name: | conventional long form: Kingdom of Thailand |
| Country name: | conventional short form: Thailand |
| Country name: | local long form: Ratcha Anachak Thai |
| Country name: | local short form: Prathet Thai |
| Country name: | former: Siam |
| Government type: | constitutional monarchy |
| Capital: | name: Bangkok |
| Capital: | geographic coordinates: 13 45 N, 100 31 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 76 provinces (changwat, singular and plural); Amnat Charoen, Ang Thong, Buriram, Chachoengsao, Chai Nat, Chaiyaphum, Chanthaburi, Chiang Mai, Chiang Rai, Chon Buri, Chumphon, Kalasin, Kamphaeng Phet, Kanchanaburi, Khon Kaen, Krabi, Krung Thep Mahanakhon (Bangkok), Lampang, Lamphun, Loei, Lop Buri, Mae Hong Son, Maha Sarakham, Mukdahan, Nakhon Nayok, Nakhon Pathom, Nakhon Phanom, Nakhon Ratchasima, Nakhon Sawan, Nakhon Si Thammarat, Nan, Narathiwat, Nong Bua Lamphu, Nong Khai, Nonthaburi, Pathum Thani, Pattani, Phangnga, Phatthalung, Phayao, Phetchabun, Phetchaburi, Phichit, Phitsanulok, Phra Nakhon Si Ayutthaya, Phrae, Phuket, Prachin Buri, Prachuap Khiri Khan, Ranong, Ratchaburi, Rayong, Roi Et, Sa Kaeo, Sakon Nakhon, Samut Prakan, Samut Sakhon, Samut Songkhram, Sara Buri, Satun, Sing Buri, Sisaket, Songkhla, Sukhothai, Suphan Buri, Surat Thani, Surin, Tak, Trang, Trat, Ubon Ratchathani, Udon Thani, Uthai Thani, Uttaradit, Yala, Yasothon |
| Independence: | 1238 (traditional founding date; never colonized) |
| National holiday: | Birthday of King PHUMIPHON, 5 December (1927) |
| Constitution: | constitution signed by King PHUMIPHON on 11 October 1997; abrogated on 19 September 2006 after coup; interim constitution promulgated on 1 October 2006; junta has promised new constitution by October 2007 |
| Legal system: | based on civil law system, with influences of common law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: King PHUMIPHON Adunyadet (since 9 June 1946) |
| Executive branch: | head of government: Interim Prime Minister SURAYUT Chulanon (since 1 October 2006); Interim Deputy Prime Ministers KHOSIT Panpiamrat (since 9 October 2006); PRIDIYATHON Thewakun (since 9 October 2006) |
| Executive branch: | note: Prime Minister THAKSIN Chinnawat was overthrown on 19 September 2006 in a coup led by General SONTHI Boonyaratglin |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | note: there is also a Privy Council |
| Executive branch: | elections: none; monarch is hereditary; according to 1997 constitution, prime minister was designated from among members of House of Representatives; following national elections for House of Representatives, leader of party that could organize a majority coalition usually was appointed prime minister by king |
| Legislative branch: | bicameral National Assembly or Rathasapha consisted of the Senate or Wuthisapha (200 seats; members elected by popular vote to serve six-year terms) and the House of Representatives or Sapha Phuthaen Ratsadon (500 seats; members elected by popular vote to serve four-year terms); after coup in September 2006, junta appointed an interim National Assembly with 250 members to act as Senate and House of Representatives; body has no vote on government matters |
| Legislative branch: | elections: Senate - last held 19 April 2006; House of Representatives - last held 6 February 2005; junta scheduled next general election by October 2007 |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; House of Representatives - (2005 election) percent of vote by party - NA; seats by party - TRT 376, DP 97, TNP 25, PP 2 |
| Judicial branch: | Supreme Court or Sandika (judges appointed by the monarch) |
| Political parties and leaders: | Democrat Party or DP (Prachathipat Party) [ABHISIT Wetchachiwa]; People's Party or PP (Mahachon Party) [ANEK Laothamatas]; Thai Nation Party or TNP (Chat Thai Party) [BARNHARN SILPA-ARCHA]; Thai Rak Thai Party or TRT [CHATURON Chaisang] |
| Political pressure groups and leaders: | NA |
| International organization participation: | APEC, APT, ARF, AsDB, ASEAN, BIMSTEC, BIS, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, NAM, OAS (observer), OIC (observer), ONUB, OPCW, OSCE (partner), PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIS, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Virasakdi FUTRAKUL |
| Diplomatic representation in the US: | chancery: 1024 Wisconsin Avenue NW, Suite 401, Washington, DC 20007-3681 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-3600 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-3611 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Ralph L. BOYCE |
| Diplomatic representation from the US: | embassy: 120-122 Wireless Road, Bangkok 10330 |
| Diplomatic representation from the US: | mailing address: APO AP 96546 |
| Diplomatic representation from the US: | telephone: [66] (2) 205-4000 |
| Diplomatic representation from the US: | FAX: [66] (2) 254-2990, 205-4131 |
| Diplomatic representation from the US: | consulate(s) general: Chiang Mai |
| Flag description: | five horizontal bands of red (top), white, blue (double width), white, and red |
