| Government | Thailand |
| --- | --- |
| Country name: | conventional long form: Kingdom of Thailand |
| Country name: | conventional short form: Thailand |
| Country name: | local long form: Ratcha Anachak Thai |
| Country name: | local short form: Prathet Thai |
| Country name: | former: Siam |
| Government type: | constitutional monarchy |
| Capital: | name: Bangkok |
| Capital: | geographic coordinates: 13 45 N, 100 31 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 77 provinces (changwat, singular and plural); Amnat Charoen, Ang Thong, Bueng Kan, Buriram, Chachoengsao, Chai Nat, Chaiyaphum, Chanthaburi, Chiang Mai, Chiang Rai, Chon Buri, Chumphon, Kalasin, Kamphaeng Phet, Kanchanaburi, Khon Kaen, Krabi, Krung Thep Mahanakhon (Bangkok), Lampang, Lamphun, Loei, Lop Buri, Mae Hong Son, Maha Sarakham, Mukdahan, Nakhon Nayok, Nakhon Pathom, Nakhon Phanom, Nakhon Ratchasima, Nakhon Sawan, Nakhon Si Thammarat, Nan, Narathiwat, Nong Bua Lamphu, Nong Khai, Nonthaburi, Pathum Thani, Pattani, Phangnga, Phatthalung, Phayao, Phetchabun, Phetchaburi, Phichit, Phitsanulok, Phra Nakhon Si Ayutthaya, Phrae, Phuket, Prachin Buri, Prachuap Khiri Khan, Ranong, Ratchaburi, Rayong, Roi Et, Sa Kaeo, Sakon Nakhon, Samut Prakan, Samut Sakhon, Samut Songkhram, Sara Buri, Satun, Sing Buri, Sisaket, Songkhla, Sukhothai, Suphan Buri, Surat Thani, Surin, Tak, Trang, Trat, Ubon Ratchathani, Udon Thani, Uthai Thani, Uttaradit, Yala, Yasothon |
| Independence: | 1238 (traditional founding date; never colonized) |
| National holiday: | Birthday of King PHUMIPHON (BHUMIBOL), 5 December (1927) |
| Constitution: | 24 August 2007 |
| Legal system: | civil law system with common law influences |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: King PHUMIPHON Adunyadet, also spelled BHUMIBOL Adulyadej (since 9 June 1946) |
