| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Poland |
| Country name: | conventional short form: Poland |
| Country name: | local long form: Rzeczpospolita Polska |
| Country name: | local short form: Polska |
| Government type: | republic |
| Capital: | Warsaw |
| Administrative divisions: | 16 provinces (wojewodztwa, singular - wojewodztwo); Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubelskie, Lubuskie, Malopolskie, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodniopomorskie |
| Independence: | 11 November 1918 (independent republic proclaimed) |
| National holiday: | Constitution Day, 3 May (1791) |
| Constitution: | 16 October 1997; adopted by the National Assembly 2 April 1997; passed by national referendum 23 May 1997 |
| Legal system: | mixture of Continental (Napoleonic) civil law and holdover communist legal theory; changes being gradually introduced as part of broader democratization process; limited judicial review of legislative acts although under the new constitution, the Constitutional Tribunal ruling will become final as of October 1999; court decisions can be appealed to the European Court of Justice in Strasbourg |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Aleksander KWASNIEWSKI (since 23 December 1995) |
| Executive branch: | head of government: Prime Minister Jerzy BUZEK - Solidarity Electoral Union - (since 31 October 1997), Deputy Prime Ministers Janusz STEINHOFF (since 12 June 2000), Longin KOMOLOWSKI (since 19 October 1999) |
| Executive branch: | cabinet: Council of Ministers responsible to the prime minister and the Sejm; the prime minister proposes, the president appoints, and the Sejm approves the Council of Ministers |
| Executive branch: | elections: president elected by popular vote for a five-year term; election held 8 October 2000 (next to be held NA October 2005); prime minister and deputy prime ministers appointed by the president and confirmed by the Sejm |
| Executive branch: | election results: Aleksander KWASNIEWSKI reelected president; percent of popular vote - Aleksander KWASNIEWSKI 53.9%, Andrzj OLECHOWSKI 17.3%, Marian KRZAKLEWSKI 15.6%, Lech WALESA 1% |
| Legislative branch: | bicameral National Assembly or Zgromadzenie Narodowe consists of the Sejm (460 seats; members are elected under a complex system of proportional representation to serve four-year terms) and the Senate or Senat (100 seats; members are elected by a majority vote on a provincial basis to serve four-year terms) |
| Legislative branch: | elections: Sejm elections last held 21 September 1997 (next to be held by NA September 2001); Senate - last held 21 September 1997 (next to be held by NA September 2001) |
| Legislative branch: | election results: Sejm - percent of vote by party - AWS 33.8%, SLD 27.1%, UW 13.4%, PSL 7.3%, ROP 5.6%, MNSO 0.4%, other 12.4%; seats by party - AWS 201, SLD 164, UW 60, PSL 27, ROP 6, MNSO 2; Senate - percent of vote by party - NA%; seats by party - AWS 51, SLD 28, UW 8, ROP 5, PSL 3, independents 5; note - seats by party in the Sejm as of February 2001: AWS 175, SLD 161, UW 49, PSL 26, PP 6, KdP 7, ROP-PC 4, independents 31, one seat vacant |
| Legislative branch: | note: two seats are assigned to ethnic minority parties |
| Judicial branch: | Supreme Court (judges are appointed by the president on the recommendation of the National Council of the Judiciary for an indefinite period); Constitutional Tribunal (judges are chosen by the Sejm for nine-year terms) |
