| Government | POLAND |
| --- | --- |
| Country name: | conventional long form: Republic of Poland |
| Country name: | conventional short form: Poland |
| Country name: | local long form: Rzeczpospolita Polska |
| Country name: | local short form: Polska |
| Government type: | republic |
| Capital: | name: Warsaw |
| Capital: | geographic coordinates: 52 15 N, 21 00 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 16 provinces (wojewodztwa, singular - wojewodztwo); Dolnoslaskie (Lower Silesia), Kujawsko-Pomorskie (Kuyavia-Pomerania), Lodzkie (Lodz), Lubelskie (Lublin), Lubuskie (Lubusz), Malopolskie (Lesser Poland), Mazowieckie (Masovia), Opolskie (Opole), Podkarpackie (Subcarpathia), Podlaskie, Pomorskie (Pomerania), Slaskie (Silesia), Swietokrzyskie (Holy Cross), Warminsko-Mazurskie (Warmia-Masuria), Wielkopolskie (Greater Poland), Zachodniopomorskie (West Pomerania) |
| Independence: | 11 November 1918 (republic proclaimed); notable earlier dates: 966 (adoption of Christianity, traditional founding date), 1 July 1569 (Polish-Lithuanian Commonwealth created) |
| National holiday: | Constitution Day, 3 May (1791) |
| Constitution: | several previous; latest adopted 2 April 1997, approved by referendum 25 May 1997, effective 17 October 1997; amended 2006, 2009 (2013) |
| Legal system: | civil law system; changes gradually being introduced as part of broader democratization process; limited judicial review of legislative acts, but rulings of the Constitutional Tribunal are final |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Andrzej DUDA (since 6 August 2015) |
| Executive branch: | head of government: Prime Minister Ewa KOPACZ (since 22 September 2014); Deputy Prime Ministers Janusz PIECHOCINSKI (since 6 December 2012) and Tomasz SIEMONIAK (since 22 September 2014) |
| Executive branch: | cabinet: Council of Ministers  proposed by the prime minister, appointed by the president, and approved by the Sejm |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 10 and 24 May 2015 (next to be held in 2020); prime minister and deputy prime ministers appointed by the president and confirmed by the Sejm |
| Executive branch: | election results: Andrzej DUDA elected president; percent of vote in runoff - Andrzej DUDA 51.5%, Bronislaw KOMOROWSKI (independent) 48.5% |
| Legislative branch: | description: bicameral legislature consists of the Senate or Senat (100 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) and the Sejm (460 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms); note - the designation National Assembly or Zgromadzenie Narodowe is only used on those rare occasions when the two houses meet jointly |
| Legislative branch: | note: the German minority is exempt from the 5% threshold requirement for seats to the Sejm |
| Legislative branch: | elections: Senate - last held on 9 October 2011 (next to be held by October 2015); Sejm - last held on 9 October 2011 (next to be held on 25 October 2015) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PO 63, PiS 29, PSL 2, SP 2, independent 4; seats by party as of 26 February 2015 - PO 63, PiS 31, PSL 2, independent 4; Sejm - percent of vote by party - PO 39.2%, PiS 29.9%, RP 10%, PSL 8.4%, SLD 8.2%, other 4.3%; seats by party - PO 206, PiS 137, RP 43, PSL 28, SLD 25, SP 19, independent 1, German minority 1; seats by party as of 26 February 2015 - PO 202, PiS 132, TR 16, PSL 39, SLD 34, KPSP (coalition of smaller parties) 15, independent 21, German Minority 1 |
| Judicial branch: | highest court(s): Supreme Court or Sad Najwyzszy (consists of the president of the Supreme Court and 116 judges organized in criminal, civil, labor and social insurance, and military chambers) |
