| Government | POLAND |
| --- | --- |
| Country name: | conventional long form: Republic of Poland |
| Country name: | conventional short form: Poland |
| Country name: | local long form: Rzeczpospolita Polska |
| Country name: | local short form: Polska |
| Country name: | etymology: name derives from the Polanians, a west Slavic tribe that united several surrounding Slavic groups (9th-10th centuries A.D.) and who passed on their name to the country; the name of the tribe likely comes from the Slavic "pole" (field or plain), indicating the flat nature of their country |
| Government type: | parliamentary republic |
| Capital: | name: Warsaw |
| Capital: | geographic coordinates: 52 15 N, 21 00 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 16 provinces (wojewodztwa, singular - wojewodztwo); Dolnoslaskie (Lower Silesia), Kujawsko-Pomorskie (Kuyavia-Pomerania), Lodzkie (Lodz), Lubelskie (Lublin), Lubuskie (Lubusz), Malopolskie (Lesser Poland), Mazowieckie (Masovia), Opolskie (Opole), Podkarpackie (Subcarpathia), Podlaskie, Pomorskie (Pomerania), Slaskie (Silesia), Swietokrzyskie (Holy Cross), Warminsko-Mazurskie (Warmia-Masuria), Wielkopolskie (Greater Poland), Zachodniopomorskie (West Pomerania) |
| Independence: | 11 November 1918 (republic proclaimed); notable earlier dates: 966 (adoption of Christianity, traditional founding date), 1 July 1569 (Polish-Lithuanian Commonwealth created) |
| National holiday: | Constitution Day, 3 May (1791) |
| Constitution: | history: several previous; latest adopted 2 April 1997, approved by referendum 25 May 1997, effective 17 October 1997 |
| Constitution: | amendments: proposed by at least one-fifth of Sejm deputies, by the Senate, or by the president of the republic; passage requires at least two-thirds majority vote in the Sejm and absolute majority vote in the Senate; amendments to articles relating to sovereignty, personal freedoms, and constitutional amendment procedures also require passage by majority vote in a referendum; amended 2006, 2009, 2015 (2016) |
| Legal system: | civil law system; judicial review of legislative, administrative, and other governmental acts; constitutional law rulings of the Constitutional Tribunal are final |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: both parents must be citizens of Poland |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Andrzej DUDA (since 6 August 2015) |
| Executive branch: | head of government: Prime Minister Beata SZYDLO (since 16 November 2015); Deputy Prime Minister and Minister of Culture and National Heritage Piotr GLINSKI (since 16 November 2015), Deputy Prime Minister and Minister of Science and Higher Education Jaroslaw GOWIN (since 16 November 2015), and Deputy Prime Minister and Minister of Development Mateusz MORAWIECKI (since 16 November 2015) |
| Executive branch: | cabinet: Council of Ministers proposed by the prime minister, appointed by the president, and approved by the Sejm |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 10 and 24 May 2015 (next to be held in 2020); prime minister, deputy prime ministers, and Council of Ministers appointed by the president and confirmed by the Sejm |
| Executive branch: | election results: Andrzej DUDA elected president; percent of vote in runoff - Andrzej DUDA 51.5%, Bronislaw KOMOROWSKI (independent) 48.5% |
| Legislative branch: | description: bicameral legislature consists of the Senate or Senat (100 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) and the Sejm (460 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms); note - the designation National Assembly or Zgromadzenie Narodowe is only used on those rare occasions when the two houses meet jointly |
| Legislative branch: | note: the German minority is exempt from the 5% threshold requirement for seats to the Sejm |
| Legislative branch: | elections: Senate - last held on 25 October 2015 (next to be held in October 2019); Sejm - last held on 25 October 2015 (next to be held in October 2019) |
