| Government | Paraguay |
| --- | --- |
| Country name: | conventional long form: Republic of Paraguay |
| Country name: | conventional short form: Paraguay |
| Country name: | local long form: Republica del Paraguay |
| Country name: | local short form: Paraguay |
| Government type: | constitutional republic |
| Capital: | name: Asuncion |
| Capital: | geographic coordinates: 25 16 S, 57 40 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in October; ends second Sunday in April |
| Administrative divisions: | 17 departments (departamentos, singular - departamento) and 1 capital city*; Alto Paraguay, Alto Parana, Amambay, Asuncion*, Boqueron, Caaguazu, Caazapa, Canindeyu, Central, Concepcion, Cordillera, Guaira, Itapua, Misiones, Neembucu, Paraguari, Presidente Hayes, San Pedro |
| Independence: | 14 May 1811 (from Spain) |
| National holiday: | Independence Day, 14 May 1811 (observed 15 May) |
| Constitution: | promulgated 20 June 1992 |
| Legal system: | civil law system with influences from Argentine, Spanish, Roman, and French civil law models; judicial review of legislative acts in Supreme Court of Justice |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory up to age 75 |
| Executive branch: | chief of state: President Fernando Armindo LUGO Mendez (since 15 August 2008); Vice President Luis Federico FRANCO Gomez (since 15 August 2008); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Fernando Armindo LUGO Mendez (since 15 August 2008); Vice President Luis Federico FRANCO Gomez (since 15 August 2008) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a single five-year term; election last held on 20 April 2008 (next to be held in April 2013) |
| Executive branch: | election results: Fernando Armindo LUGO Mendez elected president; percent of vote - Fernando Armindo LUGO Mendez 40.8%, Blanca OVELAR 30.6%, Lino OVIEDO 21.9%, Pedro FADUL 2.4%, other 4.3% |
| Legislative branch: | bicameral National Congress or Congreso Nacional consists of the Chamber of Senators or Camara de Senadores (45 seats; members elected by popular vote to serve five-year terms) and the Chamber of Deputies or Camara de Diputados (80 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Chamber of Senators - last held on 20 April 2008 (next to be held in April 2013); Chamber of Deputies - last held on 20 April 2008 (next to be held in April 2013) |
| Legislative branch: | election results: Chamber of Senators - percent of vote by party - NA; seats by party - ANR 15, PLRA 14, UNACE 9, PPQ 4, other 3; Chamber of Deputies - percent of vote by party - NA; seats by party - ANR 30, PLRA 27, UNACE 15, PPQ 3, APC 2, other 3; note - as of 1 January 2010, the composition of the Chamber of Deputies is ANR 30, PLRA 29, UNACE 15, PPQ 4, other 2 |
| Judicial branch: | Supreme Court of Justice or Corte Suprema de Justicia (nine judges proposed by the Council of Magistrates or Consejo de la Magistratura, and approved by the Senate and president) |
| Political parties and leaders: | Alianza Patriotica por el Cambio (Patriotic Alliance for Change) or APC [Fernando LUGO]; Asociacion Nacional Republicana - Colorado Party or ANR [Lilian SAMANIEGO]; Movimiento Popolar Tekojoja or Tekojoja [Sixto PEREIRA]; Movimiento Union Nacional de Ciudadanos Eticos or UNACE [Lino Cesar OVIEDO Silva]; Patria Querida (Beloved Fatherland Party) or PPQ [Pedro Nicolas Maraa FADUL Niella]; Partido del Movimiento al Socialismo or P-MAS [Camilo Ernesto SOARES Machado]; Partido Democratica Progresista or PDP [Rafael Augusto FILIZZOLA Serra]; Partido Encuentro Nacional or PEN [Fernando CAMACHO Paredes]; Partido Liberal Radical Autentico or PLRA [Amanda NUNEZ]; Partido Pais Solidario or PPS [Carlos Alberto FILIZZOLA Pallares] |
| Political pressure groups and leaders: | Ahorristas Estafados or AE; National Coordinating Board of Campesino Organizations or MCNOC [Luis AGUAYO]; National Federation of Campesinos or FNC [Odilon ESPINOLA]; National Workers Central or CNT [Secretary General Juan TORRALES]; Paraguayan Workers Confederation or CPT; Roman Catholic Church; Unitary Workers Central or CUT [Jorge Guzman ALVARENGA Malgarejo] |
| International organization participation: | CAN (associate), FAO, G-11, G-77, IADB, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, LAES, LAIA, Mercosur, MIGA, MINURSO, MINUSTAH, MONUSCO, NAM (observer), OAS, OPANAL, OPCW, PCA, RG, UN, UNASUR, UNCTAD, UNESCO, UNFICYP, UNIDO, Union Latina, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Rigoberto GAUTO Vielman |
| Diplomatic representation in the US: | chancery: 2400 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-6960 through 6962 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-4508 |
| Diplomatic representation in the US: | consulate(s) general: Kansas City (Kansas), Los Angeles, Miami, New York |
