| Government | PARAGUAY |
| --- | --- |
| Country name: | conventional long form: Republic of Paraguay |
| Country name: | conventional short form: Paraguay |
| Country name: | local long form: Republica del Paraguay |
| Country name: | local short form: Paraguay |
| Country name: | etymology: the precise meaning of the name Paraguay is unclear, but it seems to derive from the river of the same name; one explanation has the name meaning "water of the Payagua" (an indigenous tribe that lived along the river) |
| Government type: | presidential republic |
| Capital: | name: Asuncion |
| Capital: | geographic coordinates: 25 16 S, 57 40 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in October; ends last Sunday in March |
| Administrative divisions: | 17 departments (departamentos, singular - departamento) and 1 capital city*; Alto Paraguay, Alto Parana, Amambay, Asuncion*, Boqueron, Caaguazu, Caazapa, Canindeyu, Central, Concepcion, Cordillera, Guaira, Itapua, Misiones, Neembucu, Paraguari, Presidente Hayes, San Pedro |
| Independence: | 14 May 1811 (from Spain) |
| National holiday: | Independence Day, 14-15 May (1811) (observed 15 May) |
| Constitution: | several previous; latest approved and promulgated 20 June 1992; amended 2011, 2014 (2016) |
| Legal system: | civil law system with influences from Argentine, Spanish, Roman, and French civil law models; judicial review of legislative acts in Supreme Court of Justice |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: at least one parent must be a native-born citizen of Paraguay |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 3 years |
| Suffrage: | 18 years of age; universal and compulsory until the age of 75 |
| Executive branch: | chief of state: President Horacio CARTES Jara (since 15 August 2013); Vice President Juan AFARA Maciel (since 15 August 2013); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Horacio CARTES Jara (since 15 August 2013); Vice President Juan AFARA Maciel (since 15 August 2013) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by simple majority popular vote for a single 5-year term; election last held on 21 April 2013 (next to be held in April 2018) |
| Executive branch: | election results: Horacio CARTES elected president; percent of vote - Horacio CARTES (ANR) 48.5%, Efrain ALEGRE (PLRA) 39%, Mario FERREIRO (AP) 6.2%, Anibal CARRILLO (FG) 3.5%, other 2.8% |
| Legislative branch: | description: bicameral National Congress or Congreso Nacional consists of the Chamber of Senators or Camara de Senadores (45 seats; members directly elected in a single nationwide constituency by proportional representation vote to serve 5-year terms) and the Chamber of Deputies or Camara de Diputados (80 seats; members directly elected in 18 multi-seat constituencies - corresponding to the country's 17 departments and capital city - by proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: Chamber of Senators - last held on 21 April 2013 (next to be held in April 2018); Chamber of Deputies - last held on 21 April 2013 (next to be held in April 2018) |
| Legislative branch: | election results: Chamber of Senators - percent of vote by party/coalition - ANR 38.5%, PLRA 26.2%, FG 10.6%, PDP 6.4%, Avanza Pais 5.2%, UNACE 4%, PEN 3.5%, PPQ 2%, other 3.4%; seats by party/coalition - ANR 19, PLRA 13, FG 5, PDP 3, Avanza Pais 2, UNACE 2, PEN 1, PPQ 1; Chamber of Deputies - percent of vote by party/coalition - NA; seats by party/coalition - ANR 44, PLRA 27, Avanza Pais 2, PEN 2, UNACE 2, FG 1, PPQ 1, other 1 |
| Judicial branch: | highest court(s): Supreme Court of Justice or Corte Suprema de Justicia (consists of 9 justices divided 3 each into the Constitutional Court, Civil and Commercial Chamber, and Criminal Division |
| Judicial branch: | judge selection and term of office: justices proposed by the Council of Magistrates or Consejo de la Magistratura, a 6-member independent body, and appointed by the Chamber of Senators with presidential concurrence; judges appointed until mandatory retirement at age 75 |
| Judicial branch: | subordinate courts: appellate courts; first instance courts; minor courts, including justices of the peace |
| Political parties and leaders: | Asociacion Nacional Republicana - Colorado Party or ANR [Pedro ALLIANA] |
| Political parties and leaders: | Avanza Pais coalition or AP [Adolfo FERREIRO] |
| Political parties and leaders: | Broad Front coalition (Frente Guasu) or FG [Esperanza MARTINEZ] |
| Political parties and leaders: | Movimiento Union Nacional de Ciudadanos Eticos or UNACE [Jorge OVIEDO MATTO] |
| Political parties and leaders: | Partido del Movimiento al Socialismo or P-MAS [Camilo Ernesto SOARES Machado] |
| Political parties and leaders: | Partido Democratica Progresista or PDP [Rafael FILIZZOLA] |
| Political parties and leaders: | Partido Encuentro Nacional or PEN [Hermann RATZLAFFIN Klippemstein] |
| Political parties and leaders: | Partido Liberal Radical Autentico or PLRA [Efrain ALEGRE] |
| Political parties and leaders: | Partido Pais Solidario or PPS [Carlos Alberto FILIZZOLA Pallares] |
| Political parties and leaders: | Partido Popular Tekojoja or PPT [Sixto PEREIRA Galeano] |
| Political parties and leaders: | Patria Querida (Beloved Fatherland Party) or PPQ [Miguel CARRIZOSA] |
| Political pressure groups and leaders: | Ahorristas Estafados or AE |
| Political pressure groups and leaders: | National Coordinating Board of Campesino Organizations or MCNOC [Luis AGUAYO] |
