| Government | Sudan |
| --- | --- |
| Country name: | conventional long form: Republic of the Sudan |
| Country name: | conventional short form: Sudan |
| Country name: | local long form: Jumhuriyat as-Sudan |
| Country name: | local short form: As-Sudan |
| Country name: | former: Anglo-Egyptian Sudan |
| Government type: | Federal republic ruled by the National Congress Party the (NCP), which came to power by military coup in 1989; the CPA-mandated Government of National Unity, which since 2005 provided a percentage of leadership posts to the south Sudan-based Sudan People's Liberation Movement (SPLM), was disbanded following the secession of South Sudan. |
| Capital: | name: Khartoum |
| Capital: | geographic coordinates: 15 36 N, 32 32 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 17 states (wilayat, singular - wilayah); Al Bahr al Ahmar (Red Sea), Al Jazira (Gezira), Al Khartoum (Khartoum), Al Qadarif (Gedaref), An Nil al Abyad (White Nile), An Nil al Azraq (Blue Nile), Ash Shimaliyya (Northern), Gharb Darfur (Western Darfur), Janub Darfur (Southern Darfur), Janub Kurdufan (Southern Kordofan), Kassala, Nahr an Nil (River Nile), Sharq Darfur (Eastern Darfur), Shimal Darfur (Northern Darfur), Shimal Kurdufan (Northern Kordofan), Sinnar, Wasat Darfur (Central Darfur) |
| Independence: | 1 January 1956 (from Egypt and the UK) |
| National holiday: | Independence Day, 1 January (1956) |
| Constitution: | the Government of Sudan is in the process of drafting a new constitution to replace the Interim National Constitution ratified 5 July 2005 |
| Legal system: | mixed legal system of Islamic law and English common law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; withdrew acceptance of ICCt jurisdiction in 2008 |
| Suffrage: | 17 years of age; universal |
| Executive branch: | chief of state: President Umar Hassan Ahmad al-BASHIR (since 16 October 1993); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Umar Hassan Ahmad al-BASHIR (since 16 October 1993) |
| Executive branch: | cabinet: Council of Ministers appointed by the president; note - the NCP (formerly the National Islamic Front or NIF) dominates al-BASHIR's cabinet |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: election on 11-15 April 2010; next to be held in 2015 |
| Executive branch: | election results: Umar Hassan Ahmad al-BASHIR reelected president; percent of vote - Umar Hassan Ahmad al-BASHIR 68.2%, Yasir ARMAN 21.7%, Abdullah Deng NHIAL 3.9%, others 6.2% |
| Executive branch: | note: al-BASHIR assumed power as chairman of Sudan's Revolutionary Command Council for National Salvation (RCC) in June 1989 and served concurrently as chief of state, chairman of the RCC, prime minister, and minister of defense until mid-October 1993 when he was appointed president by the RCC; he was elected president by popular vote for the first time in March 1996 |
| Legislative branch: | bicameral National Legislature consists of a Council of States (50 seats; members indirectly elected by state legislatures to serve six-year terms) and a National Assembly (450 seats; 60% from geographic constituencies, 25% from a women's list, and 15% from party lists; members to serve six-year terms) |
| Legislative branch: | elections: last held on 11-15 April 2010 (next to be held in 2016) |
| Legislative branch: | election results: National Assembly - percent of vote by party - NA; seats by party - NCP 323, SPLM 99, PCP 4, DUP 4, UFP 3, URRP 2, DUPO 2, SPLM-DC 2, other 7, vacant 4 |
| Judicial branch: | Constitutional Court of nine justices; National Supreme Court; National Courts of Appeal; other national courts; National Judicial Service Commission will undertake overall management of the National Judiciary |
| Political parties and leaders: | Democratic Unionist Party or DUP [Hatim al-SIR]; Democratic Unionist Party-Original or DUPO; National Congress Party or NCP [Umar Hassan al-BASHIR]; Popular Congress Party or PCP [Hassan al-TURABI]; Umma Federal Party or UFP; Umma Renewal and Reform Party or URRP |
| Political pressure groups and leaders: | Umma Party [SADIQ Siddiq al-Mahdi]; Popular Congress Party or PCP [Hassan al-TURABI]; Democratic Unionist Party [Muhammad Uthman al-MIRGHANI]; Darfur rebel groups including the Justice and Equality Movement or JEM [Jabril IBRAHIM and other factional leaders] and the Sudan Liberation Movement or SLM [various factional leaders] |
